method,model_name,data_fraction,steps_per_epoch,lambda_orbit,relative_l2_mean,relative_l2_std,relative_l2_count,orbit_ood_relative_l2_mean,orbit_ood_relative_l2_std,orbit_ood_relative_l2_count,oracle_canonical_ood_relative_l2_mean,oracle_canonical_ood_relative_l2_std,oracle_canonical_ood_relative_l2_count,equivariance_defect_relative_mean,equivariance_defect_relative_std,equivariance_defect_relative_count,latency_ms_per_sample_mean,latency_ms_per_sample_std,latency_ms_per_sample_count,latency_ms_per_batch_mean,latency_ms_per_batch_std,latency_ms_per_batch_count
aug,fno2d,0.01,4.0,0.05,0.06542246076278388,0.0036889635867283542,5,0.06538096502190456,0.0036641325973246017,5,0.06681002542609349,0.0053737897804523585,2,0.045700998493703085,0.003973871720816387,5,19.87688787496154,5.969461454228386,5,318.03020599938463,95.51138326765418,5
aug_orbit,fno2d,0.01,4.0,0.2,0.06461597317829729,0.003313980515915851,5,0.06458868030458689,0.003304596448484509,5,0.06598718711757101,0.004896472810958468,2,0.04498954071314074,0.003825866952139081,5,21.934495125024114,10.322618620669099,5,350.9519220003858,165.16189793070558,5
baseline,d4_gfno2d,0.01,4.0,0.05,0.09283479517325759,0.005368720924715525,5,0.092834795685485,0.005368721050459709,5,0.09283479519654066,0.005368721174432137,5,7.87927900813834e-08,3.1547048408191904e-09,5,25.975731750004343,1.1884091198989843,5,415.6117080000695,19.01454591838375,5
