objective,method_label,method,seed,seed_count,configured_seeds,normalization,normalized_by_epsilon,normalization_eta,uses_jvp,weight_name,weight,steps_per_epoch,batch_forward_evaluations_per_epoch,relative_l2,orbit_ood_relative_l2,equivariance_defect_relative,best_val_relative_l2,latency_ms_per_sample,parameters,dataset_kind,dataset_sha256,config_hash,run_dir,config_path
normalized finite,Augmentation + normalized finite,aug_orbit,23,5,"23,31,47,59,71",divide by epsilon^2 + eta,true,1e-06,False,lambda_orbit,0.1,4,12,0.35174218751490116,0.3743666750378907,0.2530845678411424,0.3566172644495964,20.235002812523817,2668609,navier_stokes_vorticity2d_boosted,defc9703dbc41494fabf9fcfe9e3408eb2e1c3890814e47fe03d0f6b849e3f50,15e40d4c8c80,runs\ablations\2d_galilean_n64_2pct_lambda_robustness\fraction_0.02\aug_orbit_lambda_0.1_steps_4\seed_23,runs\ablations\2d_galilean_n64_2pct_lambda_robustness\fraction_0.02\aug_orbit_lambda_0.1_steps_4\seed_23\config.yaml
normalized finite,Augmentation + normalized finite,aug_orbit,31,5,"23,31,47,59,71",divide by epsilon^2 + eta,true,1e-06,False,lambda_orbit,0.1,4,12,0.37398373521864414,0.4028443736024201,0.2692930868361145,0.3725278042256832,20.405752812484934,2668609,navier_stokes_vorticity2d_boosted,defc9703dbc41494fabf9fcfe9e3408eb2e1c3890814e47fe03d0f6b849e3f50,64f26f2dcb71,runs\ablations\2d_galilean_n64_2pct_lambda_robustness\fraction_0.02\aug_orbit_lambda_0.1_steps_4\seed_31,runs\ablations\2d_galilean_n64_2pct_lambda_robustness\fraction_0.02\aug_orbit_lambda_0.1_steps_4\seed_31\config.yaml
normalized finite,Augmentation + normalized finite,aug_orbit,47,5,"23,31,47,59,71",divide by epsilon^2 + eta,true,1e-06,False,lambda_orbit,0.1,4,12,0.37636843882501125,0.3974168375134468,0.2666297974064946,0.3768513724207878,13.967314374986017,2668609,navier_stokes_vorticity2d_boosted,defc9703dbc41494fabf9fcfe9e3408eb2e1c3890814e47fe03d0f6b849e3f50,afbda1a47533,runs\ablations\2d_galilean_n64_2pct_lambda_robustness\fraction_0.02\aug_orbit_lambda_0.1_steps_4\seed_47,runs\ablations\2d_galilean_n64_2pct_lambda_robustness\fraction_0.02\aug_orbit_lambda_0.1_steps_4\seed_47\config.yaml
normalized finite,Augmentation + normalized finite,aug_orbit,59,5,"23,31,47,59,71",divide by epsilon^2 + eta,true,1e-06,False,lambda_orbit,0.1,4,12,0.3189374580979347,0.3558515668846667,0.2533877780660987,0.31855708360671997,15.312148125030944,2668609,navier_stokes_vorticity2d_boosted,defc9703dbc41494fabf9fcfe9e3408eb2e1c3890814e47fe03d0f6b849e3f50,44dfdafc5390,runs\ablations\2d_galilean_n64_2pct_lambda_robustness\fraction_0.02\aug_orbit_lambda_0.1_steps_4\seed_59,runs\ablations\2d_galilean_n64_2pct_lambda_robustness\fraction_0.02\aug_orbit_lambda_0.1_steps_4\seed_59\config.yaml
normalized finite,Augmentation + normalized finite,aug_orbit,71,5,"23,31,47,59,71",divide by epsilon^2 + eta,true,1e-06,False,lambda_orbit,0.1,4,12,0.4171714447438717,0.44443790381774306,0.29590738262049854,0.41411367431282997,14.441020625008605,2668609,navier_stokes_vorticity2d_boosted,defc9703dbc41494fabf9fcfe9e3408eb2e1c3890814e47fe03d0f6b849e3f50,3740d8786275,runs\ablations\2d_galilean_n64_2pct_lambda_robustness\fraction_0.02\aug_orbit_lambda_0.1_steps_4\seed_71,runs\ablations\2d_galilean_n64_2pct_lambda_robustness\fraction_0.02\aug_orbit_lambda_0.1_steps_4\seed_71\config.yaml
raw finite,Augmentation + raw finite,aug_orbit,23,5,"23,31,47,59,71",none (raw finite MSE),false,,False,lambda_raw,2.4,4,12,0.35588850267231464,0.3775227814912796,0.24626194522716105,0.36111029237508774,11.532214062390267,2668609,navier_stokes_vorticity2d_boosted,defc9703dbc41494fabf9fcfe9e3408eb2e1c3890814e47fe03d0f6b849e3f50,75603d482b94,runs\ablations\2d_galilean_n64_2pct_plain_finite_baseline\fraction_0.02\aug_plain_finite_lambda_2.4_steps_4\seed_23,runs\ablations\2d_galilean_n64_2pct_plain_finite_baseline\fraction_0.02\aug_plain_finite_lambda_2.4_steps_4\seed_23\config.yaml
raw finite,Augmentation + raw finite,aug_orbit,31,5,"23,31,47,59,71",none (raw finite MSE),false,,False,lambda_raw,2.4,4,12,0.3910076916217804,0.41664288518950343,0.27384885493665934,0.388662863522768,10.154833125125151,2668609,navier_stokes_vorticity2d_boosted,defc9703dbc41494fabf9fcfe9e3408eb2e1c3890814e47fe03d0f6b849e3f50,ecbf3eb91240,runs\ablations\2d_galilean_n64_2pct_plain_finite_baseline\fraction_0.02\aug_plain_finite_lambda_2.4_steps_4\seed_31,runs\ablations\2d_galilean_n64_2pct_plain_finite_baseline\fraction_0.02\aug_plain_finite_lambda_2.4_steps_4\seed_31\config.yaml
raw finite,Augmentation + raw finite,aug_orbit,47,5,"23,31,47,59,71",none (raw finite MSE),false,,False,lambda_raw,2.4,4,12,0.39216205291450024,0.4101762524805963,0.2693617136683315,0.3892919570207596,13.36593250016449,2668609,navier_stokes_vorticity2d_boosted,defc9703dbc41494fabf9fcfe9e3408eb2e1c3890814e47fe03d0f6b849e3f50,93a927f0a55e,runs\ablations\2d_galilean_n64_2pct_plain_finite_baseline\fraction_0.02\aug_plain_finite_lambda_2.4_steps_4\seed_47,runs\ablations\2d_galilean_n64_2pct_plain_finite_baseline\fraction_0.02\aug_plain_finite_lambda_2.4_steps_4\seed_47\config.yaml
raw finite,Augmentation + raw finite,aug_orbit,59,5,"23,31,47,59,71",none (raw finite MSE),false,,False,lambda_raw,2.4,4,12,0.31946961767971516,0.35539572266861796,0.2520024187397212,0.3181433565914631,16.097221874997558,2668609,navier_stokes_vorticity2d_boosted,defc9703dbc41494fabf9fcfe9e3408eb2e1c3890814e47fe03d0f6b849e3f50,b9bb6c71aed4,runs\ablations\2d_galilean_n64_2pct_plain_finite_baseline\fraction_0.02\aug_plain_finite_lambda_2.4_steps_4\seed_59,runs\ablations\2d_galilean_n64_2pct_plain_finite_baseline\fraction_0.02\aug_plain_finite_lambda_2.4_steps_4\seed_59\config.yaml
raw finite,Augmentation + raw finite,aug_orbit,71,5,"23,31,47,59,71",none (raw finite MSE),false,,False,lambda_raw,2.4,4,12,0.43094942532479763,0.4558211718685925,0.3019680723082274,0.4275773949921131,12.495141874978799,2668609,navier_stokes_vorticity2d_boosted,defc9703dbc41494fabf9fcfe9e3408eb2e1c3890814e47fe03d0f6b849e3f50,5cdb1ca94d52,runs\ablations\2d_galilean_n64_2pct_plain_finite_baseline\fraction_0.02\aug_plain_finite_lambda_2.4_steps_4\seed_71,runs\ablations\2d_galilean_n64_2pct_plain_finite_baseline\fraction_0.02\aug_plain_finite_lambda_2.4_steps_4\seed_71\config.yaml
