severity,severity_scale,method,relative_l2,relative_l2,relative_l2,orbit_ood_relative_l2,orbit_ood_relative_l2,orbit_ood_relative_l2,oracle_canonical_ood_relative_l2,oracle_canonical_ood_relative_l2,oracle_canonical_ood_relative_l2,equivariance_defect_relative,equivariance_defect_relative,equivariance_defect_relative,epsilon_mean,epsilon_mean,epsilon_mean
,,,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
full_domain,0,aug_orbit_mask,0.03625405579805374,0.0012419280575925093,3,0.044688434495280184,0.0008171003540832535,3,0.02911064901854843,0.0013643516054083263,3,0.030052731473309297,0.0006292542893341495,3,0.05055019096471369,0.0006838754845803636,3
full_domain,0,aug_orbit_no_mask,0.034701634819308914,0.0018645661111985315,3,0.04328007188936075,0.0013667913871298184,3,0.03150548452200989,0.001934286455161638,3,0.024606957954044145,0.000848420515519945,3,0.05055019096471369,0.0006838754845803636,3
full_domain,0,baseline,0.027035498060286045,0.001215766648507712,3,0.04508999727355937,0.0007055929058007119,3,0.023544750719641645,0.001506209253022832,3,0.03408041596412659,0.0008287608275417537,3,0.05055019096471369,0.0006838754845803636,3
valid_overlap_margin_0.05,1,aug_orbit_mask,0.03625405579805374,0.0012419280575925093,3,0.023029749553340178,0.0013696454081244713,3,0.017764459752167266,0.0017139391490462843,3,0.011738004880802086,0.00035223615850348233,3,0.05055019096471369,0.0006838754845803636,3
valid_overlap_margin_0.05,1,aug_orbit_no_mask,0.034701634819308914,0.0018645661111985315,3,0.03362171402356277,0.00156904888870344,3,0.02737156969184677,0.002185019564563386,3,0.014879788058654716,0.0006056078580605978,3,0.05055019096471369,0.0006838754845803636,3
valid_overlap_margin_0.05,1,baseline,0.027035498060286045,0.001215766648507712,3,0.03324758265322695,0.0014778420758771614,3,0.018940062106897432,0.002171599004685483,3,0.024269183360350628,0.0006488423517855354,3,0.05055019096471369,0.0006838754845803636,3
