data_fraction,seed,lambda_orbit,aug_relative_l2,aug_orbit_relative_l2,relative_l2_delta_pct,aug_ood_relative_l2,aug_orbit_ood_relative_l2,orbit_ood_delta_pct,aug_defect,aug_orbit_defect,defect_delta_pct
0.01,23,0.05,0.7028137780725956,0.6127814203500748,-12.810272156221325,0.71348019503057,0.6238221572712064,-12.566296637781537,0.4696259978227317,0.4395690560340881,-6.400186941948027
0.01,31,0.05,0.8696861900389194,0.7513210028409958,-13.610103110022553,0.8791494332253933,0.7609107540920377,-13.44921291703114,0.5469432771205902,0.500962691847235,-8.406828860832205
0.01,47,0.05,0.7875597402453423,0.6694435440003872,-14.997744324533302,0.7978100571781397,0.6794421430677176,-14.836603405212811,0.5109046888537705,0.4296657838858664,-15.900990290413253
