control_label,seed_count,relative_l2_mean,relative_l2_std,orbit_ood_relative_l2_mean,orbit_ood_relative_l2_std,equivariance_defect_relative_mean,equivariance_defect_relative_std
FNO + aug.,3,0.5181365429113308,0.037700472749772264,0.5415289956144989,0.03696789555898778,0.38672694951916725,0.023735898806329106
FNO + aug. + orbit,3,0.3673647871861854,0.01358200714877833,0.39154262871791917,0.01512033649139928,0.2630024840279172,0.008691781967030583
FNO + aug. + shuffled orbit,3,0.9654339340825876,0.003356401637268292,0.9676554258912802,0.0036135112741764496,0.5631307765531043,0.03178805973006093
FNO + aug. + no output transform,3,0.8827177112301191,0.01935607485995269,0.8993619913235307,0.019072037731035895,0.6236240657356878,0.023835501970338936
