run_dir,checkpoint,source_method,seed,trainable,epochs,lr,beta_l2_initial,orbit_eta,before_epsilon_mean,before_epsilon_mean_std,before_epsilon_mean_stderr,before_equivariance_defect_relative,before_equivariance_defect_relative_std,before_equivariance_defect_relative_stderr,before_eval_seconds,before_num_batches,before_num_samples,before_orbit_ood_relative_l2,before_orbit_ood_relative_l2_std,before_orbit_ood_relative_l2_stderr,before_relative_l2,before_relative_l2_std,before_relative_l2_stderr,after_epsilon_mean,after_epsilon_mean_std,after_epsilon_mean_stderr,after_equivariance_defect_relative,after_equivariance_defect_relative_std,after_equivariance_defect_relative_stderr,after_eval_seconds,after_num_batches,after_num_samples,after_orbit_ood_relative_l2,after_orbit_ood_relative_l2_std,after_orbit_ood_relative_l2_stderr,after_relative_l2,after_relative_l2_std,after_relative_l2_stderr,relative_l2_delta_pct,orbit_ood_delta_pct,defect_delta_pct
runs\final_1d\unlabeled_adaptation\baseline\beta_0.01\epochs_5\seed_47,runs\final_1d\four_method\baseline\seed_47\checkpoints\best.pt,baseline,47,projector,5,1e-05,0.01,1e-06,0.14870696765137836,0.09005102665737404,0.0014070472915214693,0.36107355492523663,0.4459942233000593,0.006968659739063426,4.341323899978306,16,512,0.3623362204998557,0.44504021339864636,0.006953753334353849,0.0023707084110355936,0.004410823013485573,0.0001949326789655832,0.14870696765137836,0.09005102665737404,0.0014070472915214693,0.36110424097429306,0.44548863447908943,0.006960759913735772,4.106117799994536,16,512,0.3763541257940233,0.42488387804690364,0.006638810594482869,0.03622806025668979,0.0022642706889431175,0.00010006757241210088,1428.1533607443662,3.8687562824465616,0.008498558988279115
runs\final_1d\unlabeled_adaptation\baseline\beta_0.1\epochs_1\seed_23,runs\final_1d\four_method\baseline\seed_23\checkpoints\best.pt,baseline,23,projector,1,1e-05,0.1,1e-06,0.15032091160537675,0.09098364479887378,0.0014216194499824027,0.3705334763305732,0.45137826942682824,0.007052785459794191,4.150889299984556,16,512,0.37170848950063373,0.45046686726792634,0.007038544801061349,0.0022395967098418623,0.003925006416178573,0.0001734624158175361,0.15032091160537675,0.09098364479887378,0.0014216194499824027,0.3705062860628612,0.4512384564153052,0.007050600881489144,4.360557199979667,16,512,0.3738312204295653,0.44678880483893185,0.00698107507560831,0.008076936413999647,0.002836081968544014,0.00012533829949739781,260.6424486384407,0.5710741048135182,-0.007338140667156878
runs\final_1d\unlabeled_adaptation\baseline\beta_0.1\epochs_1\seed_31,runs\final_1d\four_method\baseline\seed_31\checkpoints\best.pt,baseline,31,projector,1,1e-05,0.1,1e-06,0.1511996851186268,0.0908711544292868,0.0014198617879576062,0.3879100177837884,0.45388138496178304,0.00709189664002786,4.644530099991243,16,512,0.38922753355382156,0.45281561674322063,0.007075244011612822,0.0025478020615992136,0.00491197311930724,0.00021708059385426175,0.1511996851186268,0.0908711544292868,0.0014198617879576062,0.38786747349103123,0.45372468143970984,0.007089448147495466,4.594908100028988,16,512,0.39110474689368857,0.44914480628082976,0.007017887598137965,0.008329041680553928,0.0038170034729012327,0.0001686893149688165,226.9108619578526,0.48229202151430783,-0.01096756742716698
runs\final_1d\unlabeled_adaptation\baseline\beta_0.1\epochs_1\seed_47,runs\final_1d\four_method\baseline\seed_47\checkpoints\best.pt,baseline,47,projector,1,1e-05,0.1,1e-06,0.14870696765137836,0.09005102665737404,0.0014070472915214693,0.36107355492523663,0.4459942233000593,0.006968659739063426,4.116471000015736,16,512,0.3623362204998557,0.44504021339864636,0.006953753334353849,0.0023707084110355936,0.004410823013485573,0.0001949326789655832,0.14870696765137836,0.09005102665737404,0.0014070472915214693,0.3610879491264525,0.44587303416396173,0.006966766158811902,4.752506499993615,16,512,0.3652629778589471,0.44031715836125185,0.00687995559939456,0.009998565656132996,0.003177134749082537,0.00014041084536373013,321.7543418494616,0.8077462846672878,0.0039865010936113165
runs\final_1d\unlabeled_adaptation\baseline\beta_0.1\epochs_3\seed_23,runs\final_1d\four_method\baseline\seed_23\checkpoints\best.pt,baseline,23,projector,3,1e-05,0.1,1e-06,0.15032091160537675,0.09098364479887378,0.0014216194499824027,0.3705334763305732,0.45137826942682824,0.007052785459794191,4.617036400013603,16,512,0.37170848950063373,0.45046686726792634,0.007038544801061349,0.0022395967098418623,0.003925006416178573,0.0001734624158175361,0.15032091160537675,0.09098364479887378,0.0014216194499824027,0.3704542218387079,0.45095311033563007,0.00704614234899422,4.310530100017786,16,512,0.37965214950963855,0.43821602816201044,0.006847125440031413,0.022499000537209213,0.0022731092472801522,0.00010045818519560277,904.6005353704,2.1370671462673796,-0.02138929325634642
runs\final_1d\unlabeled_adaptation\baseline\beta_0.1\epochs_3\seed_31,runs\final_1d\four_method\baseline\seed_31\checkpoints\best.pt,baseline,31,projector,3,1e-05,0.1,1e-06,0.1511996851186268,0.0908711544292868,0.0014198617879576062,0.3879100177837884,0.45388138496178304,0.00709189664002786,4.6188865000149235,16,512,0.38922753355382156,0.45281561674322063,0.007075244011612822,0.0025478020615992136,0.00491197311930724,0.00021708059385426175,0.1511996851186268,0.0908711544292868,0.0014198617879576062,0.3877971740408164,0.4534639605718466,0.0070853743839351035,4.847688300011214,16,512,0.3953652643103851,0.44220928705520207,0.006909520110237532,0.0199193594744429,0.0029614080951334493,0.00013087698412059988,681.8252357461334,1.5769004573040535,-0.02909018530038443
runs\final_1d\unlabeled_adaptation\baseline\beta_0.1\epochs_3\seed_47,runs\final_1d\four_method\baseline\seed_47\checkpoints\best.pt,baseline,47,projector,3,1e-05,0.1,1e-06,0.14870696765137836,0.09005102665737404,0.0014070472915214693,0.36107355492523663,0.4459942233000593,0.006968659739063426,4.964706200000364,16,512,0.3623362204998557,0.44504021339864636,0.006953753334353849,0.0023707084110355936,0.004410823013485573,0.0001949326789655832,0.14870696765137836,0.09005102665737404,0.0014070472915214693,0.3610895698136698,0.44567573334429217,0.006963683333504565,4.510243800003082,16,512,0.3706913684873143,0.4326037482899255,0.006759433567030086,0.02304903161711991,0.0024883465088086313,0.00010997041814502839,872.242368982503,2.3059102333000014,0.004435353465992442
runs\final_1d\unlabeled_adaptation\baseline\beta_0.1\epochs_5\seed_23,runs\final_1d\four_method\baseline\seed_23\checkpoints\best.pt,baseline,23,projector,5,1e-05,0.1,1e-06,0.15032091160537675,0.09098364479887378,0.0014216194499824027,0.3705334763305732,0.45137826942682824,0.007052785459794191,4.225528299983125,16,512,0.37170848950063373,0.45046686726792634,0.007038544801061349,0.0022395967098418623,0.003925006416178573,0.0001734624158175361,0.15032091160537675,0.09098364479887378,0.0014216194499824027,0.3704153195017126,0.4506679034846082,0.0070416859919470035,4.071196299977601,16,512,0.3861547726264689,0.42910255596897967,0.006704727437015307,0.03799384390003979,0.0022512752902179483,9.94932515019265e-05,1596.4591764703268,3.8864549866059805,-0.03188830062825776
runs\final_1d\unlabeled_adaptation\baseline\beta_0.1\epochs_5\seed_31,runs\final_1d\four_method\baseline\seed_31\checkpoints\best.pt,baseline,31,projector,5,1e-05,0.1,1e-06,0.1511996851186268,0.0908711544292868,0.0014198617879576062,0.3879100177837884,0.45388138496178304,0.00709189664002786,4.6582247000187635,16,512,0.38922753355382156,0.45281561674322063,0.007075244011612822,0.0025478020615992136,0.00491197311930724,0.00021708059385426175,0.1511996851186268,0.0908711544292868,0.0014198617879576062,0.3877364868762214,0.4532207678280624,0.007081574497313475,4.823337199981324,16,512,0.3996792226243997,0.4355196934541221,0.006804995210220658,0.03119724290445447,0.002626005519190924,0.00011605414437832517,1124.4767116984146,2.6852388820363116,-0.044734835299797826
runs\final_1d\unlabeled_adaptation\baseline\beta_0.1\epochs_5\seed_47,runs\final_1d\four_method\baseline\seed_47\checkpoints\best.pt,baseline,47,projector,5,1e-05,0.1,1e-06,0.14870696765137836,0.09005102665737404,0.0014070472915214693,0.36107355492523663,0.4459942233000593,0.006968659739063426,4.547589100024197,16,512,0.3623362204998557,0.44504021339864636,0.006953753334353849,0.0023707084110355936,0.004410823013485573,0.0001949326789655832,0.14870696765137836,0.09005102665737404,0.0014070472915214693,0.3611039560936087,0.44548816322914175,0.00696075255045534,4.51782040001126,16,512,0.3763509711425286,0.4248858188286483,0.0066388409191976295,0.036222641821950674,0.0022644447310830175,0.00010007526406068435,1427.924803123619,3.8678856403974837,0.008419660747049917
