checkpoint,run_dir,method,seed,severity,severity_scale,max_shift,max_boost,relative_l2,relative_l2_std,relative_l2_stderr,orbit_ood_relative_l2,orbit_ood_relative_l2_std,orbit_ood_relative_l2_stderr,equivariance_defect_relative,equivariance_defect_relative_std,equivariance_defect_relative_stderr,epsilon_mean,epsilon_mean_std,epsilon_mean_stderr,num_samples,num_batches,eval_seconds
runs\ablations\2d_galilean_n64_2pct_lambda_robustness\fraction_0.02\aug_orbit_lambda_0.1_steps_4\seed_23\checkpoints\best.pt,runs\ablations\2d_galilean_n64_2pct_lambda_0p1_ood_severity\fraction_0.02\boost_0.25\aug_orbit_lambda_0.1_steps_4\seed_23,aug_orbit_lambda_0.1_steps_4,23,train_radius,1.0,,0.25,0.35174218751490116,0.077843177434051,0.004865198589628188,0.37113746954128146,0.10619757007649679,0.0033186740648905246,0.2500362806022167,0.11778406062126293,0.0036807518944144664,0.19384399359114468,0.07190105852850656,0.00224690807901583,256,16,17.47692709999683
runs\ablations\2d_galilean_n64_2pct_lambda_robustness\fraction_0.02\aug_orbit_lambda_0.1_steps_4\seed_31\checkpoints\best.pt,runs\ablations\2d_galilean_n64_2pct_lambda_0p1_ood_severity\fraction_0.02\boost_0.25\aug_orbit_lambda_0.1_steps_4\seed_31,aug_orbit_lambda_0.1_steps_4,31,train_radius,1.0,,0.25,0.37398373521864414,0.0797110701849171,0.004981941886557319,0.39796749595552683,0.11283288754820338,0.0035260277358813556,0.2640515533275902,0.1304540176117598,0.004076688050367493,0.19130657613277435,0.07124281708448539,0.0022263380338901685,256,16,18.17045620000863
runs\ablations\2d_galilean_n64_2pct_lambda_robustness\fraction_0.02\aug_orbit_lambda_0.1_steps_4\seed_47\checkpoints\best.pt,runs\ablations\2d_galilean_n64_2pct_lambda_0p1_ood_severity\fraction_0.02\boost_0.25\aug_orbit_lambda_0.1_steps_4\seed_47,aug_orbit_lambda_0.1_steps_4,47,train_radius,1.0,,0.25,0.37636843882501125,0.08209717624324323,0.0051310735152027016,0.4056654120795429,0.12561124392585768,0.0039253513726830525,0.27253363747149706,0.1398933977864775,0.004371668680827422,0.19076048978604376,0.07208337280867372,0.0022526054002710537,256,16,17.65037790000497
runs\ablations\2d_galilean_n64_2pct_lambda_robustness\fraction_0.02\aug_orbit_lambda_0.1_steps_4\seed_59\checkpoints\best.pt,runs\ablations\2d_galilean_n64_2pct_lambda_0p1_ood_severity\fraction_0.02\boost_0.25\aug_orbit_lambda_0.1_steps_4\seed_59,aug_orbit_lambda_0.1_steps_4,59,train_radius,1.0,,0.25,0.3189374580979347,0.10069071630808267,0.006293169769255167,0.35754272574558854,0.1588321114264631,0.004963503482076972,0.2501835951115936,0.16194844101585626,0.005060888781745508,0.18786881281994283,0.07068576869926484,0.002208930271852026,256,16,17.92551370000001
runs\ablations\2d_galilean_n64_2pct_lambda_robustness\fraction_0.02\aug_orbit_lambda_0.1_steps_4\seed_71\checkpoints\best.pt,runs\ablations\2d_galilean_n64_2pct_lambda_0p1_ood_severity\fraction_0.02\boost_0.25\aug_orbit_lambda_0.1_steps_4\seed_71,aug_orbit_lambda_0.1_steps_4,71,train_radius,1.0,,0.25,0.4171714447438717,0.07889951710680652,0.004931219819175408,0.4391987882554531,0.1187515856623455,0.003710987051948297,0.28618668485432863,0.14488541354131307,0.004527669173166033,0.18757525039836764,0.07260955469463089,0.0022690485842072152,256,16,16.006471899992903
runs\ablations\2d_galilean_n64_2pct_lambda_robustness\fraction_0.02\aug_orbit_lambda_0.1_steps_4\seed_23\checkpoints\best.pt,runs\ablations\2d_galilean_n64_2pct_lambda_0p1_ood_severity\fraction_0.02\boost_0.35\aug_orbit_lambda_0.1_steps_4\seed_23,aug_orbit_lambda_0.1_steps_4,23,boost_0.35,1.4,,0.35,0.35174218751490116,0.077843177434051,0.004865198589628188,0.3981181844137609,0.1428791583228551,0.004464973697589222,0.3249003612436354,0.16423059272274346,0.005132206022585733,0.27138158469460905,0.10066149129388946,0.0031456716029340456,256,16,17.560315099995933
runs\ablations\2d_galilean_n64_2pct_lambda_robustness\fraction_0.02\aug_orbit_lambda_0.1_steps_4\seed_31\checkpoints\best.pt,runs\ablations\2d_galilean_n64_2pct_lambda_0p1_ood_severity\fraction_0.02\boost_0.35\aug_orbit_lambda_0.1_steps_4\seed_31,aug_orbit_lambda_0.1_steps_4,31,boost_0.35,1.4,,0.35,0.37398373521864414,0.0797110701849171,0.004981941886557319,0.4277517646551132,0.1540617860435141,0.004814430813859815,0.3460017731413245,0.18133277319364427,0.0056666491623013834,0.26782919582910836,0.09973995662011276,0.0031168736443785237,256,16,16.775828400001046
runs\ablations\2d_galilean_n64_2pct_lambda_robustness\fraction_0.02\aug_orbit_lambda_0.1_steps_4\seed_47\checkpoints\best.pt,runs\ablations\2d_galilean_n64_2pct_lambda_0p1_ood_severity\fraction_0.02\boost_0.35\aug_orbit_lambda_0.1_steps_4\seed_47,aug_orbit_lambda_0.1_steps_4,47,boost_0.35,1.4,,0.35,0.37636843882501125,0.08209717624324323,0.0051310735152027016,0.43700246745720506,0.1695871410302747,0.005299598157196084,0.3546370998956263,0.19184845978363713,0.00599526436823866,0.26706468244083226,0.10091671930522797,0.003153647478288374,256,16,16.53040200000396
runs\ablations\2d_galilean_n64_2pct_lambda_robustness\fraction_0.02\aug_orbit_lambda_0.1_steps_4\seed_59\checkpoints\best.pt,runs\ablations\2d_galilean_n64_2pct_lambda_0p1_ood_severity\fraction_0.02\boost_0.35\aug_orbit_lambda_0.1_steps_4\seed_59,aug_orbit_lambda_0.1_steps_4,59,boost_0.35,1.4,,0.35,0.3189374580979347,0.10069071630808267,0.006293169769255167,0.39465377293527126,0.20651149063879723,0.006453484082462413,0.33092961739748716,0.2225917460430611,0.006955992063845659,0.2630163317080587,0.09896007962304945,0.0030925024882202954,256,16,16.698024899989832
runs\ablations\2d_galilean_n64_2pct_lambda_robustness\fraction_0.02\aug_orbit_lambda_0.1_steps_4\seed_71\checkpoints\best.pt,runs\ablations\2d_galilean_n64_2pct_lambda_0p1_ood_severity\fraction_0.02\boost_0.35\aug_orbit_lambda_0.1_steps_4\seed_71,aug_orbit_lambda_0.1_steps_4,71,boost_0.35,1.4,,0.35,0.4171714447438717,0.07889951710680652,0.004931219819175408,0.46324259229004383,0.1558852173486794,0.004871413042146232,0.3672456662170589,0.1905703248048617,0.005955322650151928,0.2626053432468325,0.1016533802676631,0.003176668133364472,256,16,34.465706999995746
runs\ablations\2d_galilean_n64_2pct_lambda_robustness\fraction_0.02\aug_orbit_lambda_0.1_steps_4\seed_23\checkpoints\best.pt,runs\ablations\2d_galilean_n64_2pct_lambda_0p1_ood_severity\fraction_0.02\boost_0.50\aug_orbit_lambda_0.1_steps_4\seed_23,aug_orbit_lambda_0.1_steps_4,23,boost_0.50,2.0,,0.5,0.35174218751490116,0.077843177434051,0.004865198589628188,0.4650816125795245,0.22417884806109478,0.007005589001909212,0.43329867720603943,0.24745034688097595,0.007732823340030498,0.38768798718228936,0.14380211705701312,0.00449381615803166,256,16,16.701179800002137
runs\ablations\2d_galilean_n64_2pct_lambda_robustness\fraction_0.02\aug_orbit_lambda_0.1_steps_4\seed_31\checkpoints\best.pt,runs\ablations\2d_galilean_n64_2pct_lambda_0p1_ood_severity\fraction_0.02\boost_0.50\aug_orbit_lambda_0.1_steps_4\seed_31,aug_orbit_lambda_0.1_steps_4,31,boost_0.50,2.0,,0.5,0.37398373521864414,0.0797110701849171,0.004981941886557319,0.49626670638099313,0.23572963503693356,0.007366551094904174,0.46008896362036467,0.26260268029982253,0.008206333759369454,0.3826131522655487,0.14248563416897078,0.004452676067780337,256,16,14.497966199996881
runs\ablations\2d_galilean_n64_2pct_lambda_robustness\fraction_0.02\aug_orbit_lambda_0.1_steps_4\seed_47\checkpoints\best.pt,runs\ablations\2d_galilean_n64_2pct_lambda_0p1_ood_severity\fraction_0.02\boost_0.50\aug_orbit_lambda_0.1_steps_4\seed_47,aug_orbit_lambda_0.1_steps_4,47,boost_0.50,2.0,,0.5,0.37636843882501125,0.08209717624324323,0.0051310735152027016,0.5050130616873503,0.25276152813222624,0.00789879775413207,0.46700761606916785,0.2733581228830139,0.008542441340094185,0.3815209795720875,0.14416674561734744,0.004505210800542107,256,16,15.813010600002599
runs\ablations\2d_galilean_n64_2pct_lambda_robustness\fraction_0.02\aug_orbit_lambda_0.1_steps_4\seed_59\checkpoints\best.pt,runs\ablations\2d_galilean_n64_2pct_lambda_0p1_ood_severity\fraction_0.02\boost_0.50\aug_orbit_lambda_0.1_steps_4\seed_59,aug_orbit_lambda_0.1_steps_4,59,boost_0.50,2.0,,0.5,0.3189374580979347,0.10069071630808267,0.006293169769255167,0.47255608532577753,0.28885844442117087,0.00902682638816159,0.4478203230537474,0.30738210145375106,0.00960569067042972,0.37573762563988566,0.14137153739852967,0.004417860543704052,256,16,17.119194200000493
runs\ablations\2d_galilean_n64_2pct_lambda_robustness\fraction_0.02\aug_orbit_lambda_0.1_steps_4\seed_71\checkpoints\best.pt,runs\ablations\2d_galilean_n64_2pct_lambda_0p1_ood_severity\fraction_0.02\boost_0.50\aug_orbit_lambda_0.1_steps_4\seed_71,aug_orbit_lambda_0.1_steps_4,71,boost_0.50,2.0,,0.5,0.4171714447438717,0.07889951710680652,0.004931219819175408,0.516153625678271,0.22610246513529733,0.007065702035478042,0.4720157156698406,0.25791785563933084,0.008059932988729089,0.3751505007967353,0.14521910938926177,0.0045380971684144305,256,16,18.57379840000067
