checkpoint,run_dir,method,seed,severity,severity_scale,max_shift,max_boost,relative_l2,relative_l2_std,relative_l2_stderr,orbit_ood_relative_l2,orbit_ood_relative_l2_std,orbit_ood_relative_l2_stderr,equivariance_defect_relative,equivariance_defect_relative_std,equivariance_defect_relative_stderr,epsilon_mean,epsilon_mean_std,epsilon_mean_stderr,num_samples,num_batches,eval_seconds
runs\final_1d\four_method\aug\seed_31\checkpoints\best.pt,runs\final_1d\ood_severity\scale_2.0\aug\seed_31,aug,31,2x,2.0,0.5,0.7,0.0026407567420392297,0.004007263582800152,0.00017709770333749298,0.037501788094232325,0.07911933619149454,0.0012362396279921022,0.03613074469905708,0.07967166778916658,0.0012448698092057278,0.30054413084872067,0.18206932146454355,0.002844833147883493,512,16,4.077075699984562
runs\final_1d\four_method\aug\seed_47\checkpoints\best.pt,runs\final_1d\ood_severity\scale_2.0\aug\seed_47,aug,47,2x,2.0,0.5,0.7,0.0023540331167168915,0.0035344226710781737,0.00015620088989367793,0.03949731765260367,0.08520632158385837,0.001331348774747787,0.03822381755953064,0.08572391533012536,0.0013394361770332087,0.3000752563821152,0.18084647850265276,0.0028257262266039493,512,16,4.05592070001876
runs\final_1d\four_method\aug_orbit\seed_23\checkpoints\best.pt,runs\final_1d\ood_severity\scale_2.0\aug_orbit\seed_23,aug_orbit,23,2x,2.0,0.5,0.7,0.0026533471900620498,0.004231149612545022,0.00018699216145283862,0.03479020634222252,0.07827059049643198,0.0012229779765067497,0.03315555716359664,0.0788675015647982,0.0012323047119499719,0.2954277712851763,0.1801050399521279,0.0028141412492519984,512,16,4.280344899976626
runs\final_1d\four_method\aug_orbit\seed_31\checkpoints\best.pt,runs\final_1d\ood_severity\scale_2.0\aug_orbit\seed_31,aug_orbit,31,2x,2.0,0.5,0.7,0.0026580190315144137,0.004603542479473036,0.0002034497565447323,0.04021113125691045,0.0855360856218195,0.0013365013378409296,0.038799848245828716,0.08608001099566417,0.0013450001718072527,0.30054413084872067,0.18206932146454355,0.002844833147883493,512,16,4.281329299963545
runs\final_1d\four_method\aug_orbit\seed_47\checkpoints\best.pt,runs\final_1d\ood_severity\scale_2.0\aug_orbit\seed_47,aug_orbit,47,2x,2.0,0.5,0.7,0.0026531382609391585,0.004146406454274224,0.00018324700758581074,0.03804977815798338,0.08316654932074588,0.0012994773331366544,0.03655882096748586,0.08374026000375796,0.0013084415625587182,0.3000752563821152,0.18084647850265276,0.0028257262266039493,512,16,4.292245600023307
runs\final_1d\four_method\baseline\seed_23\checkpoints\best.pt,runs\final_1d\ood_severity\scale_2.0\baseline\seed_23,baseline,23,2x,2.0,0.5,0.7,0.0022395967098418623,0.003925006416178573,0.0001734624158175361,0.428954344963131,0.5265451280278256,0.008227267625434775,0.4276228163654032,0.5275920112801606,0.00824362517625251,0.2954277712851763,0.1801050399521279,0.0028141412492519984,512,16,4.082892999984324
runs\final_1d\four_method\baseline\seed_31\checkpoints\best.pt,runs\final_1d\ood_severity\scale_2.0\baseline\seed_31,baseline,31,2x,2.0,0.5,0.7,0.0025478020615992136,0.00491197311930724,0.00021708059385426175,0.5009048959373104,0.5370605520970171,0.008391571126515892,0.49961323328148843,0.5382387079692328,0.008409979812019262,0.30054413084872067,0.18206932146454355,0.002844833147883493,512,16,3.9301284999819472
runs\final_1d\four_method\baseline\seed_47\checkpoints\best.pt,runs\final_1d\ood_severity\scale_2.0\baseline\seed_47,baseline,47,2x,2.0,0.5,0.7,0.0023707084110355936,0.004410823013485573,0.0001949326789655832,0.46974435550055205,0.5357005747829408,0.00837032148098345,0.46852251481377394,0.5367560781565303,0.008386813721195785,0.3000752563821152,0.18084647850265276,0.0028257262266039493,512,16,4.02246579999337
runs\final_1d\four_method\orbit\seed_23\checkpoints\best.pt,runs\final_1d\ood_severity\scale_2.0\orbit\seed_23,orbit,23,2x,2.0,0.5,0.7,0.002793292784190271,0.004604886482286684,0.00020350915363869882,0.06108978205338644,0.11236405103747855,0.0017556882974606024,0.05940396166125472,0.11315361693254501,0.0017680252645710158,0.2954277712851763,0.1801050399521279,0.0028141412492519984,512,16,3.9680721999611706
runs\final_1d\four_method\orbit\seed_31\checkpoints\best.pt,runs\final_1d\ood_severity\scale_2.0\orbit\seed_31,orbit,31,2x,2.0,0.5,0.7,0.0028756742976838723,0.004901247421852906,0.00021660658051657954,0.07968119821998698,0.13471027386605414,0.002104848029157096,0.07816862537810887,0.13547766390021218,0.0021168384984408153,0.30054413084872067,0.18206932146454355,0.002844833147883493,512,16,4.133216599992011
runs\final_1d\four_method\orbit\seed_47\checkpoints\best.pt,runs\final_1d\ood_severity\scale_2.0\orbit\seed_47,orbit,47,2x,2.0,0.5,0.7,0.0027949968352913857,0.004628075705258385,0.00020453398218955735,0.07120056637268135,0.12382920199089156,0.0019348312811076807,0.0696587822079211,0.12460684953141452,0.0019469820239283518,0.3000752563821152,0.18084647850265276,0.0028257262266039493,512,16,4.735154599999078
runs\final_1d\four_method\aug\seed_23\checkpoints\best.pt,runs\final_1d\ood_severity\scale_3.0\aug\seed_23,aug,23,3x,3.0,0.75,1.05,0.002540455010603182,0.0041449124273893415,0.0001831809803019623,0.08376372837938106,0.15417562838668067,0.0024089941935418854,0.08221204104290392,0.15495063903222028,0.002421103734878442,0.4431416557636112,0.2701575463517036,0.0042212116617453685,512,16,3.9869295000098646
runs\final_1d\four_method\aug\seed_31\checkpoints\best.pt,runs\final_1d\ood_severity\scale_3.0\aug\seed_31,aug,31,3x,3.0,0.75,1.05,0.0026407567420392297,0.004007263582800152,0.00017709770333749298,0.09143520111774706,0.15435307616093552,0.0024117668150146175,0.09008616533405345,0.1551001476585623,0.002423439807165036,0.450816186144948,0.2731039865403771,0.004267249789693392,512,16,4.029993100033607
runs\final_1d\four_method\aug\seed_47\checkpoints\best.pt,runs\final_1d\ood_severity\scale_3.0\aug\seed_47,aug,47,3x,3.0,0.75,1.05,0.0023540331167168915,0.0035344226710781737,0.00015620088989367793,0.09380582709582086,0.1626386594493468,0.0025412290538960438,0.09254869761559958,0.1633313350944732,0.0025520521108511438,0.450112879043445,0.27126970363457203,0.004238589119290188,512,16,4.175696300051641
runs\final_1d\four_method\aug_orbit\seed_23\checkpoints\best.pt,runs\final_1d\ood_severity\scale_3.0\aug_orbit\seed_23,aug_orbit,23,3x,3.0,0.75,1.05,0.0026533471900620498,0.004231149612545022,0.00018699216145283862,0.08334041652233282,0.15302023229332803,0.0023909411295832505,0.08172416892153755,0.15382979435796332,0.002403590536843177,0.4431416557636112,0.2701575463517036,0.0042212116617453685,512,16,4.194362799986266
runs\final_1d\four_method\aug_orbit\seed_31\checkpoints\best.pt,runs\final_1d\ood_severity\scale_3.0\aug_orbit\seed_31,aug_orbit,31,3x,3.0,0.75,1.05,0.0026580190315144137,0.004603542479473036,0.0002034497565447323,0.09698435996051558,0.16282025188535854,0.002544066435708727,0.09561202644905076,0.1635731971360334,0.002555831205250522,0.450816186144948,0.2731039865403771,0.004267249789693392,512,16,4.831060900003649
runs\final_1d\four_method\aug_orbit\seed_47\checkpoints\best.pt,runs\final_1d\ood_severity\scale_3.0\aug_orbit\seed_47,aug_orbit,47,3x,3.0,0.75,1.05,0.0026531382609391585,0.004146406454274224,0.00018324700758581074,0.0916160517017488,0.1601694600200223,0.0025026478128128485,0.090151161254449,0.16095066984462847,0.00251485421632232,0.450112879043445,0.27126970363457203,0.004238589119290188,512,16,4.880342999997083
runs\final_1d\four_method\baseline\seed_23\checkpoints\best.pt,runs\final_1d\ood_severity\scale_3.0\baseline\seed_23,baseline,23,3x,3.0,0.75,1.05,0.0022395967098418623,0.003925006416178573,0.0001734624158175361,0.4509772083538337,0.5382916500311444,0.008410807031736632,0.4496538831251815,0.5393719663518426,0.00842768697424754,0.4431416557636112,0.2701575463517036,0.0042212116617453685,512,16,4.685283500002697
runs\final_1d\four_method\baseline\seed_31\checkpoints\best.pt,runs\final_1d\ood_severity\scale_3.0\baseline\seed_31,baseline,31,3x,3.0,0.75,1.05,0.0025478020615992136,0.00491197311930724,0.00021708059385426175,0.5275054354187887,0.5491929769507529,0.008581140264855514,0.5262145972903998,0.5504077485992849,0.008600121071863826,0.450816186144948,0.2731039865403771,0.004267249789693392,512,16,4.716346699977294
runs\final_1d\four_method\baseline\seed_47\checkpoints\best.pt,runs\final_1d\ood_severity\scale_3.0\baseline\seed_47,baseline,47,3x,3.0,0.75,1.05,0.0023707084110355936,0.004410823013485573,0.0001949326789655832,0.4929382317850468,0.5471148187561171,0.00854866904306433,0.49172181218221134,0.5482046059356283,0.008565696967744191,0.450112879043445,0.27126970363457203,0.004238589119290188,512,16,4.583473599981517
runs\final_1d\four_method\orbit\seed_23\checkpoints\best.pt,runs\final_1d\ood_severity\scale_3.0\orbit\seed_23,orbit,23,3x,3.0,0.75,1.05,0.002793292784190271,0.004604886482286684,0.00020350915363869882,0.1087447831823738,0.17944419091653396,0.002803815483070843,0.10706520794458996,0.1803763852576418,0.002818381019650653,0.4431416557636112,0.2701575463517036,0.0042212116617453685,512,16,4.610192899999674
runs\final_1d\four_method\orbit\seed_31\checkpoints\best.pt,runs\final_1d\ood_severity\scale_3.0\orbit\seed_31,orbit,31,3x,3.0,0.75,1.05,0.0028756742976838723,0.004901247421852906,0.00021660658051657954,0.13660332967083377,0.19799978766970444,0.003093746682339132,0.13511578288397197,0.19894590162341558,0.0031085297128658684,0.450816186144948,0.2731039865403771,0.004267249789693392,512,16,4.6625192000065
runs\final_1d\four_method\orbit\seed_47\checkpoints\best.pt,runs\final_1d\ood_severity\scale_3.0\orbit\seed_47,orbit,47,3x,3.0,0.75,1.05,0.0027949968352913857,0.004628075705258385,0.00020453398218955735,0.12614565652711462,0.19315397217112087,0.0030180308151737637,0.12462502985528223,0.19407829096381715,0.003032473296309643,0.450112879043445,0.27126970363457203,0.004238589119290188,512,16,4.02566119999392
