data_fraction,lambda_orbit,method,model_name,dataset_kind,relative_l2_mean,relative_l2_std,relative_l2_count,orbit_ood_relative_l2_mean,orbit_ood_relative_l2_std,orbit_ood_relative_l2_count,equivariance_defect_relative_mean,equivariance_defect_relative_std,equivariance_defect_relative_count,latency_ms_per_sample_mean,latency_ms_per_sample_std,latency_ms_per_sample_count,latency_ms_per_batch_mean,latency_ms_per_batch_std,latency_ms_per_batch_count
0.05,0.01,aug_orbit,fno1d,burgers1d,0.03369312050441901,0.0020213065042197133,3,0.0461342565928741,0.002638632349231184,3,0.02543087052586805,0.002432159767956596,3,0.5350288541668154,0.013186312104938949,3,17.120923333338094,0.42196198735804635,3
0.05,0.05,aug_orbit,fno1d,burgers1d,0.03481177962385118,0.0019654897136539414,3,0.04690929423668422,0.002385726878331959,3,0.025299340719467562,0.0023572217430423027,3,0.5098467708345803,0.012510656945350657,3,16.31509666670657,0.40034102225122103,3
0.05,0.1,aug_orbit,fno1d,burgers1d,0.03479238836249957,0.0020267729703240243,3,0.04619049117900431,0.0027542504997290266,3,0.02450970820799636,0.0026086580550502394,3,0.5255374479171829,0.028029945885214073,3,16.817198333349854,0.8969582683268503,3
0.05,0.25,aug_orbit,fno1d,burgers1d,0.034340765327215195,0.0020972384940100963,3,0.044731949970203765,0.0036237545010737514,3,0.023053168958124592,0.0031383827194478484,3,0.7205542708334178,0.3309848345826937,3,23.05773666666937,10.591514706646198,3
0.05,0.5,aug_orbit,fno1d,burgers1d,0.03308781981468201,0.0018633184948944343,3,0.04216924143838696,0.0034503212468923643,3,0.020988510617947858,0.0028486263067598284,3,0.44958437499834264,0.036829917874078126,3,14.386699999946964,1.1785573719705,3
1.0,0.01,aug_orbit,fno1d,burgers1d,0.002586881705307557,5.9776106844564946e-05,3,0.003948686739022378,0.00018623886962137545,3,0.002508198850213509,0.00026363593429622244,3,0.47531932291917656,0.05819734056888139,3,15.21021833341365,1.8623148982042044,3
1.0,0.05,aug_orbit,fno1d,burgers1d,0.0026053216958340877,6.597465746059945e-05,3,0.0038883311917743413,0.00025736706832830557,3,0.0024276835246843653,0.0003118728880542156,3,0.5127650000019912,0.038797597639237125,3,16.40848000006372,1.241523124455588,3
1.0,0.1,aug_orbit,fno1d,burgers1d,0.0026180917435946562,0.00013007722654490174,3,0.0038490500974148745,0.00028175842598976306,3,0.0023731777534733802,0.0003209956868043174,3,0.45182958333119433,0.03917810502445484,3,14.458546666598219,1.2536993607825548,3
1.0,0.25,aug_orbit,fno1d,burgers1d,0.0026444625206446895,3.208915051063376e-05,3,0.0037640017702263626,0.0002265698125047608,3,0.002250687529027129,0.0002684315001694803,3,0.44724135416345234,0.00976474839509747,3,14.311723333230475,0.31247194864311906,3
1.0,0.5,aug_orbit,fno1d,burgers1d,0.002711356619935638,0.00010842523036792366,3,0.003819231951032028,0.0002581078643765505,3,0.0022567467652508575,0.00029192635822555195,3,0.4749047395876005,0.04679456068441578,3,15.196951666803216,1.497425941901305,3
