method,data_fraction,steps_per_epoch,orbit_data_fraction,orbit_steps_per_epoch,relative_l2_mean,relative_l2_std,relative_l2_count,orbit_ood_relative_l2_mean,orbit_ood_relative_l2_std,orbit_ood_relative_l2_count,equivariance_defect_relative_mean,equivariance_defect_relative_std,equivariance_defect_relative_count,latency_ms_per_sample_mean,latency_ms_per_sample_std,latency_ms_per_sample_count,latency_ms_per_batch_mean,latency_ms_per_batch_std,latency_ms_per_batch_count
aug,0.02,6.0,,,0.5008777312934398,0.05901367076480936,5,0.5276326760649681,0.052453832084405086,5,0.38155395807698367,0.03223247224996371,5,18.75639699999283,7.341721610499359,5,300.1023519998853,117.46754576798975,5
aug_orbit,0.02,4.0,,,0.4239921417087317,0.044064674324690044,5,0.451808912307024,0.039686252218343494,5,0.3160910136066377,0.02465181255498835,5,17.61713656250322,3.5117361662435447,5,281.8741850000515,56.187778659896715,5
semi_aug_orbit,0.02,4.0,1.0,4.0,0.49482967642446357,0.04825441314972342,3,0.5086422236636281,0.04898602339801576,3,0.24632303478817144,0.021695781589148224,3,15.194163437475558,0.4290654993199261,3,243.10661499960892,6.865047989118818,3
