checkpoint,run_dir,method,seed,severity,severity_scale,max_shift,max_boost,epsilon_mean,epsilon_mean_std,epsilon_mean_stderr,equivariance_defect_relative,equivariance_defect_relative_std,equivariance_defect_relative_stderr,eval_seconds,num_batches,num_samples,orbit_ood_relative_l2,orbit_ood_relative_l2_std,orbit_ood_relative_l2_stderr,relative_l2,relative_l2_std,relative_l2_stderr
runs\ablations\2d_galilean_n64_paper_ladder\fraction_0.02\aug_orbit_lambda_0.05_steps_4\seed_23\checkpoints\best.pt,runs\ablations\2d_galilean_n64_label_efficiency_2pct_ood_severity\fraction_0.02\boost_0.20\aug_orbit_steps_4\seed_23,aug_orbit_steps_4,23,boost_0.20,0.8,,0.2,0.1550751980394125,0.0575208528073278,0.0017975266502289,0.2454982937779277,0.1055566469980928,0.0032986452186904,15.03239449999819,16,256,0.4191803708672523,0.0967481112502743,0.003023378476571,0.4079300407320261,0.0823583902997027,0.0051473993937314
runs\ablations\2d_galilean_n64_paper_ladder\fraction_0.02\aug_orbit_lambda_0.05_steps_4\seed_31\checkpoints\best.pt,runs\ablations\2d_galilean_n64_label_efficiency_2pct_ood_severity\fraction_0.02\boost_0.20\aug_orbit_steps_4\seed_31,aug_orbit_steps_4,31,boost_0.20,0.8,,0.2,0.1530452632578089,0.0569942582603,0.0017810705706343,0.2732206531800329,0.1224979744377777,0.0038280617011805,16.137273399996047,16,256,0.4586268360726535,0.1075001109771257,0.0033593784680351,0.4431467857211828,0.0917335109721332,0.0057333444357583
runs\ablations\2d_galilean_n64_paper_ladder\fraction_0.02\aug_orbit_lambda_0.05_steps_4\seed_47\checkpoints\best.pt,runs\ablations\2d_galilean_n64_label_efficiency_2pct_ood_severity\fraction_0.02\boost_0.20\aug_orbit_steps_4\seed_47,aug_orbit_steps_4,47,boost_0.20,0.8,,0.2,0.1526083953212946,0.057666699259849,0.0018020843518702,0.2725604344159364,0.1252863106060578,0.0039151972064393,22.40429390000645,16,256,0.4618884208612144,0.1120811013125477,0.0035025344160171,0.4441098347306251,0.0878947273504933,0.0054934204594058
runs\ablations\2d_galilean_n64_paper_ladder\fraction_0.02\aug_orbit_lambda_0.05_steps_4\seed_59\checkpoints\best.pt,runs\ablations\2d_galilean_n64_label_efficiency_2pct_ood_severity\fraction_0.02\boost_0.20\aug_orbit_steps_4\seed_59,aug_orbit_steps_4,59,boost_0.20,0.8,,0.2,0.1502950506983325,0.0565486229859426,0.0017671444683107,0.2348808136302977,0.136743671879008,0.004273239746219,27.03666460000386,16,256,0.3820790718309581,0.1450849099893968,0.0045339034371686,0.3555195834487676,0.1053543522750749,0.0065846470171921
runs\ablations\2d_galilean_n64_paper_ladder\fraction_0.02\aug_orbit_lambda_0.05_steps_4\seed_71\checkpoints\best.pt,runs\ablations\2d_galilean_n64_label_efficiency_2pct_ood_severity\fraction_0.02\boost_0.20\aug_orbit_steps_4\seed_71,aug_orbit_steps_4,71,boost_0.20,0.8,,0.2,0.1500602009473368,0.0580876461199292,0.0018152389412477,0.2825622642412781,0.1291235282482618,0.0040351102577581,35.5516282000026,16,256,0.4831150188110769,0.1120902478172675,0.0035028202442896,0.4692544639110565,0.0891467546566065,0.0055716721660379
runs\ablations\2d_galilean_n64_label_efficiency_compute_matched\fraction_0.02\aug_steps_6\seed_23\checkpoints\best.pt,runs\ablations\2d_galilean_n64_label_efficiency_2pct_ood_severity\fraction_0.02\boost_0.20\aug_steps_6\seed_23,aug_steps_6,23,boost_0.20,0.8,,0.2,0.1550751980394125,0.0575208528073278,0.0017975266502289,0.3041425216943025,0.1224621563508355,0.0038269423859636,18.55234259999997,16,256,0.4881017762236297,0.1028202473010439,0.0032131327281576,0.4750366043299436,0.0904988943811234,0.0056561808988202
runs\ablations\2d_galilean_n64_label_efficiency_compute_matched\fraction_0.02\aug_steps_6\seed_31\checkpoints\best.pt,runs\ablations\2d_galilean_n64_label_efficiency_2pct_ood_severity\fraction_0.02\boost_0.20\aug_steps_6\seed_31,aug_steps_6,31,boost_0.20,0.8,,0.2,0.1530452632578089,0.0569942582603,0.0017810705706343,0.341008560732007,0.1406611652026017,0.0043956614125813,17.394898400001694,16,256,0.5600695637986064,0.1092665658909214,0.0034145801840912,0.5449895411729813,0.0935792729209056,0.0058487045575566
runs\ablations\2d_galilean_n64_label_efficiency_compute_matched\fraction_0.02\aug_steps_6\seed_47\checkpoints\best.pt,runs\ablations\2d_galilean_n64_label_efficiency_2pct_ood_severity\fraction_0.02\boost_0.20\aug_steps_6\seed_47,aug_steps_6,47,boost_0.20,0.8,,0.2,0.1526083953212946,0.057666699259849,0.0018020843518702,0.337521880865097,0.1371466934190522,0.0042858341693453,15.095219599999837,16,256,0.5519582414999604,0.1142193304439452,0.0035693540763732,0.5343834832310677,0.093936737826763,0.0058710461141726
runs\ablations\2d_galilean_n64_label_efficiency_compute_matched\fraction_0.02\aug_steps_6\seed_59\checkpoints\best.pt,runs\ablations\2d_galilean_n64_label_efficiency_2pct_ood_severity\fraction_0.02\boost_0.20\aug_steps_6\seed_59,aug_steps_6,59,boost_0.20,0.8,,0.2,0.1502950506983325,0.0565486229859426,0.0017671444683107,0.2783382427878678,0.1403172987425323,0.0043849155857041,38.50354390000575,16,256,0.4356270330026746,0.1478536683884773,0.0046204271371399,0.4084545504301786,0.1118689592374649,0.0069918099523415
runs\ablations\2d_galilean_n64_label_efficiency_compute_matched\fraction_0.02\aug_steps_6\seed_71\checkpoints\best.pt,runs\ablations\2d_galilean_n64_label_efficiency_2pct_ood_severity\fraction_0.02\boost_0.20\aug_steps_6\seed_71,aug_steps_6,71,boost_0.20,0.8,,0.2,0.1500602009473368,0.0580876461199292,0.0018152389412477,0.341250556986779,0.1387153470789424,0.0043348545962169,28.058436700011956,16,256,0.5524719236418605,0.108599142589862,0.0033937232059331,0.5415244773030281,0.0888614237093296,0.0055538389818331
runs\ablations\2d_galilean_n64_paper_ladder\fraction_0.02\aug_orbit_lambda_0.05_steps_4\seed_23\checkpoints\best.pt,runs\ablations\2d_galilean_n64_label_efficiency_2pct_ood_severity\fraction_0.02\boost_0.25\aug_orbit_steps_4\seed_23,aug_orbit_steps_4,23,train_radius,1.0,,0.25,0.1938439935911446,0.0719010585285065,0.0022469080790158,0.2929801498539746,0.1270920188734797,0.0039716255897962,17.1510083999965,16,256,0.4279166623018682,0.1079855838681889,0.0033745494958809,0.4079300407320261,0.0823583902997027,0.0051473993937314
runs\ablations\2d_galilean_n64_paper_ladder\fraction_0.02\aug_orbit_lambda_0.05_steps_4\seed_31\checkpoints\best.pt,runs\ablations\2d_galilean_n64_label_efficiency_2pct_ood_severity\fraction_0.02\boost_0.25\aug_orbit_steps_4\seed_31,aug_orbit_steps_4,31,train_radius,1.0,,0.25,0.1913065761327743,0.0712428170844853,0.0022263380338901,0.3264497583732009,0.1468127762314851,0.0045878992572339,15.338074100000084,16,256,0.4686494464986026,0.1202463994578061,0.0037576999830564,0.4431467857211828,0.0917335109721332,0.0057333444357583
runs\ablations\2d_galilean_n64_paper_ladder\fraction_0.02\aug_orbit_lambda_0.05_steps_4\seed_47\checkpoints\best.pt,runs\ablations\2d_galilean_n64_label_efficiency_2pct_ood_severity\fraction_0.02\boost_0.25\aug_orbit_steps_4\seed_47,aug_orbit_steps_4,47,train_radius,1.0,,0.25,0.1907604897860437,0.0720833728086737,0.002252605400271,0.3248363558668643,0.1500842825229086,0.0046901338288408,15.929956799998765,16,256,0.4724175031296909,0.1263244643993967,0.0039476395124811,0.4441098347306251,0.0878947273504933,0.0054934204594058
runs\ablations\2d_galilean_n64_paper_ladder\fraction_0.02\aug_orbit_lambda_0.05_steps_4\seed_59\checkpoints\best.pt,runs\ablations\2d_galilean_n64_label_efficiency_2pct_ood_severity\fraction_0.02\boost_0.25\aug_orbit_steps_4\seed_59,aug_orbit_steps_4,59,train_radius,1.0,,0.25,0.1878688128199428,0.0706857686992648,0.002208930271852,0.2830609630327672,0.1681209223125562,0.0052537788222673,52.88582709999173,16,256,0.3963482887484133,0.1643296983648331,0.005135303073901,0.3555195834487676,0.1053543522750749,0.0065846470171921
runs\ablations\2d_galilean_n64_paper_ladder\fraction_0.02\aug_orbit_lambda_0.05_steps_4\seed_71\checkpoints\best.pt,runs\ablations\2d_galilean_n64_label_efficiency_2pct_ood_severity\fraction_0.02\boost_0.25\aug_orbit_steps_4\seed_71,aug_orbit_steps_4,71,train_radius,1.0,,0.25,0.1875752503983676,0.0726095546946308,0.0022690485842072,0.3360603093169629,0.1531421716002416,0.0047856928625075,38.680683499987936,16,256,0.4915679721161723,0.1248586223173811,0.0039018319474181,0.4692544639110565,0.0891467546566065,0.0055716721660379
runs\ablations\2d_galilean_n64_label_efficiency_compute_matched\fraction_0.02\aug_steps_6\seed_23\checkpoints\best.pt,runs\ablations\2d_galilean_n64_label_efficiency_2pct_ood_severity\fraction_0.02\boost_0.25\aug_steps_6\seed_23,aug_steps_6,23,train_radius,1.0,,0.25,0.1938439935911446,0.0719010585285065,0.0022469080790158,0.3596999053843319,0.1442935999192137,0.0045091749974754,24.464265300004627,16,256,0.4972918760031461,0.1134907238713138,0.0035465851209785,0.4750366043299436,0.0904988943811234,0.0056561808988202
runs\ablations\2d_galilean_n64_label_efficiency_compute_matched\fraction_0.02\aug_steps_6\seed_31\checkpoints\best.pt,runs\ablations\2d_galilean_n64_label_efficiency_2pct_ood_severity\fraction_0.02\boost_0.25\aug_steps_6\seed_31,aug_steps_6,31,train_radius,1.0,,0.25,0.1913065761327743,0.0712428170844853,0.0022263380338901,0.4026628183200955,0.1646415577208913,0.0051450486787778,18.729036700002325,16,256,0.5696513308212161,0.1207289365781882,0.0037727792680683,0.5449895411729813,0.0935792729209056,0.0058487045575566
runs\ablations\2d_galilean_n64_label_efficiency_compute_matched\fraction_0.02\aug_steps_6\seed_47\checkpoints\best.pt,runs\ablations\2d_galilean_n64_label_efficiency_2pct_ood_severity\fraction_0.02\boost_0.25\aug_steps_6\seed_47,aug_steps_6,47,train_radius,1.0,,0.25,0.1907604897860437,0.0720833728086737,0.002252605400271,0.3977827029302716,0.1596987972739416,0.0049905874148106,16.18160270000226,16,256,0.561854443512857,0.1263101310778725,0.0039471915961835,0.5343834832310677,0.093936737826763,0.0058710461141726
runs\ablations\2d_galilean_n64_label_efficiency_compute_matched\fraction_0.02\aug_steps_6\seed_59\checkpoints\best.pt,runs\ablations\2d_galilean_n64_label_efficiency_2pct_ood_severity\fraction_0.02\boost_0.25\aug_steps_6\seed_59,aug_steps_6,59,train_radius,1.0,,0.25,0.1878688128199428,0.0706857686992648,0.002208930271852,0.3324574260041117,0.1710797873236319,0.0053462433538634,25.256989900008197,16,256,0.4497375930659473,0.1663264332086884,0.0051977010377715,0.4084545504301786,0.1118689592374649,0.0069918099523415
runs\ablations\2d_galilean_n64_label_efficiency_compute_matched\fraction_0.02\aug_steps_6\seed_71\checkpoints\best.pt,runs\ablations\2d_galilean_n64_label_efficiency_2pct_ood_severity\fraction_0.02\boost_0.25\aug_steps_6\seed_71,aug_steps_6,71,train_radius,1.0,,0.25,0.1875752503983676,0.0726095546946308,0.0022690485842072,0.4025210770778358,0.16185937066741,0.0050581053333565,36.23597880000307,16,256,0.5597602818161249,0.1196016560250846,0.0037375517507838,0.5415244773030281,0.0888614237093296,0.0055538389818331
runs\ablations\2d_galilean_n64_paper_ladder\fraction_0.02\aug_orbit_lambda_0.05_steps_4\seed_23\checkpoints\best.pt,runs\ablations\2d_galilean_n64_label_efficiency_2pct_ood_severity\fraction_0.02\boost_0.35\aug_orbit_steps_4\seed_23,aug_orbit_steps_4,23,boost_0.35,1.4,,0.35,0.271381584694609,0.1006614912938894,0.003145671602934,0.3759437752887606,0.1716410418334452,0.0053637825572951,15.818107200000668,16,256,0.454848381690681,0.1433236206183882,0.0044788631443246,0.4079300407320261,0.0823583902997027,0.0051473993937314
runs\ablations\2d_galilean_n64_paper_ladder\fraction_0.02\aug_orbit_lambda_0.05_steps_4\seed_31\checkpoints\best.pt,runs\ablations\2d_galilean_n64_label_efficiency_2pct_ood_severity\fraction_0.02\boost_0.35\aug_orbit_steps_4\seed_31,aug_orbit_steps_4,31,boost_0.35,1.4,,0.35,0.2678291958291083,0.0997399566201127,0.0031168736443785,0.4182593589648604,0.1927746844881985,0.0060242088902562,16.85081540000101,16,256,0.4977341024205088,0.1572056457162324,0.0049126764286322,0.4431467857211828,0.0917335109721332,0.0057333444357583
runs\ablations\2d_galilean_n64_paper_ladder\fraction_0.02\aug_orbit_lambda_0.05_steps_4\seed_47\checkpoints\best.pt,runs\ablations\2d_galilean_n64_label_efficiency_2pct_ood_severity\fraction_0.02\boost_0.35\aug_orbit_steps_4\seed_47,aug_orbit_steps_4,47,boost_0.35,1.4,,0.35,0.2670646824408322,0.1009167193052279,0.0031536474782883,0.414337130729109,0.197473996229827,0.006171062382182,17.705284499999834,16,256,0.5018753283657134,0.1660585335484572,0.0051893291733892,0.4441098347306251,0.0878947273504933,0.0054934204594058
runs\ablations\2d_galilean_n64_paper_ladder\fraction_0.02\aug_orbit_lambda_0.05_steps_4\seed_59\checkpoints\best.pt,runs\ablations\2d_galilean_n64_label_efficiency_2pct_ood_severity\fraction_0.02\boost_0.35\aug_orbit_steps_4\seed_59,aug_orbit_steps_4,59,boost_0.35,1.4,,0.35,0.2630163317080587,0.0989600796230494,0.0030925024882202,0.3706270372495055,0.2285453274190982,0.0071420414818468,21.97538329999952,16,256,0.4341961899772286,0.2112225444638762,0.0066007045144961,0.3555195834487676,0.1053543522750749,0.0065846470171921
runs\ablations\2d_galilean_n64_paper_ladder\fraction_0.02\aug_orbit_lambda_0.05_steps_4\seed_71\checkpoints\best.pt,runs\ablations\2d_galilean_n64_label_efficiency_2pct_ood_severity\fraction_0.02\boost_0.35\aug_orbit_steps_4\seed_71,aug_orbit_steps_4,71,boost_0.35,1.4,,0.35,0.2626053432468325,0.1016533802676631,0.0031766681333644,0.4262944161891937,0.1967780684496226,0.0061493146390507,26.859880300005894,16,256,0.5149417505599558,0.1585893876498659,0.0049559183640583,0.4692544639110565,0.0891467546566065,0.0055716721660379
runs\ablations\2d_galilean_n64_label_efficiency_compute_matched\fraction_0.02\aug_steps_6\seed_23\checkpoints\best.pt,runs\ablations\2d_galilean_n64_label_efficiency_2pct_ood_severity\fraction_0.02\boost_0.35\aug_steps_6\seed_23,aug_steps_6,23,boost_0.35,1.4,,0.35,0.271381584694609,0.1006614912938894,0.003145671602934,0.4528833227232098,0.1865678404930905,0.005830245015409,15.685487700000522,16,256,0.5244967336766422,0.1469646656389398,0.0045926458012168,0.4750366043299436,0.0904988943811234,0.0056561808988202
runs\ablations\2d_galilean_n64_label_efficiency_compute_matched\fraction_0.02\aug_steps_6\seed_31\checkpoints\best.pt,runs\ablations\2d_galilean_n64_label_efficiency_2pct_ood_severity\fraction_0.02\boost_0.35\aug_steps_6\seed_31,aug_steps_6,31,boost_0.35,1.4,,0.35,0.2678291958291083,0.0997399566201127,0.0031168736443785,0.5053292587399483,0.2071787154004181,0.006474334856263,16.484960699999647,16,256,0.596876441501081,0.15326690123609,0.0047895906636278,0.5449895411729813,0.0935792729209056,0.0058487045575566
