data_fraction,method,lambda_orbit,model_name,dataset_kind,relative_l2_mean,relative_l2_std,relative_l2_count,orbit_ood_relative_l2_mean,orbit_ood_relative_l2_std,orbit_ood_relative_l2_count,equivariance_defect_relative_mean,equivariance_defect_relative_std,equivariance_defect_relative_count,latency_ms_per_sample_mean,latency_ms_per_sample_std,latency_ms_per_sample_count,latency_ms_per_batch_mean,latency_ms_per_batch_std,latency_ms_per_batch_count
0.01,aug,0.05,fno2d,navier_stokes_vorticity2d,0.21014495473355055,0.002981349356562876,3,0.21033964748494327,0.002963766980319744,3,0.03615722729070588,0.0076893672511979755,3,24.051502812411247,4.619181233570816,3,384.82404499857995,73.90689973713306,3
0.01,aug_orbit,0.05,fno2d,navier_stokes_vorticity2d,0.2043385145564874,0.017796045611164543,3,0.20441524094591537,0.017808733009842495,3,0.03449974307478717,0.008774850671479973,3,22.772899374952733,2.4859677177545163,3,364.3663899992437,39.77548348407226,3
0.02,aug,0.05,fno2d,navier_stokes_vorticity2d,0.12158122348288695,0.013845139235691773,3,0.12164255340273182,0.01382916386668169,3,0.02134171965345762,0.003384743131362174,3,20.647909583324992,1.9275429197170049,3,330.3665533331999,30.840686715472078,3
0.02,aug_orbit,0.05,fno2d,navier_stokes_vorticity2d,0.12394739516700308,0.017311145080095448,3,0.12399598051949094,0.017232994237769132,3,0.021712670018017615,0.0025397102676561647,3,19.84522583334183,1.8575863356284537,3,317.52361333346926,29.72138137005526,3
0.05,aug,0.05,fno2d,navier_stokes_vorticity2d,0.048238661528254546,0.0021684495700555048,3,0.048211669200100005,0.002143750239462959,3,0.00936888785725524,0.002303911184492046,3,19.0678054166104,1.429988448088996,3,305.0848866657664,22.879815169423935,3
0.05,aug_orbit,0.05,fno2d,navier_stokes_vorticity2d,0.05022140755318105,0.0023140381954359756,3,0.050227339864553265,0.002357466039244766,3,0.009652752038277868,0.0013809665500835351,3,18.31674041665489,0.7197900308028549,3,293.06784666647826,11.516640492845678,3
