checkpoint,run_dir,method,seed,severity,severity_scale,max_shift,max_boost,epsilon_mean,epsilon_mean_std,epsilon_mean_stderr,equivariance_defect_relative,equivariance_defect_relative_std,equivariance_defect_relative_stderr,eval_seconds,num_batches,num_samples,orbit_ood_relative_l2,orbit_ood_relative_l2_std,orbit_ood_relative_l2_stderr,relative_l2,relative_l2_std,relative_l2_stderr
runs\ablations\2d_galilean_n64_paper_ladder\fraction_0.02\aug_orbit_lambda_0.05_steps_4\seed_23\checkpoints\best.pt,runs\ablations\2d_galilean_n64_label_efficiency_2pct_ood_severity\fraction_0.02\boost_0.20\aug_orbit_steps_4\seed_23,aug_orbit_steps_4,23,boost_0.20,0.8,,0.2,0.1550751980394125,0.057520852807327875,0.0017975266502289961,0.24549829377792776,0.10555664699809288,0.0032986452186904024,15.03239449999819,16,256,0.41918037086725235,0.09674811125027431,0.0030233784765710723,0.4079300407320261,0.08235839029970274,0.005147399393731421
runs\ablations\2d_galilean_n64_paper_ladder\fraction_0.02\aug_orbit_lambda_0.05_steps_4\seed_31\checkpoints\best.pt,runs\ablations\2d_galilean_n64_label_efficiency_2pct_ood_severity\fraction_0.02\boost_0.20\aug_orbit_steps_4\seed_31,aug_orbit_steps_4,31,boost_0.20,0.8,,0.2,0.15304526325780898,0.05699425826030002,0.0017810705706343755,0.27322065318003297,0.12249797443777778,0.0038280617011805557,16.137273399996047,16,256,0.45862683607265353,0.10750011097712579,0.003359378468035181,0.4431467857211828,0.09173351097213325,0.005733344435758328
runs\ablations\2d_galilean_n64_paper_ladder\fraction_0.02\aug_orbit_lambda_0.05_steps_4\seed_47\checkpoints\best.pt,runs\ablations\2d_galilean_n64_label_efficiency_2pct_ood_severity\fraction_0.02\boost_0.20\aug_orbit_steps_4\seed_47,aug_orbit_steps_4,47,boost_0.20,0.8,,0.2,0.15260839532129467,0.05766669925984902,0.0018020843518702818,0.27256043441593647,0.12528631060605788,0.003915197206439309,22.40429390000645,16,256,0.4618884208612144,0.1120811013125477,0.0035025344160171156,0.44410983473062515,0.08789472735049333,0.005493420459405833
runs\ablations\2d_galilean_n64_paper_ladder\fraction_0.02\aug_orbit_lambda_0.05_steps_4\seed_59\checkpoints\best.pt,runs\ablations\2d_galilean_n64_label_efficiency_2pct_ood_severity\fraction_0.02\boost_0.20\aug_orbit_steps_4\seed_59,aug_orbit_steps_4,59,boost_0.20,0.8,,0.2,0.1502950506983325,0.05654862298594266,0.0017671444683107081,0.23488081363029778,0.136743671879008,0.004273239746219,27.03666460000386,16,256,0.38207907183095813,0.14508490998939685,0.004533903437168652,0.35551958344876766,0.10535435227507495,0.006584647017192184
runs\ablations\2d_galilean_n64_paper_ladder\fraction_0.02\aug_orbit_lambda_0.05_steps_4\seed_71\checkpoints\best.pt,runs\ablations\2d_galilean_n64_label_efficiency_2pct_ood_severity\fraction_0.02\boost_0.20\aug_orbit_steps_4\seed_71,aug_orbit_steps_4,71,boost_0.20,0.8,,0.2,0.15006020094733685,0.058087646119929254,0.0018152389412477892,0.28256226424127817,0.12912352824826187,0.0040351102577581835,35.5516282000026,16,256,0.4831150188110769,0.11209024781726754,0.0035028202442896105,0.4692544639110565,0.08914675465660651,0.005571672166037907
runs\ablations\2d_galilean_n64_label_efficiency_compute_matched\fraction_0.02\aug_steps_6\seed_23\checkpoints\best.pt,runs\ablations\2d_galilean_n64_label_efficiency_2pct_ood_severity\fraction_0.02\boost_0.20\aug_steps_6\seed_23,aug_steps_6,23,boost_0.20,0.8,,0.2,0.1550751980394125,0.057520852807327875,0.0017975266502289961,0.30414252169430256,0.12246215635083556,0.003826942385963611,18.552342599999974,16,256,0.4881017762236297,0.10282024730104397,0.003213132728157624,0.47503660432994366,0.09049889438112348,0.005656180898820217
runs\ablations\2d_galilean_n64_label_efficiency_compute_matched\fraction_0.02\aug_steps_6\seed_31\checkpoints\best.pt,runs\ablations\2d_galilean_n64_label_efficiency_2pct_ood_severity\fraction_0.02\boost_0.20\aug_steps_6\seed_31,aug_steps_6,31,boost_0.20,0.8,,0.2,0.15304526325780898,0.05699425826030002,0.0017810705706343755,0.341008560732007,0.14066116520260172,0.004395661412581304,17.394898400001694,16,256,0.5600695637986064,0.10926656589092147,0.003414580184091296,0.5449895411729813,0.09357927292090563,0.005848704557556602
runs\ablations\2d_galilean_n64_label_efficiency_compute_matched\fraction_0.02\aug_steps_6\seed_47\checkpoints\best.pt,runs\ablations\2d_galilean_n64_label_efficiency_2pct_ood_severity\fraction_0.02\boost_0.20\aug_steps_6\seed_47,aug_steps_6,47,boost_0.20,0.8,,0.2,0.15260839532129467,0.05766669925984902,0.0018020843518702818,0.33752188086509705,0.13714669341905228,0.004285834169345384,15.095219599999837,16,256,0.5519582414999604,0.11421933044394528,0.00356935407637329,0.5343834832310677,0.093936737826763,0.005871046114172687
runs\ablations\2d_galilean_n64_label_efficiency_compute_matched\fraction_0.02\aug_steps_6\seed_59\checkpoints\best.pt,runs\ablations\2d_galilean_n64_label_efficiency_2pct_ood_severity\fraction_0.02\boost_0.20\aug_steps_6\seed_59,aug_steps_6,59,boost_0.20,0.8,,0.2,0.1502950506983325,0.05654862298594266,0.0017671444683107081,0.2783382427878678,0.14031729874253232,0.004384915585704135,38.50354390000575,16,256,0.4356270330026746,0.1478536683884773,0.004620427137139916,0.40845455043017864,0.11186895923746494,0.006991809952341559
runs\ablations\2d_galilean_n64_label_efficiency_compute_matched\fraction_0.02\aug_steps_6\seed_71\checkpoints\best.pt,runs\ablations\2d_galilean_n64_label_efficiency_2pct_ood_severity\fraction_0.02\boost_0.20\aug_steps_6\seed_71,aug_steps_6,71,boost_0.20,0.8,,0.2,0.15006020094733685,0.058087646119929254,0.0018152389412477892,0.341250556986779,0.1387153470789424,0.00433485459621695,28.058436700011953,16,256,0.5524719236418605,0.108599142589862,0.0033937232059331876,0.5415244773030281,0.08886142370932967,0.005553838981833105
runs\ablations\2d_galilean_n64_paper_ladder\fraction_0.02\aug_orbit_lambda_0.05_steps_4\seed_23\checkpoints\best.pt,runs\ablations\2d_galilean_n64_label_efficiency_2pct_ood_severity\fraction_0.02\boost_0.25\aug_orbit_steps_4\seed_23,aug_orbit_steps_4,23,train_radius,1.0,,0.25,0.19384399359114468,0.07190105852850656,0.00224690807901583,0.2929801498539746,0.12709201887347973,0.003971625589796242,17.1510083999965,16,256,0.4279166623018682,0.1079855838681889,0.0033745494958809033,0.4079300407320261,0.08235839029970274,0.005147399393731421
runs\ablations\2d_galilean_n64_paper_ladder\fraction_0.02\aug_orbit_lambda_0.05_steps_4\seed_31\checkpoints\best.pt,runs\ablations\2d_galilean_n64_label_efficiency_2pct_ood_severity\fraction_0.02\boost_0.25\aug_orbit_steps_4\seed_31,aug_orbit_steps_4,31,train_radius,1.0,,0.25,0.19130657613277435,0.07124281708448539,0.0022263380338901685,0.3264497583732009,0.14681277623148517,0.004587899257233912,15.338074100000085,16,256,0.46864944649860263,0.12024639945780614,0.003757699983056442,0.4431467857211828,0.09173351097213325,0.005733344435758328
runs\ablations\2d_galilean_n64_paper_ladder\fraction_0.02\aug_orbit_lambda_0.05_steps_4\seed_47\checkpoints\best.pt,runs\ablations\2d_galilean_n64_label_efficiency_2pct_ood_severity\fraction_0.02\boost_0.25\aug_orbit_steps_4\seed_47,aug_orbit_steps_4,47,train_radius,1.0,,0.25,0.19076048978604376,0.07208337280867372,0.0022526054002710537,0.3248363558668643,0.15008428252290867,0.004690133828840896,15.929956799998763,16,256,0.4724175031296909,0.12632446439939676,0.003947639512481149,0.44410983473062515,0.08789472735049333,0.005493420459405833
runs\ablations\2d_galilean_n64_paper_ladder\fraction_0.02\aug_orbit_lambda_0.05_steps_4\seed_59\checkpoints\best.pt,runs\ablations\2d_galilean_n64_label_efficiency_2pct_ood_severity\fraction_0.02\boost_0.25\aug_orbit_steps_4\seed_59,aug_orbit_steps_4,59,train_radius,1.0,,0.25,0.18786881281994283,0.07068576869926484,0.002208930271852026,0.2830609630327672,0.1681209223125562,0.0052537788222673815,52.88582709999173,16,256,0.3963482887484133,0.16432969836483316,0.005135303073901036,0.35551958344876766,0.10535435227507495,0.006584647017192184
runs\ablations\2d_galilean_n64_paper_ladder\fraction_0.02\aug_orbit_lambda_0.05_steps_4\seed_71\checkpoints\best.pt,runs\ablations\2d_galilean_n64_label_efficiency_2pct_ood_severity\fraction_0.02\boost_0.25\aug_orbit_steps_4\seed_71,aug_orbit_steps_4,71,train_radius,1.0,,0.25,0.18757525039836764,0.07260955469463089,0.0022690485842072152,0.33606030931696296,0.1531421716002416,0.00478569286250755,38.680683499987936,16,256,0.4915679721161723,0.12485862231738111,0.0039018319474181597,0.4692544639110565,0.08914675465660651,0.005571672166037907
runs\ablations\2d_galilean_n64_label_efficiency_compute_matched\fraction_0.02\aug_steps_6\seed_23\checkpoints\best.pt,runs\ablations\2d_galilean_n64_label_efficiency_2pct_ood_severity\fraction_0.02\boost_0.25\aug_steps_6\seed_23,aug_steps_6,23,train_radius,1.0,,0.25,0.19384399359114468,0.07190105852850656,0.00224690807901583,0.35969990538433194,0.14429359991921378,0.004509174997475431,24.464265300004627,16,256,0.49729187600314617,0.11349072387131388,0.003546585120978559,0.47503660432994366,0.09049889438112348,0.005656180898820217
runs\ablations\2d_galilean_n64_label_efficiency_compute_matched\fraction_0.02\aug_steps_6\seed_31\checkpoints\best.pt,runs\ablations\2d_galilean_n64_label_efficiency_2pct_ood_severity\fraction_0.02\boost_0.25\aug_steps_6\seed_31,aug_steps_6,31,train_radius,1.0,,0.25,0.19130657613277435,0.07124281708448539,0.0022263380338901685,0.40266281832009554,0.1646415577208913,0.0051450486787778535,18.729036700002325,16,256,0.5696513308212161,0.12072893657818826,0.003772779268068383,0.5449895411729813,0.09357927292090563,0.005848704557556602
runs\ablations\2d_galilean_n64_label_efficiency_compute_matched\fraction_0.02\aug_steps_6\seed_47\checkpoints\best.pt,runs\ablations\2d_galilean_n64_label_efficiency_2pct_ood_severity\fraction_0.02\boost_0.25\aug_steps_6\seed_47,aug_steps_6,47,train_radius,1.0,,0.25,0.19076048978604376,0.07208337280867372,0.0022526054002710537,0.3977827029302716,0.15969879727394168,0.0049905874148106774,16.18160270000226,16,256,0.561854443512857,0.1263101310778725,0.003947191596183516,0.5343834832310677,0.093936737826763,0.005871046114172687
runs\ablations\2d_galilean_n64_label_efficiency_compute_matched\fraction_0.02\aug_steps_6\seed_59\checkpoints\best.pt,runs\ablations\2d_galilean_n64_label_efficiency_2pct_ood_severity\fraction_0.02\boost_0.25\aug_steps_6\seed_59,aug_steps_6,59,train_radius,1.0,,0.25,0.18786881281994283,0.07068576869926484,0.002208930271852026,0.33245742600411177,0.17107978732363197,0.005346243353863499,25.256989900008193,16,256,0.4497375930659473,0.16632643320868845,0.005197701037771514,0.40845455043017864,0.11186895923746494,0.006991809952341559
runs\ablations\2d_galilean_n64_label_efficiency_compute_matched\fraction_0.02\aug_steps_6\seed_71\checkpoints\best.pt,runs\ablations\2d_galilean_n64_label_efficiency_2pct_ood_severity\fraction_0.02\boost_0.25\aug_steps_6\seed_71,aug_steps_6,71,train_radius,1.0,,0.25,0.18757525039836764,0.07260955469463089,0.0022690485842072152,0.4025210770778358,0.16185937066741,0.005058105333356562,36.23597880000307,16,256,0.5597602818161249,0.11960165602508462,0.0037375517507838942,0.5415244773030281,0.08886142370932967,0.005553838981833105
runs\ablations\2d_galilean_n64_paper_ladder\fraction_0.02\aug_orbit_lambda_0.05_steps_4\seed_23\checkpoints\best.pt,runs\ablations\2d_galilean_n64_label_efficiency_2pct_ood_severity\fraction_0.02\boost_0.35\aug_orbit_steps_4\seed_23,aug_orbit_steps_4,23,boost_0.35,1.4,,0.35,0.27138158469460905,0.10066149129388946,0.0031456716029340456,0.37594377528876066,0.17164104183344522,0.005363782557295163,15.818107200000668,16,256,0.454848381690681,0.14332362061838827,0.0044788631443246334,0.4079300407320261,0.08235839029970274,0.005147399393731421
