severity,max_boost,aug_direct_ood_mean,aug_direct_ood_std,aug_observable_canonical_ood_mean,aug_observable_canonical_ood_std,aug_orbit_direct_ood_mean,aug_orbit_direct_ood_std,aug_orbit_observable_canonical_ood_mean,aug_orbit_observable_canonical_ood_std
boost_0.10,0.1,0.504959150031209,0.0573911328910663,0.4658411636017263,0.0783560687776574,0.371481857355684,0.0349114739317443,0.3252930410206318,0.0563517299887011
boost_0.20,0.2,0.5176457076333463,0.054290666198399,0.4658411620184779,0.0783560651067351,0.3839595539495349,0.0330524593774022,0.325293042557314,0.0563517320093396
train_radius,0.25,0.5276591050438583,0.0523380463368787,0.4658411636948585,0.0783560662636059,0.3943023783154785,0.0318045763401778,0.3252930415328592,0.0563517321774258
boost_0.35,0.35,0.5554751775227487,0.0476043320665255,0.4658411618322134,0.0783560664933241,0.4241537563502788,0.0285222376556612,0.3252930434420705,0.0563517309764107
boost_0.50,0.5,0.615769459027797,0.0384245788863216,0.4658411639742553,0.0783560673043948,0.4910142183303833,0.0216145134279199,0.3252930413931608,0.0563517293746172
