"run_dir","seed","trainable","before_relative_l2","after_relative_l2","rel_delta_pct","before_ood","after_ood","ood_delta_pct","before_defect","after_defect","defect_delta_pct","latency_ms_per_sample"
"runs\adaptation\2d_ns_sweep\seed_23\last_block","23","last_block","0.0037602143274853","0.0114913554280065","205.604","0.00375809972319985","0.0114758867857745","205.364","0.000952731335150503","0.000999578501392762","4.917","12.989443124934"
"runs\adaptation\2d_ns_sweep\seed_23\projector","23","projector","0.0037602143274853","0.00790419479017146","110.206","0.00375809972319985","0.00788497281610034","109.813","0.000952731335150503","0.000955750794817689","0.317","10.7069787500222"
"runs\adaptation\2d_ns_sweep\seed_31\last_block","31","last_block","0.00368704105494544","0.0113110988750122","206.78","0.00368828754290007","0.0113425560411997","207.529","0.0012140970902248","0.001231485778181","1.432","11.9707818748793"
"runs\adaptation\2d_ns_sweep\seed_31\projector","31","projector","0.00368704105494544","0.00973993784282356","164.167","0.00368828754290007","0.00976322230417281","164.709","0.0012140970902248","0.00121843026720114","0.357","93.8424699999814"
"runs\adaptation\2d_ns_sweep\seed_47\last_block","47","last_block","0.00376090192003176","0.0105412043049","180.284","0.00375218543194933","0.0105398554733256","180.899","0.000872754486380245","0.000865219233354253","-0.863","14.1831990624269"
"runs\adaptation\2d_ns_sweep\seed_47\projector","47","projector","0.00376090192003176","0.00750726257683709","99.613","0.00375218543194933","0.00749810527486261","99.833","0.000872754486380245","0.00087295957261091","0.023","10.6441296875346"
