setting,metric,reference_method,candidate_method,seed_count,reference_mean,candidate_mean,paired_delta_mean,paired_delta_ci95_low,paired_delta_ci95_high,relative_reduction_pct
N64 Galilean 2% labels,ID L2,aug,aug_orbit,5,0.5008777312934398,0.3676406528800725,-0.13323707841336727,-0.17313317614833496,-0.09334098067839958,26.600719115482136
N64 Galilean 2% labels,OOD L2,aug,aug_orbit,5,0.5276326760649681,0.39498347137123346,-0.13264920469373465,-0.16996023402979726,-0.09533817535767201,25.1404453725306
N64 Galilean 2% labels,Eq. defect,aug,aug_orbit,5,0.38155395807698367,0.26766052255406975,-0.1138934355229139,-0.13970327462874746,-0.08808359641708031,29.849889671419522
N64 Galilean 10% labels,ID L2,aug,aug_orbit,3,0.1694269189611077,0.15096833618978658,-0.01845858277132113,-0.03640927488822353,-0.000507890654418728,10.894716662798032
N64 Galilean 10% labels,OOD L2,aug,aug_orbit,3,0.199565021864449,0.17601625613557795,-0.02354876572887103,-0.039279625229224305,-0.007817906228517756,11.800046675948119
N64 Galilean 10% labels,Eq. defect,aug,aug_orbit,3,0.1596188115654513,0.1221086124811942,-0.037510199084257095,-0.0554531999675342,-0.01956719820097999,23.499861148180603
1D Burgers,ID L2,aug,aug_orbit,3,0.0025117482897863666,0.002654834827505167,0.00014308653771880007,-0.00021295741799164778,0.000499130493429248,-5.696690958271549
1D Burgers,OOD L2,aug,aug_orbit,3,0.0040489526915430995,0.0038065075999232333,-0.0002424450916198665,-0.0007007472302956362,0.00021585704705590327,5.987846983894192
1D Burgers,Eq. defect,aug,aug_orbit,3,0.002652668106810733,0.0022826392650560335,-0.00037002884175470007,-0.0007023701346489737,-3.7687548860426353e-05,13.94930789889053
