method,data_fraction,steps_per_epoch,relative_l2_mean,relative_l2_std,relative_l2_count,orbit_ood_relative_l2_mean,orbit_ood_relative_l2_std,orbit_ood_relative_l2_count,equivariance_defect_relative_mean,equivariance_defect_relative_std,equivariance_defect_relative_count,latency_ms_per_sample_mean,latency_ms_per_sample_std,latency_ms_per_sample_count,latency_ms_per_batch_mean,latency_ms_per_batch_std,latency_ms_per_batch_count
aug,0.005,6.0,0.7999322476486365,0.07167621531601318,3,0.8136317313959202,0.06827234882353617,3,0.5341171904777487,0.04718121377346587,3,14.79764291667228,1.1595348524429292,3,236.76228666675647,18.552557639086867,3
aug,0.01,6.0,0.7340505744020144,0.0847973446035286,3,0.7420703964307904,0.0837760538466776,3,0.5079775375003616,0.0456141092702584,3,12.757107812505334,0.12343015932380587,3,204.11372500008534,1.974882549180894,3
aug,0.02,6.0,0.5008777312934398,0.05901367076480936,5,0.5276326760649681,0.052453832084405086,5,0.38155395807698367,0.03223247224996371,5,18.75639699999283,7.341721610499359,5,300.1023519998853,117.46754576798975,5
aug,0.05,6.0,0.2950280687461297,0.006051064073136299,3,0.32370066658283275,0.001281436329867198,3,0.24271229716638723,0.0013794272410441516,3,11.455302083330329,0.49543130850320694,3,183.28483333328526,7.926900936051311,3
aug_orbit,0.005,4.0,0.7813703119754791,0.07389575486985604,3,0.8000150021786491,0.07873454686427084,3,0.4763222613061468,0.01200264070435313,3,13.482973541666373,0.5833796782539619,3,215.72757666666197,9.33407485206339,3
aug_orbit,0.01,4.0,0.6778486557304859,0.06965119099187221,3,0.6880583514769872,0.06894925764712835,3,0.45673251058906317,0.03862318475227651,3,25.699300937412772,6.463447374429095,3,411.18881499860436,103.41515799086552,3
aug_orbit,0.02,4.0,0.4239921417087317,0.044064674324690044,5,0.451808912307024,0.039686252218343494,5,0.3160910136066377,0.02465181255498835,5,17.61713656250322,3.5117361662435447,5,281.8741850000515,56.187778659896715,5
aug_orbit,0.05,4.0,0.253514948921899,0.012429307964308883,3,0.2820991921859483,0.011255670679400472,3,0.19638351482960084,0.00703897655411422,3,11.430575208328264,0.32213905800582016,3,182.88920333325223,5.1542249280931225,3
