method,data_fraction,steps_per_epoch,relative_l2_mean,relative_l2_std,relative_l2_count,orbit_ood_relative_l2_mean,orbit_ood_relative_l2_std,orbit_ood_relative_l2_count,equivariance_defect_relative_mean,equivariance_defect_relative_std,equivariance_defect_relative_count,epsilon_mean_mean,epsilon_mean_std,epsilon_mean_count,latency_ms_per_sample_mean,latency_ms_per_sample_std,latency_ms_per_sample_count,latency_ms_per_batch_mean,latency_ms_per_batch_std,latency_ms_per_batch_count,parameters_mean,parameters_std,parameters_count
aug,0.02,6,0.5008777312934398,0.05901367076480936,5,0.5276326760649681,0.052453832084405086,5,0.38155395807698367,0.03223247224996371,5,0.19173924932256342,0.0025587961607269577,5,18.75639699999283,7.341721610499359,5,300.1023519998853,117.46754576798975,5,2668609.0,0.0,5
aug_orbit,0.02,4,0.3676406528800726,0.03603633814174233,5,0.39498347137123346,0.03342833447493701,5,0.26766052255406975,0.017448369945996953,5,0.19173924932256342,0.0025587961607269577,5,16.872247750006863,3.1850115275901616,5,269.9559640001098,50.960184441442586,5,2668609.0,0.0,5
baseline,0.02,4,0.9286857925355434,0.022838200245895203,5,0.956805614195764,0.02229269343199881,5,0.6987714536488057,0.017293804334354224,5,0.19173924932256342,0.0025587961607269577,5,16.530045750014324,2.1322357090148967,5,264.4807320002292,34.11577134423835,5,2668609.0,0.0,5
orbit,0.02,4,0.46462460793554783,0.03943389233627273,5,0.4951806507073343,0.03475621198114811,5,0.33592320093885064,0.017024434749195946,5,0.19173924932256342,0.0025587961607269577,5,16.11281556249196,1.6649215339208927,5,257.80504899987136,26.638744542734283,5,2668609.0,0.0,5
