comparison,difference_direction,metric,seed_count,seeds,reference_mean,candidate_mean,paired_delta_mean,paired_delta_std,paired_delta_sem,paired_delta_ci95_low,paired_delta_ci95_high,relative_reduction_pct,ci_excludes_zero
augmentation_plus_loco_minus_augmentation,candidate_minus_reference,relative_l2,5,"23,31,47,59,71",0.9553227677941323,0.8862130865454674,-0.06910968124866486,0.009079277888104103,0.0040603765088823,-0.08038309373201122,-0.05783626876531849,7.234170856017714,True
augmentation_plus_loco_minus_augmentation,candidate_minus_reference,orbit_ood_relative_l2,5,"23,31,47,59,71",0.9652100676670671,0.8972240213304759,-0.06798604633659125,0.010379784421333431,0.004641980711578974,-0.08087425096167726,-0.05509784171150524,7.043652839315582,True
augmentation_plus_loco_minus_augmentation,candidate_minus_reference,equivariance_defect_relative,5,"23,31,47,59,71",0.6988007552921772,0.49206239031627774,-0.20673836497589945,0.03932460655584718,0.017586498689461633,-0.2555663131798226,-0.1579104167719763,29.58473690965884,True
