metric,metric_label,seed_count,reference_method,candidate_method,reference_mean,candidate_mean,paired_delta_mean,paired_delta_ci95_low,paired_delta_ci95_high,relative_reduction_pct
force_mae,Force MAE,3,aug,aug_orbit,18.489918395996096,18.414319803873695,-0.07559859212239554,-0.14059333867249463,-0.01060384557229646,0.4088638494952514
orbit_ood_force_mae,OOD force MAE,3,aug,aug_orbit,18.638749579111735,18.480115796407063,-0.15863378270467146,-0.25268881094654483,-0.06457875446279812,0.8510967006201531
equivariance_defect_relative,Eq. defect,3,aug,aug_orbit,0.4555887220303218,0.09834709217647712,-0.3572416298538446,-0.36773699434375184,-0.3467462653639374,78.41318552878234
relative_l2,ID L2,3,aug,aug_orbit,0.9198995410601297,0.9159359076817829,-0.0039636333783467466,-0.00776764917663228,-0.0001596175800612134,0.4308767644104885
orbit_ood_relative_l2,OOD L2,3,aug,aug_orbit,0.9239292107820511,0.9164856170813244,-0.007443593700726818,-0.012330451578439379,-0.002556735823014256,0.8056454557190827
