data_fraction,method,lambda_orbit,orbit_data_fraction,unlabeled_orbit_steps_per_epoch,model_name,dataset_kind,relative_l2_mean,relative_l2_std,relative_l2_count,orbit_ood_relative_l2_mean,orbit_ood_relative_l2_std,orbit_ood_relative_l2_count,equivariance_defect_relative_mean,equivariance_defect_relative_std,equivariance_defect_relative_count,latency_ms_per_sample_mean,latency_ms_per_sample_std,latency_ms_per_sample_count,latency_ms_per_batch_mean,latency_ms_per_batch_std,latency_ms_per_batch_count
0.01,semi_aug_orbit,0.05,1.0,4,fno2d,navier_stokes_vorticity2d,0.1691986129929622,0.020895688666998907,3,0.16909940098412335,0.020837764351872366,3,0.02301843051419894,0.004525894150572982,3,23.179615624940197,3.9379752393193845,3,370.87384999904316,63.00760382911015,3
0.02,semi_aug_orbit,0.05,1.0,4,fno2d,navier_stokes_vorticity2d,0.117519354292502,0.008905267139455338,3,0.11756033815133075,0.008966713212419493,3,0.019243115928626747,0.0029294821080522305,3,25.828281250020762,1.6278481773774227,3,413.2525000003322,26.045570838038763,3
