run_dir,best_val_relative_l2,config_hash,dataset_kind,dataset_path,dataset_sha256,deterministic,device,environment.config_hash,environment.cuda_available,environment.cuda_version,environment.cudnn_version,environment.git_commit,environment.mkl_num_threads,environment.omp_num_threads,environment.platform,environment.python,environment.torch,epsilon_mean,epsilon_mean_std,epsilon_mean_stderr,equivariance_defect_relative,equivariance_defect_relative_std,equivariance_defect_relative_stderr,eval_seconds,latency_ms_per_batch,latency_ms_per_sample,latency_repeats,latency_warmup,method,model_name,num_batches,num_samples,orbit_ood_relative_l2,orbit_ood_relative_l2_std,orbit_ood_relative_l2_stderr,parameters,parameters_total,relative_l2,relative_l2_std,relative_l2_stderr,seed,config_path,config.seed,config.dataset.kind,config.dataset.path,config.dataset.generate_if_missing,config.dataset.n,config.dataset.num_train,config.dataset.num_val,config.dataset.num_test,config.dataset.final_time,config.dataset.dt,config.dataset.viscosity,config.dataset.modes,config.dataset.amplitude,config.dataset.mean,config.dataset.solver_batch_size,config.dataset.dealias,config.dataset.seed,config.model.name,config.model.in_channels,config.model.out_channels,config.model.width,config.model.modes,config.model.depth,config.model.add_grid,config.symmetry.transforms,config.symmetry.probabilities,config.training.method,config.training.epochs,config.training.batch_size,config.training.lr,config.training.weight_decay,config.training.lambda_aug,config.training.lambda_orbit,config.training.eval_every,config.training.eval_orbit_samples,config.training.grad_clip,config.training.latency_repeats,config.training.latency_warmup,config.training.data_fraction,config.runtime.deterministic,config.runtime.device,config.runtime.run_dir,config.runtime.overwrite,data_fraction,lambda_orbit
runs\ablations\aug_orbit_lambda_refinement\0.05\lambda_0.25\seed_47,0.03272748412564397,96aa83387903,burgers1d,data\1d_burgers_n128.pt,1753fa2e5ca4fb474f93fc8cdef5732daea94b7d36d7537113b38f9e3d029758,False,cpu,96aa83387903,False,,,,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.1452035546535626,0.08936835717652912,0.0019747803557195374,0.022844108840488042,0.03528249119487961,0.0007796402744079383,4.075907800001005,35.287760000028356,1.1027425000008861,20,5,aug_orbit,fno1d,16,512,0.0458161459537223,0.043456245106898564,0.0009602564249997717,287361,287361,0.03594904451165348,0.0424550450547922,0.0018762656408639977,47,runs\ablations\aug_orbit_lambda_refinement\0.05\lambda_0.25\seed_47\config.yaml,47,burgers1d,data/1d_burgers_n128.pt,True,128,2048,256,512,0.5,0.001,0.01,8,0.8,0.0,64,True,23,fno1d,1,1,64,16,4,False,"[{'name': 'translation1d', 'max_shift': 0.25}, {'name': 'burgers1d_galilean', 'max_boost': 0.35, 'final_time': 0.5}]","[0.5, 0.5]",aug_orbit,150,32,0.001,0.0001,1.0,0.25,10,4,1.0,20,5,0.05,False,auto,runs\ablations\aug_orbit_lambda_refinement\0.05\lambda_0.25\seed_47,False,0.05,0.25
runs\ablations\aug_orbit_lambda_refinement\0.05\lambda_0.5\seed_23,0.029299945570528507,8974f394e02e,burgers1d,data\1d_burgers_n128.pt,1753fa2e5ca4fb474f93fc8cdef5732daea94b7d36d7537113b38f9e3d029758,False,cpu,8974f394e02e,False,,,,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.14695673587266356,0.09069382054717753,0.002004069235019533,0.018693823699828194,0.030230521376473016,0.0006680064582534047,1.3705269999991287,13.279249999868625,0.41497656249589454,20,5,aug_orbit,fno1d,16,512,0.03904102250817232,0.03614388034537107,0.0007986744653314705,287361,287361,0.031065433868207037,0.03515486728880375,0.001553640315726642,23,runs\ablations\aug_orbit_lambda_refinement\0.05\lambda_0.5\seed_23\config.yaml,23,burgers1d,data/1d_burgers_n128.pt,True,128,2048,256,512,0.5,0.001,0.01,8,0.8,0.0,64,True,23,fno1d,1,1,64,16,4,False,"[{'name': 'translation1d', 'max_shift': 0.25}, {'name': 'burgers1d_galilean', 'max_boost': 0.35, 'final_time': 0.5}]","[0.5, 0.5]",aug_orbit,150,32,0.001,0.0001,1.0,0.5,10,4,1.0,20,5,0.05,False,auto,runs\ablations\aug_orbit_lambda_refinement\0.05\lambda_0.5\seed_23,False,0.05,0.5
runs\ablations\aug_orbit_lambda_refinement\0.05\lambda_0.5\seed_31,0.03069842280820012,eca50e012f32,burgers1d,data\1d_burgers_n128.pt,1753fa2e5ca4fb474f93fc8cdef5732daea94b7d36d7537113b38f9e3d029758,False,cpu,eca50e012f32,False,,,,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.1537883309647441,0.09058386197137716,0.002001639470813344,0.024176805030955872,0.03358940704249034,0.0007422280467431279,1.4280636000003142,15.625379999983124,0.48829312499947264,20,5,aug_orbit,fno1d,16,512,0.04587003091000952,0.04034764386529388,0.0008915653931890345,287361,287361,0.03473495470825583,0.038205320879006174,0.0016884525919345782,31,runs\ablations\aug_orbit_lambda_refinement\0.05\lambda_0.5\seed_31\config.yaml,31,burgers1d,data/1d_burgers_n128.pt,True,128,2048,256,512,0.5,0.001,0.01,8,0.8,0.0,64,True,23,fno1d,1,1,64,16,4,False,"[{'name': 'translation1d', 'max_shift': 0.25}, {'name': 'burgers1d_galilean', 'max_boost': 0.35, 'final_time': 0.5}]","[0.5, 0.5]",aug_orbit,150,32,0.001,0.0001,1.0,0.5,10,4,1.0,20,5,0.05,False,auto,runs\ablations\aug_orbit_lambda_refinement\0.05\lambda_0.5\seed_31,False,0.05,0.5
runs\ablations\aug_orbit_lambda_refinement\0.05\lambda_0.5\seed_47,0.030270860763266683,6ec102e3cda3,burgers1d,data\1d_burgers_n128.pt,1753fa2e5ca4fb474f93fc8cdef5732daea94b7d36d7537113b38f9e3d029758,False,cpu,6ec102e3cda3,False,,,,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.1452035546535626,0.08936835717652912,0.0019747803557195374,0.020094903123059504,0.03204518575478427,0.0007081052547372033,1.4225988999969559,14.255469999989145,0.4454834374996608,20,5,aug_orbit,fno1d,16,512,0.04159667089697905,0.04030207341329135,0.0008905584189505119,287361,287361,0.033463070867583156,0.0395439671180933,0.0017476129565138516,47,runs\ablations\aug_orbit_lambda_refinement\0.05\lambda_0.5\seed_47\config.yaml,47,burgers1d,data/1d_burgers_n128.pt,True,128,2048,256,512,0.5,0.001,0.01,8,0.8,0.0,64,True,23,fno1d,1,1,64,16,4,False,"[{'name': 'translation1d', 'max_shift': 0.25}, {'name': 'burgers1d_galilean', 'max_boost': 0.35, 'final_time': 0.5}]","[0.5, 0.5]",aug_orbit,150,32,0.001,0.0001,1.0,0.5,10,4,1.0,20,5,0.05,False,auto,runs\ablations\aug_orbit_lambda_refinement\0.05\lambda_0.5\seed_47,False,0.05,0.5
runs\ablations\aug_orbit_lambda_refinement\1.0\lambda_0.01\seed_23,0.002353092160774395,9cc4fe7a959d,burgers1d,data\1d_burgers_n128.pt,1753fa2e5ca4fb474f93fc8cdef5732daea94b7d36d7537113b38f9e3d029758,False,cpu,9cc4fe7a959d,False,,,,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.14695673587266356,0.09069382054717753,0.002004069235019533,0.00243233207919058,0.004287977315213333,9.47518074112948e-05,1.236590000000433,13.096620000032999,0.4092693750010312,20,5,aug_orbit,fno1d,16,512,0.003961829015679541,0.005028553290077632,0.00011111637909286929,287361,287361,0.0026539810860413127,0.0045252666378676676,0.00019999042039459225,23,runs\ablations\aug_orbit_lambda_refinement\1.0\lambda_0.01\seed_23\config.yaml,23,burgers1d,data/1d_burgers_n128.pt,True,128,2048,256,512,0.5,0.001,0.01,8,0.8,0.0,64,True,23,fno1d,1,1,64,16,4,False,"[{'name': 'translation1d', 'max_shift': 0.25}, {'name': 'burgers1d_galilean', 'max_boost': 0.35, 'final_time': 0.5}]","[0.5, 0.5]",aug_orbit,150,32,0.001,0.0001,1.0,0.01,10,4,1.0,20,5,1.0,False,auto,runs\ablations\aug_orbit_lambda_refinement\1.0\lambda_0.01\seed_23,False,1.0,0.01
runs\ablations\aug_orbit_lambda_refinement\1.0\lambda_0.01\seed_31,0.0021427159517770633,4a6b1d59d63c,burgers1d,data\1d_burgers_n128.pt,1753fa2e5ca4fb474f93fc8cdef5732daea94b7d36d7537113b38f9e3d029758,False,cpu,4a6b1d59d63c,False,,,,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.1537883309647441,0.09058386197137716,0.002001639470813344,0.0028014498431145896,0.0041869837293117785,9.252014336606558e-05,1.1921282000002975,15.923880000082136,0.49762125000256674,20,5,aug_orbit,fno1d,16,512,0.004128006366954651,0.004711251890526271,0.00010410494248965838,287361,287361,0.0025673476411611773,0.003794381800902813,0.00016768956886432522,31,runs\ablations\aug_orbit_lambda_refinement\1.0\lambda_0.01\seed_31\config.yaml,31,burgers1d,data/1d_burgers_n128.pt,True,128,2048,256,512,0.5,0.001,0.01,8,0.8,0.0,64,True,23,fno1d,1,1,64,16,4,False,"[{'name': 'translation1d', 'max_shift': 0.25}, {'name': 'burgers1d_galilean', 'max_boost': 0.35, 'final_time': 0.5}]","[0.5, 0.5]",aug_orbit,150,32,0.001,0.0001,1.0,0.01,10,4,1.0,20,5,1.0,False,auto,runs\ablations\aug_orbit_lambda_refinement\1.0\lambda_0.01\seed_31,False,1.0,0.01
runs\ablations\aug_orbit_lambda_refinement\1.0\lambda_0.01\seed_47,0.002133914313162677,1395ae45914d,burgers1d,data\1d_burgers_n128.pt,1753fa2e5ca4fb474f93fc8cdef5732daea94b7d36d7537113b38f9e3d029758,False,cpu,1395ae45914d,False,,,,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.1452035546535626,0.08936835717652912,0.0019747803557195374,0.002290814628335358,0.003912089875277795,8.644578998188011e-05,1.5106596000005084,16.610155000125815,0.5190673437539317,20,5,aug_orbit,fno1d,16,512,0.003756224834432942,0.004649485916786812,0.00010274009439972833,287361,287361,0.002539316388720181,0.004023546385038022,0.0001778173083299378,47,runs\ablations\aug_orbit_lambda_refinement\1.0\lambda_0.01\seed_47\config.yaml,47,burgers1d,data/1d_burgers_n128.pt,True,128,2048,256,512,0.5,0.001,0.01,8,0.8,0.0,64,True,23,fno1d,1,1,64,16,4,False,"[{'name': 'translation1d', 'max_shift': 0.25}, {'name': 'burgers1d_galilean', 'max_boost': 0.35, 'final_time': 0.5}]","[0.5, 0.5]",aug_orbit,150,32,0.001,0.0001,1.0,0.01,10,4,1.0,20,5,1.0,False,auto,runs\ablations\aug_orbit_lambda_refinement\1.0\lambda_0.01\seed_47,False,1.0,0.01
runs\ablations\aug_orbit_lambda_refinement\1.0\lambda_0.05\seed_23,0.002330369476112537,921799de3162,burgers1d,data\1d_burgers_n128.pt,1753fa2e5ca4fb474f93fc8cdef5732daea94b7d36d7537113b38f9e3d029758,False,cpu,921799de3162,False,,,,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.14695673587266356,0.09069382054717753,0.002004069235019533,0.0022832180414558145,0.004050321228977953,8.950030021856692e-05,1.47516380000161,16.024520000064513,0.500766250002016,20,5,aug_orbit,fno1d,16,512,0.003799140664341394,0.004812750253155651,0.00010634776063011356,287361,287361,0.002580205175036099,0.0042899516131906824,0.00018959086729058126,23,runs\ablations\aug_orbit_lambda_refinement\1.0\lambda_0.05\seed_23\config.yaml,23,burgers1d,data/1d_burgers_n128.pt,True,128,2048,256,512,0.5,0.001,0.01,8,0.8,0.0,64,True,23,fno1d,1,1,64,16,4,False,"[{'name': 'translation1d', 'max_shift': 0.25}, {'name': 'burgers1d_galilean', 'max_boost': 0.35, 'final_time': 0.5}]","[0.5, 0.5]",aug_orbit,150,32,0.001,0.0001,1.0,0.05,10,4,1.0,20,5,1.0,False,auto,runs\ablations\aug_orbit_lambda_refinement\1.0\lambda_0.05\seed_23,False,1.0,0.05
runs\ablations\aug_orbit_lambda_refinement\1.0\lambda_0.05\seed_31,0.0022350320796249434,61b0c8b60b39,burgers1d,data\1d_burgers_n128.pt,1753fa2e5ca4fb474f93fc8cdef5732daea94b7d36d7537113b38f9e3d029758,False,cpu,61b0c8b60b39,False,,,,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.1537883309647441,0.09058386197137716,0.002001639470813344,0.0027855943918524417,0.004269358987727621,9.434039661068546e-05,1.3966201000002911,15.40429500000755,0.48138421875023596,20,5,aug_orbit,fno1d,16,512,0.004178429195235367,0.004964229915426985,0.00010969501989273569,287361,287361,0.0026801657950272784,0.004226756136805092,0.00018679799542229594,31,runs\ablations\aug_orbit_lambda_refinement\1.0\lambda_0.05\seed_31\config.yaml,31,burgers1d,data/1d_burgers_n128.pt,True,128,2048,256,512,0.5,0.001,0.01,8,0.8,0.0,64,True,23,fno1d,1,1,64,16,4,False,"[{'name': 'translation1d', 'max_shift': 0.25}, {'name': 'burgers1d_galilean', 'max_boost': 0.35, 'final_time': 0.5}]","[0.5, 0.5]",aug_orbit,150,32,0.001,0.0001,1.0,0.05,10,4,1.0,20,5,1.0,False,auto,runs\ablations\aug_orbit_lambda_refinement\1.0\lambda_0.05\seed_31,False,1.0,0.05
runs\ablations\aug_orbit_lambda_refinement\1.0\lambda_0.05\seed_47,0.002213425890658982,4a93d25c048d,burgers1d,data\1d_burgers_n128.pt,1753fa2e5ca4fb474f93fc8cdef5732daea94b7d36d7537113b38f9e3d029758,False,cpu,4a93d25c048d,False,,,,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.1452035546535626,0.08936835717652912,0.0019747803557195374,0.0022142381407448397,0.003899492094507143,8.616741572529169e-05,1.3519730000007257,17.796625000119093,0.5561445312537217,20,5,aug_orbit,fno1d,16,512,0.003687423715746263,0.004660507005124399,0.00010298362834658968,287361,287361,0.0025555941174388863,0.004048408587905631,0.00017891607284512042,47,runs\ablations\aug_orbit_lambda_refinement\1.0\lambda_0.05\seed_47\config.yaml,47,burgers1d,data/1d_burgers_n128.pt,True,128,2048,256,512,0.5,0.001,0.01,8,0.8,0.0,64,True,23,fno1d,1,1,64,16,4,False,"[{'name': 'translation1d', 'max_shift': 0.25}, {'name': 'burgers1d_galilean', 'max_boost': 0.35, 'final_time': 0.5}]","[0.5, 0.5]",aug_orbit,150,32,0.001,0.0001,1.0,0.05,10,4,1.0,20,5,1.0,False,auto,runs\ablations\aug_orbit_lambda_refinement\1.0\lambda_0.05\seed_47,False,1.0,0.05
runs\ablations\aug_orbit_lambda_refinement\1.0\lambda_0.1\seed_23,0.0022951261926209554,60fccdf4c38d,burgers1d,data\1d_burgers_n128.pt,1753fa2e5ca4fb474f93fc8cdef5732daea94b7d36d7537113b38f9e3d029758,False,cpu,60fccdf4c38d,False,,,,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.14695673587266356,0.09069382054717753,0.002004069235019533,0.0022719480616859578,0.00415380035088203,9.178688736886699e-05,1.2491977000026964,13.682074999996985,0.4275648437499058,20,5,aug_orbit,fno1d,16,512,0.003786279252381064,0.004795252586771612,0.00010596111317526687,287361,287361,0.002594423494883813,0.004153586124858679,0.00018356430719562033,23,runs\ablations\aug_orbit_lambda_refinement\1.0\lambda_0.1\seed_23\config.yaml,23,burgers1d,data/1d_burgers_n128.pt,True,128,2048,256,512,0.5,0.001,0.01,8,0.8,0.0,64,True,23,fno1d,1,1,64,16,4,False,"[{'name': 'translation1d', 'max_shift': 0.25}, {'name': 'burgers1d_galilean', 'max_boost': 0.35, 'final_time': 0.5}]","[0.5, 0.5]",aug_orbit,150,32,0.001,0.0001,1.0,0.1,10,4,1.0,20,5,1.0,False,auto,runs\ablations\aug_orbit_lambda_refinement\1.0\lambda_0.1\seed_23,False,1.0,0.1
runs\ablations\aug_orbit_lambda_refinement\1.0\lambda_0.1\seed_31,0.0023782710632076487,c7bf56173372,burgers1d,data\1d_burgers_n128.pt,1753fa2e5ca4fb474f93fc8cdef5732daea94b7d36d7537113b38f9e3d029758,False,cpu,c7bf56173372,False,,,,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.1537883309647441,0.09058386197137716,0.002001639470813344,0.0027325848322234947,0.00427899353749949,9.455329209435321e-05,1.4077778999999282,15.904884999872593,0.4970276562460185,20,5,aug_orbit,fno1d,16,512,0.004156900122325169,0.005133939225388006,0.00011344510126473342,287361,287361,0.0027583779810811393,0.004471199760253027,0.00019760097940716128,31,runs\ablations\aug_orbit_lambda_refinement\1.0\lambda_0.1\seed_31\config.yaml,31,burgers1d,data/1d_burgers_n128.pt,True,128,2048,256,512,0.5,0.001,0.01,8,0.8,0.0,64,True,23,fno1d,1,1,64,16,4,False,"[{'name': 'translation1d', 'max_shift': 0.25}, {'name': 'burgers1d_galilean', 'max_boost': 0.35, 'final_time': 0.5}]","[0.5, 0.5]",aug_orbit,150,32,0.001,0.0001,1.0,0.1,10,4,1.0,20,5,1.0,False,auto,runs\ablations\aug_orbit_lambda_refinement\1.0\lambda_0.1\seed_31,False,1.0,0.1
runs\ablations\aug_orbit_lambda_refinement\1.0\lambda_0.1\seed_47,0.002201135124778375,8a71626e6429,burgers1d,data\1d_burgers_n128.pt,1753fa2e5ca4fb474f93fc8cdef5732daea94b7d36d7537113b38f9e3d029758,False,cpu,8a71626e6429,False,,,,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.1452035546535626,0.08936835717652912,0.0019747803557195374,0.0021150003665106887,0.0037752762281259415,8.342260693000701e-05,1.2563418999998248,13.78867999992508,0.43089624999765874,20,5,aug_orbit,fno1d,16,512,0.0036039709175383905,0.0045208883257695275,9.989846225433533e-05,287361,287361,0.002501473754819017,0.0038053928328245887,0.00016817619232305952,47,runs\ablations\aug_orbit_lambda_refinement\1.0\lambda_0.1\seed_47\config.yaml,47,burgers1d,data/1d_burgers_n128.pt,True,128,2048,256,512,0.5,0.001,0.01,8,0.8,0.0,64,True,23,fno1d,1,1,64,16,4,False,"[{'name': 'translation1d', 'max_shift': 0.25}, {'name': 'burgers1d_galilean', 'max_boost': 0.35, 'final_time': 0.5}]","[0.5, 0.5]",aug_orbit,150,32,0.001,0.0001,1.0,0.1,10,4,1.0,20,5,1.0,False,auto,runs\ablations\aug_orbit_lambda_refinement\1.0\lambda_0.1\seed_47,False,1.0,0.1
runs\ablations\aug_orbit_lambda_refinement\1.0\lambda_0.25\seed_23,0.002240158399217762,a302ba118da1,burgers1d,data\1d_burgers_n128.pt,1753fa2e5ca4fb474f93fc8cdef5732daea94b7d36d7537113b38f9e3d029758,False,cpu,a302ba118da1,False,,,,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.14695673587266356,0.09069382054717753,0.002004069235019533,0.0022175803580499753,0.004093603489319859,9.045671208709329e-05,1.533664000002318,14.041305000137072,0.4387907812542835,20,5,aug_orbit,fno1d,16,512,0.0037842030033061747,0.004840656682525746,0.00010696441142531035,287361,287361,0.0026606659084791318,0.004259847133847007,0.00018826042469758107,23,runs\ablations\aug_orbit_lambda_refinement\1.0\lambda_0.25\seed_23\config.yaml,23,burgers1d,data/1d_burgers_n128.pt,True,128,2048,256,512,0.5,0.001,0.01,8,0.8,0.0,64,True,23,fno1d,1,1,64,16,4,False,"[{'name': 'translation1d', 'max_shift': 0.25}, {'name': 'burgers1d_galilean', 'max_boost': 0.35, 'final_time': 0.5}]","[0.5, 0.5]",aug_orbit,150,32,0.001,0.0001,1.0,0.25,10,4,1.0,20,5,1.0,False,auto,runs\ablations\aug_orbit_lambda_refinement\1.0\lambda_0.25\seed_23,False,1.0,0.25
runs\ablations\aug_orbit_lambda_refinement\1.0\lambda_0.25\seed_31,0.0023671460949117318,0f36afc8f8c1,burgers1d,data\1d_burgers_n128.pt,1753fa2e5ca4fb474f93fc8cdef5732daea94b7d36d7537113b38f9e3d029758,False,cpu,0f36afc8f8c1,False,,,,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.1537883309647441,0.09058386197137716,0.002001639470813344,0.0025341369869185115,0.0041447247705008895,9.158634348040737e-05,1.3149548000001232,14.65379999972356,0.45793124999136126,20,5,aug_orbit,fno1d,16,512,0.003979794519182178,0.0051307868430872546,0.00011337544279905363,287361,287361,0.002665219122718554,0.004440673428110708,0.00019625189337824965,31,runs\ablations\aug_orbit_lambda_refinement\1.0\lambda_0.25\seed_31\config.yaml,31,burgers1d,data/1d_burgers_n128.pt,True,128,2048,256,512,0.5,0.001,0.01,8,0.8,0.0,64,True,23,fno1d,1,1,64,16,4,False,"[{'name': 'translation1d', 'max_shift': 0.25}, {'name': 'burgers1d_galilean', 'max_boost': 0.35, 'final_time': 0.5}]","[0.5, 0.5]",aug_orbit,150,32,0.001,0.0001,1.0,0.25,10,4,1.0,20,5,1.0,False,auto,runs\ablations\aug_orbit_lambda_refinement\1.0\lambda_0.25\seed_31,False,1.0,0.25
runs\ablations\aug_orbit_lambda_refinement\1.0\lambda_0.25\seed_47,0.002145298509276472,b0b7731ee20e,burgers1d,data\1d_burgers_n128.pt,1753fa2e5ca4fb474f93fc8cdef5732daea94b7d36d7537113b38f9e3d029758,False,cpu,b0b7731ee20e,False,,,,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.1452035546535626,0.08936835717652912,0.0019747803557195374,0.0020003452421128998,0.003681374843074595,8.134765986336275e-05,1.3539560999997775,14.240064999830793,0.44500203124471227,20,5,aug_orbit,fno1d,16,512,0.0035280077881907346,0.004522151448094152,9.992637357812314e-05,287361,287361,0.002607502530736383,0.004198991798325597,0.00018557097342142032,47,runs\ablations\aug_orbit_lambda_refinement\1.0\lambda_0.25\seed_47\config.yaml,47,burgers1d,data/1d_burgers_n128.pt,True,128,2048,256,512,0.5,0.001,0.01,8,0.8,0.0,64,True,23,fno1d,1,1,64,16,4,False,"[{'name': 'translation1d', 'max_shift': 0.25}, {'name': 'burgers1d_galilean', 'max_boost': 0.35, 'final_time': 0.5}]","[0.5, 0.5]",aug_orbit,150,32,0.001,0.0001,1.0,0.25,10,4,1.0,20,5,1.0,False,auto,runs\ablations\aug_orbit_lambda_refinement\1.0\lambda_0.25\seed_47,False,1.0,0.25
runs\ablations\aug_orbit_lambda_refinement\1.0\lambda_0.5\seed_23,0.00231489198631607,7ec8346b6a48,burgers1d,data\1d_burgers_n128.pt,1753fa2e5ca4fb474f93fc8cdef5732daea94b7d36d7537113b38f9e3d029758,False,cpu,7ec8346b6a48,False,,,,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.14695673587266356,0.09069382054717753,0.002004069235019533,0.002267523037099206,0.0042141389143796875,9.312019385062476e-05,1.296224899997469,14.164945000084117,0.44265453125262866,20,5,aug_orbit,fno1d,16,512,0.003932329827875947,0.005015458909050264,0.00011082703141724767,287361,287361,0.0028185868577566,0.004471690996359082,0.000197622689181021,23,runs\ablations\aug_orbit_lambda_refinement\1.0\lambda_0.5\seed_23\config.yaml,23,burgers1d,data/1d_burgers_n128.pt,True,128,2048,256,512,0.5,0.001,0.01,8,0.8,0.0,64,True,23,fno1d,1,1,64,16,4,False,"[{'name': 'translation1d', 'max_shift': 0.25}, {'name': 'burgers1d_galilean', 'max_boost': 0.35, 'final_time': 0.5}]","[0.5, 0.5]",aug_orbit,150,32,0.001,0.0001,1.0,0.5,10,4,1.0,20,5,1.0,False,auto,runs\ablations\aug_orbit_lambda_refinement\1.0\lambda_0.5\seed_23,False,1.0,0.5
runs\ablations\aug_orbit_lambda_refinement\1.0\lambda_0.5\seed_31,0.0024701322690816596,d75bca8b2e0c,burgers1d,data\1d_burgers_n128.pt,1753fa2e5ca4fb474f93fc8cdef5732daea94b7d36d7537113b38f9e3d029758,False,cpu,d75bca8b2e0c,False,,,,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.1537883309647441,0.09058386197137716,0.002001639470813344,0.0025431357747658367,0.004179658048220141,9.235826715429348e-05,1.712327399996866,16.914415000064764,0.5285754687520239,20,5,aug_orbit,fno1d,16,512,0.004001484860054916,0.005335165842034948,0.00011789162330180463,287361,287361,0.0027137083452544175,0.004767274430120476,0.00021068575483221388,31,runs\ablations\aug_orbit_lambda_refinement\1.0\lambda_0.5\seed_31\config.yaml,31,burgers1d,data/1d_burgers_n128.pt,True,128,2048,256,512,0.5,0.001,0.01,8,0.8,0.0,64,True,23,fno1d,1,1,64,16,4,False,"[{'name': 'translation1d', 'max_shift': 0.25}, {'name': 'burgers1d_galilean', 'max_boost': 0.35, 'final_time': 0.5}]","[0.5, 0.5]",aug_orbit,150,32,0.001,0.0001,1.0,0.5,10,4,1.0,20,5,1.0,False,auto,runs\ablations\aug_orbit_lambda_refinement\1.0\lambda_0.5\seed_31,False,1.0,0.5
runs\ablations\aug_orbit_lambda_refinement\1.0\lambda_0.5\seed_47,0.002243431765236892,e8edd875f1ef,burgers1d,data\1d_burgers_n128.pt,1753fa2e5ca4fb474f93fc8cdef5732daea94b7d36d7537113b38f9e3d029758,False,cpu,e8edd875f1ef,False,,,,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.1452035546535626,0.08936835717652912,0.0019747803557195374,0.001959581483887529,0.0036351375836760212,8.032595112385611e-05,1.673699699997087,14.511495000260766,0.4534842187581489,20,5,aug_orbit,fno1d,16,512,0.0035238811651652213,0.004508908125465986,9.963373472700385e-05,287361,287361,0.0026017746567958966,0.003992827100331715,0.00017645969492187342,47,runs\ablations\aug_orbit_lambda_refinement\1.0\lambda_0.5\seed_47\config.yaml,47,burgers1d,data/1d_burgers_n128.pt,True,128,2048,256,512,0.5,0.001,0.01,8,0.8,0.0,64,True,23,fno1d,1,1,64,16,4,False,"[{'name': 'translation1d', 'max_shift': 0.25}, {'name': 'burgers1d_galilean', 'max_boost': 0.35, 'final_time': 0.5}]","[0.5, 0.5]",aug_orbit,150,32,0.001,0.0001,1.0,0.5,10,4,1.0,20,5,1.0,False,auto,runs\ablations\aug_orbit_lambda_refinement\1.0\lambda_0.5\seed_47,False,1.0,0.5
