run_dir,best_val_relative_l2,config_hash,dataset_kind,dataset_path,dataset_sha256,deterministic,device,environment.config_hash,environment.cuda_available,environment.cuda_version,environment.cudnn_version,environment.git_commit,environment.mkl_num_threads,environment.omp_num_threads,environment.platform,environment.python,environment.torch,epsilon_mean,epsilon_mean_std,epsilon_mean_stderr,equivariance_defect_relative,equivariance_defect_relative_std,equivariance_defect_relative_stderr,eval_seconds,latency_ms_per_batch,latency_ms_per_sample,latency_repeats,latency_warmup,method,model_name,num_batches,num_samples,orbit_ood_relative_l2,orbit_ood_relative_l2_std,orbit_ood_relative_l2_stderr,parameters,parameters_total,relative_l2,relative_l2_std,relative_l2_stderr,seed,config_path,config.seed,config.dataset.kind,config.dataset.path,config.dataset.generate_if_missing,config.dataset.n,config.dataset.num_train,config.dataset.num_val,config.dataset.num_test,config.dataset.final_time,config.dataset.dt,config.dataset.viscosity,config.dataset.smoothness,config.dataset.amplitude,config.dataset.solver_batch_size,config.dataset.dealias,config.dataset.seed,config.model.name,config.model.in_channels,config.model.out_channels,config.model.width,config.model.modes1,config.model.modes2,config.model.depth,config.model.add_grid,config.symmetry.transforms,config.symmetry.probabilities,config.training.method,config.training.epochs,config.training.batch_size,config.training.lr,config.training.weight_decay,config.training.lambda_orbit,config.training.lambda_aug,config.training.normalize_by_epsilon,config.training.orbit_eta,config.training.eval_every,config.training.eval_orbit_samples,config.training.data_fraction,config.training.num_workers,config.training.grad_clip,config.training.latency_repeats,config.training.latency_warmup,config.training.steps_per_epoch,config.training.stop_after_epochs,config.runtime.deterministic,config.runtime.device,config.runtime.run_dir,config.runtime.overwrite,config.runtime.resume,data_fraction,steps_per_epoch,lambda_orbit,config.dataset.max_boost,config.symmetry.name,config.symmetry.max_boost,config.symmetry.final_time,config.symmetry.length,config.symmetry.boost_x_channel,config.symmetry.boost_y_channel,oracle_canonical_ood_relative_l2,oracle_canonical_ood_relative_l2_std,oracle_canonical_ood_relative_l2_stderr,train_wall_seconds,orbit_control,config.training.orbit_control,config.training.orbit_data_fraction,config.training.orbit_steps_per_epoch,config.training.orbit_batch_size,orbit_data_fraction,orbit_steps_per_epoch,config.training.unlabeled_orbit_steps_per_epoch,unlabeled_orbit_steps_per_epoch,config.dataset.modes,config.dataset.mean,config.model.modes,config.model.canonicalizers,config.model.canonical_channel,config.model.translation_mode,config.model.final_time,config.model.length,config.dataset.velocity,config.symmetry.max_shift,paper_table
runs\ablations\2d_galilean_n64_label_efficiency_compute_matched\fraction_0.02\aug_steps_6\seed_23,0.4799009971320629,a80a89b88ade,navier_stokes_vorticity2d_boosted,data\2d_ns_vorticity_galilean_n64.pt,defc9703dbc41494fabf9fcfe9e3408eb2e1c3890814e47fe03d0f6b849e3f50,False,cpu,a80a89b88ade,False,,,22ced69577376b9bcde71a6338090f76c75085d2,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.19225013302639127,0.06968805066579263,0.0021777515833060197,0.36101822229102254,0.1452077143783605,0.0045377410743237655,19.116995299998962,251.6360249999707,15.727251562498168,20,5,aug,fno2d,16,256,0.5000794478692114,0.120103391275983,0.003753230977374469,2668609,2668609,0.47503660432994366,0.09049889438112348,0.005656180898820217,23,runs\ablations\2d_galilean_n64_label_efficiency_compute_matched\fraction_0.02\aug_steps_6\seed_23\config.yaml,23,navier_stokes_vorticity2d_boosted,data/2d_ns_vorticity_galilean_n64.pt,True,64,1024,128,256,0.5,0.001,0.001,8.0,1.0,8.0,True,31,fno2d,3,1,48,12.0,12.0,4,False,,,aug,150,16,0.001,0.0001,0.05,1.0,True,1e-06,10,4,0.02,0.0,1.0,20,5,6.0,20.0,False,auto,runs/ablations/2d_galilean_n64_label_efficiency_compute_matched/fraction_0.02/aug_steps_6/seed_23,False,True,0.02,6,0.05,0.5,navier_stokes2d_galilean,0.25,0.5,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,headline
runs\ablations\2d_galilean_n64_label_efficiency_compute_matched\fraction_0.02\aug_steps_6\seed_31,0.5367149859666824,34da212d37da,navier_stokes_vorticity2d_boosted,data\2d_ns_vorticity_galilean_n64.pt,defc9703dbc41494fabf9fcfe9e3408eb2e1c3890814e47fe03d0f6b849e3f50,False,cpu,34da212d37da,False,,,22ced69577376b9bcde71a6338090f76c75085d2,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.19283841690048575,0.07128097322041756,0.0022275304131380486,0.40780863957479596,0.17191203207775463,0.005372251002429832,18.20374289999745,285.3628349999781,17.83517718749863,20,5,aug,fno2d,16,256,0.5710898628458381,0.1281007278015681,0.004003147743799003,2668609,2668609,0.5449895411729813,0.09357927292090563,0.005848704557556602,31,runs\ablations\2d_galilean_n64_label_efficiency_compute_matched\fraction_0.02\aug_steps_6\seed_31\config.yaml,31,navier_stokes_vorticity2d_boosted,data/2d_ns_vorticity_galilean_n64.pt,True,64,1024,128,256,0.5,0.001,0.001,8.0,1.0,8.0,True,31,fno2d,3,1,48,12.0,12.0,4,False,,,aug,150,16,0.001,0.0001,0.05,1.0,True,1e-06,10,4,0.02,0.0,1.0,20,5,6.0,20.0,False,auto,runs/ablations/2d_galilean_n64_label_efficiency_compute_matched/fraction_0.02/aug_steps_6/seed_31,False,True,0.02,6,0.05,0.5,navier_stokes2d_galilean,0.25,0.5,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,headline
runs\ablations\2d_galilean_n64_label_efficiency_compute_matched\fraction_0.02\aug_steps_6\seed_47,0.5305221825838089,f90b8d36ac40,navier_stokes_vorticity2d_boosted,data\2d_ns_vorticity_galilean_n64.pt,defc9703dbc41494fabf9fcfe9e3408eb2e1c3890814e47fe03d0f6b849e3f50,False,cpu,f90b8d36ac40,False,,,22ced69577376b9bcde71a6338090f76c75085d2,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.18829658185131848,0.06982046111387631,0.0021818894098086347,0.39135398669168353,0.15326978952331324,0.004789680922603539,19.01342250000016,232.31966000021202,14.519978750013252,20,5,aug,fno2d,16,256,0.5534176761284471,0.11879284670690606,0.0037122764595908142,2668609,2668609,0.5343834832310677,0.093936737826763,0.005871046114172687,47,runs\ablations\2d_galilean_n64_label_efficiency_compute_matched\fraction_0.02\aug_steps_6\seed_47\config.yaml,47,navier_stokes_vorticity2d_boosted,data/2d_ns_vorticity_galilean_n64.pt,True,64,1024,128,256,0.5,0.001,0.001,8.0,1.0,8.0,True,31,fno2d,3,1,48,12.0,12.0,4,False,,,aug,150,16,0.001,0.0001,0.05,1.0,True,1e-06,10,4,0.02,0.0,1.0,20,5,6.0,20.0,False,auto,runs/ablations/2d_galilean_n64_label_efficiency_compute_matched/fraction_0.02/aug_steps_6/seed_47,False,True,0.02,6,0.05,0.5,navier_stokes2d_galilean,0.25,0.5,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,headline
runs\ablations\2d_galilean_n64_label_efficiency_compute_matched\fraction_0.02\aug_steps_6\seed_59,0.4054867662489414,e75174bb0507,navier_stokes_vorticity2d_boosted,data\2d_ns_vorticity_galilean_n64.pt,defc9703dbc41494fabf9fcfe9e3408eb2e1c3890814e47fe03d0f6b849e3f50,False,cpu,e75174bb0507,False,,,22ced69577376b9bcde71a6338090f76c75085d2,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.19502086704596877,0.06897388736061734,0.002155433980019292,0.3361896541900933,0.1599215761867973,0.004997549255837416,19.791790599992964,225.1424149995728,14.0714009374733,20,5,aug,fno2d,16,256,0.4483756138943136,0.15744601463467373,0.004920187957333554,2668609,2668609,0.40845455043017864,0.11186895923746494,0.006991809952341559,59,runs\ablations\2d_galilean_n64_label_efficiency_compute_matched\fraction_0.02\aug_steps_6\seed_59\config.yaml,59,navier_stokes_vorticity2d_boosted,data/2d_ns_vorticity_galilean_n64.pt,True,64,1024,128,256,0.5,0.001,0.001,8.0,1.0,8.0,True,31,fno2d,3,1,48,12.0,12.0,4,False,,,aug,150,16,0.001,0.0001,0.05,1.0,True,1e-06,10,4,0.02,0.0,1.0,20,5,6.0,20.0,False,auto,runs/ablations/2d_galilean_n64_label_efficiency_compute_matched/fraction_0.02/aug_steps_6/seed_59,False,True,0.02,6,0.05,0.5,navier_stokes2d_galilean,0.25,0.5,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,headline
runs\ablations\2d_galilean_n64_label_efficiency_compute_matched\fraction_0.02\aug_steps_6\seed_71,0.5324207618832588,803713d7b9f0,navier_stokes_vorticity2d_boosted,data\2d_ns_vorticity_galilean_n64.pt,defc9703dbc41494fabf9fcfe9e3408eb2e1c3890814e47fe03d0f6b849e3f50,False,cpu,803713d7b9f0,False,,,22ced69577376b9bcde71a6338090f76c75085d2,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.19029024778865278,0.07178788323667873,0.0022433713511462103,0.41139928763732314,0.16592496357516043,0.005185155111723763,27.361354399996344,506.05082499969285,31.628176562480803,20,5,aug,fno2d,16,256,0.5652007795870304,0.12014782096752327,0.0037546194052351023,2668609,2668609,0.5415244773030281,0.08886142370932967,0.005553838981833105,71,runs\ablations\2d_galilean_n64_label_efficiency_compute_matched\fraction_0.02\aug_steps_6\seed_71\config.yaml,71,navier_stokes_vorticity2d_boosted,data/2d_ns_vorticity_galilean_n64.pt,True,64,1024,128,256,0.5,0.001,0.001,8.0,1.0,8.0,True,31,fno2d,3,1,48,12.0,12.0,4,False,,,aug,150,16,0.001,0.0001,0.05,1.0,True,1e-06,10,4,0.02,0.0,1.0,20,5,6.0,20.0,False,auto,runs/ablations/2d_galilean_n64_label_efficiency_compute_matched/fraction_0.02/aug_steps_6/seed_71,False,True,0.02,6,0.05,0.5,navier_stokes2d_galilean,0.25,0.5,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,headline
runs\ablations\2d_galilean_n64_2pct_lambda_robustness\fraction_0.02\aug_orbit_lambda_0.1_steps_4\seed_23,0.3566172644495964,15e40d4c8c80,navier_stokes_vorticity2d_boosted,data\2d_ns_vorticity_galilean_n64.pt,defc9703dbc41494fabf9fcfe9e3408eb2e1c3890814e47fe03d0f6b849e3f50,False,cpu,15e40d4c8c80,False,,,22ced69577376b9bcde71a6338090f76c75085d2,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.19225013302639127,0.06968805066579263,0.0021777515833060197,0.2530845678411424,0.12607723867135281,0.0039399137084797755,25.0394590000069,323.76004500038107,20.235002812523817,20,5,aug_orbit,fno2d,16,256,0.3743666750378907,0.11671114434318862,0.0036472232607246443,2668609,2668609,0.35174218751490116,0.077843177434051,0.004865198589628188,23,runs\ablations\2d_galilean_n64_2pct_lambda_robustness\fraction_0.02\aug_orbit_lambda_0.1_steps_4\seed_23\config.yaml,23,navier_stokes_vorticity2d_boosted,data/2d_ns_vorticity_galilean_n64.pt,True,64,1024,128,256,0.5,0.001,0.001,8.0,1.0,8.0,True,31,fno2d,3,1,48,12.0,12.0,4,False,,,aug_orbit,150,16,0.001,0.0001,0.1,1.0,True,1e-06,10,4,0.02,0.0,1.0,20,5,4.0,20.0,False,auto,runs/ablations/2d_galilean_n64_2pct_lambda_robustness/fraction_0.02/aug_orbit_lambda_0.1_steps_4/seed_23,False,True,0.02,4,0.1,0.5,navier_stokes2d_galilean,0.25,0.5,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,headline
runs\ablations\2d_galilean_n64_2pct_lambda_robustness\fraction_0.02\aug_orbit_lambda_0.1_steps_4\seed_31,0.3725278042256832,64f26f2dcb71,navier_stokes_vorticity2d_boosted,data\2d_ns_vorticity_galilean_n64.pt,defc9703dbc41494fabf9fcfe9e3408eb2e1c3890814e47fe03d0f6b849e3f50,False,cpu,64f26f2dcb71,False,,,22ced69577376b9bcde71a6338090f76c75085d2,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.19283841690048575,0.07128097322041756,0.0022275304131380486,0.2692930868361145,0.14138593454553086,0.004418310454547839,24.81355639999674,326.49204499975895,20.405752812484934,20,5,aug_orbit,fno2d,16,256,0.4028443736024201,0.11890964229022491,0.0037159263215695284,2668609,2668609,0.37398373521864414,0.0797110701849171,0.004981941886557319,31,runs\ablations\2d_galilean_n64_2pct_lambda_robustness\fraction_0.02\aug_orbit_lambda_0.1_steps_4\seed_31\config.yaml,31,navier_stokes_vorticity2d_boosted,data/2d_ns_vorticity_galilean_n64.pt,True,64,1024,128,256,0.5,0.001,0.001,8.0,1.0,8.0,True,31,fno2d,3,1,48,12.0,12.0,4,False,,,aug_orbit,150,16,0.001,0.0001,0.1,1.0,True,1e-06,10,4,0.02,0.0,1.0,20,5,4.0,20.0,False,auto,runs/ablations/2d_galilean_n64_2pct_lambda_robustness/fraction_0.02/aug_orbit_lambda_0.1_steps_4/seed_31,False,True,0.02,4,0.1,0.5,navier_stokes2d_galilean,0.25,0.5,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,headline
runs\ablations\2d_galilean_n64_2pct_lambda_robustness\fraction_0.02\aug_orbit_lambda_0.1_steps_4\seed_47,0.3768513724207878,afbda1a47533,navier_stokes_vorticity2d_boosted,data\2d_ns_vorticity_galilean_n64.pt,defc9703dbc41494fabf9fcfe9e3408eb2e1c3890814e47fe03d0f6b849e3f50,False,cpu,afbda1a47533,False,,,22ced69577376b9bcde71a6338090f76c75085d2,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.18829658185131848,0.06982046111387631,0.0021818894098086347,0.2666297974064946,0.13360696829638957,0.004175217759262174,19.699127100000624,223.47702999977628,13.967314374986017,20,5,aug_orbit,fno2d,16,256,0.3974168375134468,0.11593792526792744,0.0036230601646227325,2668609,2668609,0.37636843882501125,0.08209717624324323,0.0051310735152027016,47,runs\ablations\2d_galilean_n64_2pct_lambda_robustness\fraction_0.02\aug_orbit_lambda_0.1_steps_4\seed_47\config.yaml,47,navier_stokes_vorticity2d_boosted,data/2d_ns_vorticity_galilean_n64.pt,True,64,1024,128,256,0.5,0.001,0.001,8.0,1.0,8.0,True,31,fno2d,3,1,48,12.0,12.0,4,False,,,aug_orbit,150,16,0.001,0.0001,0.1,1.0,True,1e-06,10,4,0.02,0.0,1.0,20,5,4.0,20.0,False,auto,runs/ablations/2d_galilean_n64_2pct_lambda_robustness/fraction_0.02/aug_orbit_lambda_0.1_steps_4/seed_47,False,True,0.02,4,0.1,0.5,navier_stokes2d_galilean,0.25,0.5,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,headline
runs\ablations\2d_galilean_n64_2pct_lambda_robustness\fraction_0.02\aug_orbit_lambda_0.1_steps_4\seed_59,0.31855708360671997,44dfdafc5390,navier_stokes_vorticity2d_boosted,data\2d_ns_vorticity_galilean_n64.pt,defc9703dbc41494fabf9fcfe9e3408eb2e1c3890814e47fe03d0f6b849e3f50,False,cpu,44dfdafc5390,False,,,511ec5a8a1948b5bf1a9236989f6bcd43112a8c7,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.19502086704596877,0.06897388736061734,0.002155433980019292,0.2533877780660987,0.1509160328586197,0.004716126026831866,28.667046999995364,244.9943700004951,15.312148125030944,20,5,aug_orbit,fno2d,16,256,0.3558515668846667,0.1503663369276435,0.00469894802898886,2668609,2668609,0.3189374580979347,0.10069071630808267,0.006293169769255167,59,runs\ablations\2d_galilean_n64_2pct_lambda_robustness\fraction_0.02\aug_orbit_lambda_0.1_steps_4\seed_59\config.yaml,59,navier_stokes_vorticity2d_boosted,data/2d_ns_vorticity_galilean_n64.pt,True,64,1024,128,256,0.5,0.001,0.001,8.0,1.0,8.0,True,31,fno2d,3,1,48,12.0,12.0,4,False,,,aug_orbit,150,16,0.001,0.0001,0.1,1.0,True,1e-06,10,4,0.02,0.0,1.0,20,5,4.0,20.0,False,auto,runs/ablations/2d_galilean_n64_2pct_lambda_robustness/fraction_0.02/aug_orbit_lambda_0.1_steps_4/seed_59,False,True,0.02,4,0.1,0.5,navier_stokes2d_galilean,0.25,0.5,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,headline
runs\ablations\2d_galilean_n64_2pct_lambda_robustness\fraction_0.02\aug_orbit_lambda_0.1_steps_4\seed_71,0.41411367431282997,3740d8786275,navier_stokes_vorticity2d_boosted,data\2d_ns_vorticity_galilean_n64.pt,defc9703dbc41494fabf9fcfe9e3408eb2e1c3890814e47fe03d0f6b849e3f50,False,cpu,3740d8786275,False,,,511ec5a8a1948b5bf1a9236989f6bcd43112a8c7,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.19029024778865278,0.07178788323667873,0.0022433713511462103,0.29590738262049854,0.15211163653295567,0.004753488641654865,19.617711099999724,231.05633000013768,14.441020625008605,20,5,aug_orbit,fno2d,16,256,0.44443790381774306,0.12430701220903008,0.00388459413153219,2668609,2668609,0.4171714447438717,0.07889951710680652,0.004931219819175408,71,runs\ablations\2d_galilean_n64_2pct_lambda_robustness\fraction_0.02\aug_orbit_lambda_0.1_steps_4\seed_71\config.yaml,71,navier_stokes_vorticity2d_boosted,data/2d_ns_vorticity_galilean_n64.pt,True,64,1024,128,256,0.5,0.001,0.001,8.0,1.0,8.0,True,31,fno2d,3,1,48,12.0,12.0,4,False,,,aug_orbit,150,16,0.001,0.0001,0.1,1.0,True,1e-06,10,4,0.02,0.0,1.0,20,5,4.0,20.0,False,auto,runs/ablations/2d_galilean_n64_2pct_lambda_robustness/fraction_0.02/aug_orbit_lambda_0.1_steps_4/seed_71,False,True,0.02,4,0.1,0.5,navier_stokes2d_galilean,0.25,0.5,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,headline
