split,sample_index,base_boost_x,base_boost_y,delta_boost_x,delta_boost_y,delta_boost_norm,closure_residual_relative,closure_abs_l2,closure_reference_l2
test,0,0.09845811128616333,-0.02883857488632202,-0.06507516652345657,-0.3292878568172455,0.33565646409988403,3.880400072375778e-07,2.2596315830014646e-05,58.2319221496582
test,9,0.43179851770401,0.2661048173904419,0.04266536235809326,-0.2896798849105835,0.292805016040802,3.5738676729124563e-07,2.115485585818533e-05,59.193172454833984
test,24,0.1844252347946167,-0.014611899852752686,-0.051847103983163834,-0.007245534565299749,0.052350930869579315,3.211467287655978e-07,1.879926821857225e-05,58.537940979003906
test,25,0.4768781065940857,0.3741510510444641,-0.11217646300792694,-0.10033244639635086,0.15049970149993896,3.44604472957144e-07,2.036061414401047e-05,59.08401107788086
test,34,0.4757588505744934,0.06498390436172485,-0.2986834943294525,-0.07112161815166473,0.30703437328338623,4.419638059971476e-07,2.586948176031001e-05,58.53303146362305
test,38,-0.020606279373168945,-0.09812754392623901,0.04057210683822632,-0.3014606535434723,0.3041785955429077,3.954597218580602e-07,2.3355310986516997e-05,59.05863571166992
test,45,0.22933882474899292,-0.06604254245758057,0.26386088132858276,-0.2608758211135864,0.3710508942604065,4.82666791867814e-07,2.8069340260117315e-05,58.154693603515625
test,47,0.22487396001815796,0.4749566316604614,-0.3116094172000885,0.03798776865005493,0.3139163851737976,4.681982943566254e-07,2.7010912162950262e-05,57.69118118286133
test,48,0.26159727573394775,-0.180539071559906,0.3495402932167053,0.06195639818906784,0.3549887239933014,4.5167311668592447e-07,2.6382393116364256e-05,58.410369873046875
test,51,-0.41796255111694336,-0.23981475830078125,0.0816592425107956,0.026356244459748268,0.08580724895000458,2.816064181843103e-07,1.6483862054883502e-05,58.53510665893555
test,54,-0.18777304887771606,0.13039225339889526,0.1156528890132904,-0.16206687688827515,0.19910113513469696,3.2632044622005196e-07,1.923467789310962e-05,58.94413757324219
test,65,-0.12634652853012085,0.14008861780166626,0.15444807708263397,-0.1423780471086502,0.2100612223148346,3.6479752907325746e-07,2.156478694814723e-05,59.11439895629883
test,68,-0.1447521448135376,-0.10996299982070923,-0.27787819504737854,0.0391155481338501,0.28061774373054504,3.7382406503638776e-07,2.248796408821363e-05,60.15654373168945
test,72,-0.4670976400375366,0.12008219957351685,0.34835973381996155,-0.015083414502441883,0.3486861288547516,4.4261179255045136e-07,2.5397494027856737e-05,57.3809700012207
test,85,-0.47729748487472534,0.024980664253234863,-0.07288434356451035,-0.31640008091926575,0.3246862292289734,4.346402420196682e-07,2.5388750145793892e-05,58.41325378417969
test,94,-0.367936372756958,-0.1926366686820984,-0.09056319296360016,0.13115127384662628,0.15938113629817963,3.6735232811224705e-07,2.1274554455885664e-05,57.91321563720703
test,100,0.49178820848464966,0.05556058883666992,-0.22963951528072357,-0.27831774950027466,0.3608255684375763,3.935641359475994e-07,2.2973383238422684e-05,58.37265396118164
test,106,-0.3938276767730713,0.19556760787963867,-0.26633623242378235,-0.010275810956954956,0.26653438806533813,5.622714525088668e-07,3.2301308237947524e-05,57.4478874206543
test,107,0.432026743888855,0.34182000160217285,0.3449198603630066,-0.054914891719818115,0.3492640256881714,4.1820871388154046e-07,2.400644552835729e-05,57.40302658081055
test,109,-0.3332962393760681,0.31314581632614136,-0.05806199088692665,0.3010147213935852,0.30656328797340393,3.637894963048893e-07,2.185840276069939e-05,60.085304260253906
test,138,-0.20849359035491943,-0.09515380859375,0.09016669541597366,-0.04567127302289009,0.1010737270116806,3.272327546710585e-07,1.9427770894253626e-05,59.3698844909668
test,142,0.38918328285217285,0.155328631401062,-0.05519865080714226,0.12716662883758545,0.13862986862659454,3.3896503737196326e-07,2.0083891286049038e-05,59.25062561035156
test,159,0.13178610801696777,0.3930416703224182,0.27699631452560425,0.040610991418361664,0.27995750308036804,3.8864345697220415e-07,2.300540654687211e-05,59.19411849975586
test,164,0.23990148305892944,-0.4895015358924866,0.2172745317220688,0.3446182310581207,0.4073941111564636,4.642820385925006e-07,2.728932122408878e-05,58.7774658203125
test,167,-0.42295849323272705,-0.31383055448532104,-0.25831207633018494,-0.3388805389404297,0.4261046350002289,4.07435607030493e-07,2.3570664779981598e-05,57.85126495361328
test,171,0.08475738763809204,-0.20662987232208252,0.08640655875205994,-0.33207008242607117,0.3431277275085449,3.503399170767807e-07,2.0470510207815096e-05,58.430423736572266
test,188,0.2048930525779724,-0.3574151396751404,0.13566327095031738,-0.21470583975315094,0.25397464632987976,3.9422394593202625e-07,2.328945993212983e-05,59.076725006103516
test,189,-0.2110568881034851,-0.4094495177268982,0.0013183295959606767,0.33001863956451416,0.3300212621688843,3.8568239801861637e-07,2.2577018171432428e-05,58.53784942626953
test,193,-0.17885053157806396,0.062303364276885986,0.33448469638824463,0.2010674774646759,0.3902667462825775,4.0603813999950944e-07,2.3865521143306978e-05,58.77655029296875
test,226,0.30458301305770874,-0.2654069662094116,0.3038313686847687,0.1879655420780182,0.35727375745773315,3.341537535561656e-07,1.9861632608808577e-05,59.438602447509766
test,227,0.02735680341720581,0.3433828353881836,-0.333518922328949,0.23185840249061584,0.4061935544013977,5.827239988320798e-07,3.392837243154645e-05,58.2237434387207
test,234,0.1217573881149292,-0.3128387928009033,0.11455059796571732,-0.1241295114159584,0.16890819370746613,3.8044834127504146e-07,2.1948839275864884e-05,57.69203567504883
