data_fraction,method,model_name,dataset_kind,relative_l2_mean,relative_l2_std,relative_l2_count,orbit_ood_relative_l2_mean,orbit_ood_relative_l2_std,orbit_ood_relative_l2_count,equivariance_defect_relative_mean,equivariance_defect_relative_std,equivariance_defect_relative_count,latency_ms_per_sample_mean,latency_ms_per_sample_std,latency_ms_per_sample_count,latency_ms_per_batch_mean,latency_ms_per_batch_std,latency_ms_per_batch_count
0.01,aug,fno1d,burgers1d,0.12720115886380276,0.02391522981449705,3,0.1681016367704918,0.03305860246566159,3,0.09396555072718822,0.025238289825172774,3,0.8226564583310392,0.12986080224884558,3,26.325006666593254,4.155545671963059,3
0.01,aug_orbit,fno1d,burgers1d,0.11030907292539875,0.015907484630198008,3,0.12731609606028846,0.01922877431787172,3,0.05436569233931313,0.009786910964860925,3,0.8202060416806489,0.022729954501172482,3,26.246593333780766,0.7273585440375194,3
0.02,aug,fno1d,burgers1d,0.06867912916156153,0.0024248188365759314,3,0.09301766299176961,0.004969625380691215,3,0.05149750279601961,0.00558514142141977,3,0.9426221354563799,0.08890960050207378,3,30.163908334604155,2.845107216066361,3
0.02,aug_orbit,fno1d,burgers1d,0.060615540792544685,0.0035458088175073805,3,0.07544072816381231,0.0037580600137756253,3,0.0365125779830057,0.004613990933203268,3,0.8679333853857921,0.04378405533194009,3,27.773868332345348,1.4010897706220828,3
0.05,aug,fno1d,burgers1d,0.035350159547912575,0.0017215511361231527,3,0.048631144454702735,0.0034545916255101943,3,0.02702114754119367,0.0035382417661075447,3,0.5284135416668315,0.013656444381854212,3,16.90923333333861,0.4370062202193348,3
0.05,aug_orbit,fno1d,burgers1d,0.03308781981468201,0.0018633184948944343,3,0.04216924143838696,0.0034503212468923643,3,0.020988510617947858,0.0028486263067598284,3,0.4907025520833959,0.012894785541401797,3,15.70248166666867,0.4126331373248575,3
0.1,aug,fno1d,burgers1d,0.021051923104096204,0.00020746682496752155,3,0.029521021400190268,0.0012441463692210912,3,0.016537487199531114,0.0016634339163874227,3,0.942598385427118,0.1105131719552083,3,30.163148333667777,3.5364215025666654,3
0.1,aug_orbit,fno1d,burgers1d,0.021398507291451097,0.0013926534030193798,3,0.027331094393351425,0.0020207160246002312,3,0.013833580947860172,0.001635484751126151,3,0.9204062499823825,0.056245518525538635,3,29.45299999943624,1.7998565928172363,3
0.25,aug,fno1d,burgers1d,0.00912178733657735,0.0004677107243285855,3,0.013172854322571462,8.15084425143651e-05,3,0.007671041971783588,0.0005917257030507816,3,0.6402505208335185,0.2262847765683995,3,20.488016666672593,7.241112850188784,3
0.25,aug_orbit,fno1d,burgers1d,0.00910835387185216,0.0004886224174448498,3,0.012231750035425648,0.00017869217557872042,3,0.006641360697967835,0.0004015933923969524,3,0.4961139583324818,0.008502382513800479,3,15.875646666639417,0.2720762404416153,3
0.5,aug,fno1d,burgers1d,0.004854435416442963,6.669088945368647e-05,3,0.007210622656809089,0.0001032065553183345,3,0.004355950482601401,0.0002853190920176983,3,0.7949511978949886,0.013430133438761135,3,25.438438332639635,0.42976427004035633,3
0.5,aug_orbit,fno1d,burgers1d,0.004918047513153094,0.00015668250171576843,3,0.006701397817475178,0.0003243257484147118,3,0.0037363224016662144,0.00046980016420861457,3,0.8354037499884726,0.018387880603208027,3,26.73291999963112,0.5884121793026569,3
1.0,aug,fno1d,burgers1d,0.002550794779381249,9.627161042396645e-05,3,0.004075760197641405,0.0002258915566874837,3,0.0026660014633336595,0.00024569230853363917,3,0.465217447917136,0.01600472050994953,3,14.886958333348352,0.512151056318385,3
1.0,aug_orbit,fno1d,burgers1d,0.002711356619935638,0.00010842523036792366,3,0.003819231951032028,0.0002581078643765505,3,0.0022567467652508575,0.00029192635822555195,3,0.5381980208322071,0.11491868786973163,3,17.22233666663063,3.677398011831412,3
