"data_fraction","seed","compared_to","semi_relative_l2","baseline_relative_l2","relative_l2_delta_pct","semi_orbit_ood_relative_l2","baseline_orbit_ood_relative_l2","orbit_ood_relative_l2_delta_pct","semi_equivariance_defect_relative","baseline_equivariance_defect_relative","equivariance_defect_relative_delta_pct"
"0.01","23","aug","0.101910394150764","0.213477442972362","-52.2617505944375","0.101717488258146","0.213649621466175","-52.39051323372","0.0184107942300784","0.0449842149472914","-59.0727675215616"
"0.01","31","aug","0.108855786733329","0.207730823196471","-47.5976722865176","0.108858983614482","0.207931687124074","-47.6467559513786","0.0149257578020467","0.0309133206694838","-51.7173908244003"
"0.01","47","aug","0.100525198038667","0.209226598031819","-51.9539107435185","0.100399434799328","0.209437633864582","-52.0623715295386","0.0139091119509089","0.0325741462553424","-57.300148891461"
"0.01","23","aug_orbit","0.101910394150764","0.212409131228924","-52.0216510650242","0.101717488258146","0.212538764812052","-52.1416771438874","0.0184107942300784","0.0441206698881871","-58.2717255274319"
"0.01","31","aug_orbit","0.108855786733329","0.216669271700084","-49.7594717150254","0.108858983614482","0.2167137125507","-49.7682992307122","0.0149257578020467","0.0324417930186769","-53.9921921286721"
"0.01","47","aug_orbit","0.100525198038667","0.183937140740454","-45.3480696535811","0.100399434799328","0.183993245474994","-45.4330866656878","0.0139091119509089","0.0269367663174975","-48.36383927096"
"0.02","23","aug","0.0841399081982672","0.110347566660494","-23.750100935945","0.0842536007985473","0.110464227502234","-23.7277056078239","0.017203739558024","0.0241580841308782","-28.786821567383"
"0.02","31","aug","0.100012267474085","0.137049021199346","-27.0244569433213","0.100038635078818","0.137107421178371","-27.0363090348904","0.0149035980049419","0.0222803553482578","-33.108795744107"
"0.02","47","aug","0.0962202856317163","0.117347082588822","-18.0036831687863","0.0961469562025741","0.11735601152759","-18.0724063888539","0.0137010863425857","0.0175867194812369","-22.0941326936882"
"0.02","23","aug_orbit","0.0841399081982672","0.106708750128746","-21.1499449700696","0.0842536007985473","0.106883656582795","-21.1726062784145","0.017203739558024","0.0232108902912778","-25.8807424354211"
"0.02","31","aug_orbit","0.100012267474085","0.141330140642822","-29.2350046358177","0.100038635078818","0.141347161959857","-29.2248718037727","0.0149035980049419","0.0231468212613493","-35.6127658451831"
"0.02","47","aug_orbit","0.0962202856317163","0.123803294729441","-22.2797052033266","0.0961469562025741","0.123757123015821","-22.3099617544578","0.0137010863425857","0.0187802985014258","-27.045428263318"
"0.05","23","aug","0.0485446730162948","0.0507053632754833","-4.26126571157639","0.0485043150838464","0.0506505575031042","-4.237352015575","0.0115534729396458","0.0120154889663802","-3.84517041318157"
"0.05","31","aug","0.0528654896188527","0.0466328721959144","13.3652874666476","0.0528837448218837","0.0466254376806319","13.4225166616539","0.00944196298639355","0.00827932577387713","14.042655697699"
"0.05","47","aug","0.0521599689964205","0.047377749113366","10.0938098000636","0.0521758091053925","0.0473590124165639","10.1708132054374","0.00863674818556603","0.00781184883150843","10.5595918693465"
"0.05","23","aug_orbit","0.0485446730162948","0.0476044812239707","1.97500690722949","0.0485043150838464","0.04755515512079","1.99591392488486","0.0115534729396458","0.0112190272044259","2.98105824262519"
"0.05","31","aug_orbit","0.0528654896188527","0.0510623825248331","3.53118480741229","0.0528837448218837","0.0511137460707687","3.46286251190518","0.00944196298639355","0.00912875764029764","3.43097449222785"
"0.05","47","aug_orbit","0.0521599689964205","0.0519973589107394","0.31272758672267","0.0521758091053925","0.0520131184021011","0.312787827935489","0.00863674818556603","0.00861047127011005","0.305173951943802"
