run_dir,best_val_relative_l2,config_hash,dataset_kind,dataset_path,dataset_sha256,deterministic,device,environment.config_hash,environment.cuda_available,environment.cuda_version,environment.cudnn_version,environment.git_commit,environment.mkl_num_threads,environment.omp_num_threads,environment.platform,environment.python,environment.torch,epsilon_mean,epsilon_mean_std,epsilon_mean_stderr,equivariance_defect_relative,equivariance_defect_relative_std,equivariance_defect_relative_stderr,eval_seconds,latency_ms_per_batch,latency_ms_per_sample,latency_repeats,latency_warmup,method,model_name,num_batches,num_samples,orbit_ood_relative_l2,orbit_ood_relative_l2_std,orbit_ood_relative_l2_stderr,parameters,parameters_total,relative_l2,relative_l2_std,relative_l2_stderr,seed,config_path,config.seed,config.dataset.kind,config.dataset.path,config.dataset.generate_if_missing,config.dataset.n,config.dataset.num_train,config.dataset.num_val,config.dataset.num_test,config.dataset.final_time,config.dataset.dt,config.dataset.viscosity,config.dataset.smoothness,config.dataset.amplitude,config.dataset.solver_batch_size,config.dataset.dealias,config.dataset.seed,config.model.name,config.model.in_channels,config.model.out_channels,config.model.width,config.model.modes1,config.model.modes2,config.model.depth,config.model.add_grid,config.symmetry.transforms,config.symmetry.probabilities,config.training.method,config.training.epochs,config.training.batch_size,config.training.lr,config.training.weight_decay,config.training.lambda_orbit,config.training.lambda_aug,config.training.normalize_by_epsilon,config.training.orbit_eta,config.training.eval_every,config.training.eval_orbit_samples,config.training.data_fraction,config.training.num_workers,config.training.grad_clip,config.training.latency_repeats,config.training.latency_warmup,config.training.steps_per_epoch,config.training.stop_after_epochs,config.runtime.deterministic,config.runtime.device,config.runtime.run_dir,config.runtime.overwrite,config.runtime.resume,data_fraction,steps_per_epoch,lambda_orbit,config.dataset.max_boost,config.symmetry.name,config.symmetry.max_boost,config.symmetry.final_time,config.symmetry.length,config.symmetry.boost_x_channel,config.symmetry.boost_y_channel,config.training.orbit_data_fraction,config.training.orbit_steps_per_epoch,config.training.orbit_batch_size,orbit_data_fraction,orbit_steps_per_epoch,config.training.unlabeled_orbit_steps_per_epoch,unlabeled_orbit_steps_per_epoch,config.dataset.modes,config.dataset.mean,config.model.modes,config.model.canonicalizers,config.model.canonical_channel,config.model.translation_mode,config.model.final_time,config.model.length,config.dataset.velocity,config.symmetry.max_shift
runs\ablations\2d_galilean_low_label_150epoch\fraction_0.01\aug_orbit_lambda_0.05_steps_4\seed_23,0.7722073197364807,75b39982f215,navier_stokes_vorticity2d_boosted,data\2d_ns_vorticity_galilean_n32_small.pt,73904abe8e97d40915f74c413556c827920d21f9d8b43785a268dbd2491a5db6,False,cpu,75b39982f215,False,,,2dc27b5552ced2ce5956a1650f822ba91d29f155,1,1,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.19273512437939644,0.06812024031755064,0.003010517741537332,0.4993713768199086,0.20323117212327307,0.008981633747303552,2.5662889999803156,68.41760999523103,4.2761006247019395,10,3,aug_orbit,fno2d,8,128,0.7749218586832285,0.17781270832822604,0.007858285740002144,530817,530817,0.7460784986615181,0.16324673740997836,0.014429109378646918,23,runs\ablations\2d_galilean_low_label_150epoch\fraction_0.01\aug_orbit_lambda_0.05_steps_4\seed_23\config.yaml,23,navier_stokes_vorticity2d_boosted,data/2d_ns_vorticity_galilean_n32_small.pt,True,32,512,64,128,0.5,0.001,0.001,8.0,1.0,16.0,True,31,fno2d,3,1,32,8.0,8.0,4,False,,,aug_orbit,150,16,0.001,0.0001,0.05,1.0,True,1e-06,10,4,0.01,0.0,1.0,10,3,4.0,25.0,False,auto,runs/ablations/2d_galilean_low_label_150epoch/fraction_0.01/aug_orbit_lambda_0.05_steps_4/seed_23,False,True,0.01,4.0,0.05,0.5,navier_stokes2d_galilean,0.25,0.5,1.0,1.0,2.0,,,,,,,,,,,,,,,,,
runs\ablations\2d_galilean_low_label_150epoch\fraction_0.01\aug_orbit_lambda_0.05_steps_4\seed_31,0.8818242847919464,af53bffe9a42,navier_stokes_vorticity2d_boosted,data\2d_ns_vorticity_galilean_n32_small.pt,73904abe8e97d40915f74c413556c827920d21f9d8b43785a268dbd2491a5db6,False,cpu,af53bffe9a42,False,,,2dc27b5552ced2ce5956a1650f822ba91d29f155,1,1,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.19316549645736814,0.07156737390805643,0.0031628609626312425,0.536071146838367,0.2205063532230243,0.009745096103669788,2.5935721000423655,59.506570000667125,3.7191606250416953,10,3,aug_orbit,fno2d,8,128,0.8845639694482088,0.15934479189838396,0.007042111431131658,530817,530817,0.8770983070135117,0.1599152904816274,0.01413464828937191,31,runs\ablations\2d_galilean_low_label_150epoch\fraction_0.01\aug_orbit_lambda_0.05_steps_4\seed_31\config.yaml,31,navier_stokes_vorticity2d_boosted,data/2d_ns_vorticity_galilean_n32_small.pt,True,32,512,64,128,0.5,0.001,0.001,8.0,1.0,16.0,True,31,fno2d,3,1,32,8.0,8.0,4,False,,,aug_orbit,150,16,0.001,0.0001,0.05,1.0,True,1e-06,10,4,0.01,0.0,1.0,10,3,4.0,25.0,False,auto,runs/ablations/2d_galilean_low_label_150epoch/fraction_0.01/aug_orbit_lambda_0.05_steps_4/seed_31,False,True,0.01,4.0,0.05,0.5,navier_stokes2d_galilean,0.25,0.5,1.0,1.0,2.0,,,,,,,,,,,,,,,,,
runs\ablations\2d_galilean_low_label_150epoch\fraction_0.01\aug_orbit_lambda_0.05_steps_4\seed_47,0.808259978890419,1de9692325b5,navier_stokes_vorticity2d_boosted,data\2d_ns_vorticity_galilean_n32_small.pt,73904abe8e97d40915f74c413556c827920d21f9d8b43785a268dbd2491a5db6,False,cpu,1de9692325b5,False,,,2dc27b5552ced2ce5956a1650f822ba91d29f155,1,1,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.188895748462528,0.06921154126806585,0.0030587468854388713,0.48277439177036285,0.23961685378001793,0.010589668887152254,2.524880100041628,54.78239000076428,3.4238993750477675,10,3,aug_orbit,fno2d,8,128,0.7721093893051147,0.2868360172577081,0.012676480805716683,530817,530817,0.7625409588217735,0.2874027922304121,0.025403057914759098,47,runs\ablations\2d_galilean_low_label_150epoch\fraction_0.01\aug_orbit_lambda_0.05_steps_4\seed_47\config.yaml,47,navier_stokes_vorticity2d_boosted,data/2d_ns_vorticity_galilean_n32_small.pt,True,32,512,64,128,0.5,0.001,0.001,8.0,1.0,16.0,True,31,fno2d,3,1,32,8.0,8.0,4,False,,,aug_orbit,150,16,0.001,0.0001,0.05,1.0,True,1e-06,10,4,0.01,0.0,1.0,10,3,4.0,25.0,False,auto,runs/ablations/2d_galilean_low_label_150epoch/fraction_0.01/aug_orbit_lambda_0.05_steps_4/seed_47,False,True,0.01,4.0,0.05,0.5,navier_stokes2d_galilean,0.25,0.5,1.0,1.0,2.0,,,,,,,,,,,,,,,,,
runs\ablations\2d_galilean_low_label_150epoch\fraction_0.01\aug_steps_4\seed_23,0.9370980113744736,72ddfcebfa8e,navier_stokes_vorticity2d_boosted,data\2d_ns_vorticity_galilean_n32_small.pt,73904abe8e97d40915f74c413556c827920d21f9d8b43785a268dbd2491a5db6,False,cpu,72ddfcebfa8e,False,,,2dc27b5552ced2ce5956a1650f822ba91d29f155,1,1,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.19273512437939644,0.06812024031755064,0.003010517741537332,0.6168029122054577,0.21304602129527767,0.009415392897669028,2.753221199964173,64.4276799983345,4.026729999895906,10,3,aug,fno2d,8,128,0.9725714828819036,0.18219717637664085,0.008052053683060261,530817,530817,0.9356552287936211,0.1676607436879205,0.014819256100063528,23,runs\ablations\2d_galilean_low_label_150epoch\fraction_0.01\aug_steps_4\seed_23\config.yaml,23,navier_stokes_vorticity2d_boosted,data/2d_ns_vorticity_galilean_n32_small.pt,True,32,512,64,128,0.5,0.001,0.001,8.0,1.0,16.0,True,31,fno2d,3,1,32,8.0,8.0,4,False,,,aug,150,16,0.001,0.0001,0.05,1.0,True,1e-06,10,4,0.01,0.0,1.0,10,3,4.0,25.0,False,auto,runs/ablations/2d_galilean_low_label_150epoch/fraction_0.01/aug_steps_4/seed_23,False,True,0.01,4.0,0.05,0.5,navier_stokes2d_galilean,0.25,0.5,1.0,1.0,2.0,,,,,,,,,,,,,,,,,
runs\ablations\2d_galilean_low_label_150epoch\fraction_0.01\aug_steps_4\seed_31,1.0403138548135757,465e9ef6d510,navier_stokes_vorticity2d_boosted,data\2d_ns_vorticity_galilean_n32_small.pt,73904abe8e97d40915f74c413556c827920d21f9d8b43785a268dbd2491a5db6,False,cpu,465e9ef6d510,False,,,2dc27b5552ced2ce5956a1650f822ba91d29f155,1,1,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.19316549645736814,0.07156737390805643,0.0031628609626312425,0.6573989670723677,0.23641649704472653,0.010448231765293468,2.632137499982491,61.18385000154376,3.823990625096485,10,3,aug,fno2d,8,128,1.073408916592598,0.19470220089314613,0.008604702910218068,530817,530817,1.0566366165876389,0.1911622057052111,0.01689651149509156,31,runs\ablations\2d_galilean_low_label_150epoch\fraction_0.01\aug_steps_4\seed_31\config.yaml,31,navier_stokes_vorticity2d_boosted,data/2d_ns_vorticity_galilean_n32_small.pt,True,32,512,64,128,0.5,0.001,0.001,8.0,1.0,16.0,True,31,fno2d,3,1,32,8.0,8.0,4,False,,,aug,150,16,0.001,0.0001,0.05,1.0,True,1e-06,10,4,0.01,0.0,1.0,10,3,4.0,25.0,False,auto,runs/ablations/2d_galilean_low_label_150epoch/fraction_0.01/aug_steps_4/seed_31,False,True,0.01,4.0,0.05,0.5,navier_stokes2d_galilean,0.25,0.5,1.0,1.0,2.0,,,,,,,,,,,,,,,,,
runs\ablations\2d_galilean_low_label_150epoch\fraction_0.01\aug_steps_4\seed_47,1.0771392285823822,511152e2cc26,navier_stokes_vorticity2d_boosted,data\2d_ns_vorticity_galilean_n32_small.pt,73904abe8e97d40915f74c413556c827920d21f9d8b43785a268dbd2491a5db6,False,cpu,511152e2cc26,False,,,2dc27b5552ced2ce5956a1650f822ba91d29f155,1,1,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.188895748462528,0.06921154126806585,0.0030587468854388713,0.602438734844327,0.2344287839177712,0.010360386425848241,2.643784200074151,68.87496000854298,4.3046850005339365,10,3,aug,fno2d,8,128,1.0462344232946634,0.26170771128034415,0.011565956083446403,530817,530817,1.0319825559854507,0.271267328684328,0.02397687095338105,47,runs\ablations\2d_galilean_low_label_150epoch\fraction_0.01\aug_steps_4\seed_47\config.yaml,47,navier_stokes_vorticity2d_boosted,data/2d_ns_vorticity_galilean_n32_small.pt,True,32,512,64,128,0.5,0.001,0.001,8.0,1.0,16.0,True,31,fno2d,3,1,32,8.0,8.0,4,False,,,aug,150,16,0.001,0.0001,0.05,1.0,True,1e-06,10,4,0.01,0.0,1.0,10,3,4.0,25.0,False,auto,runs/ablations/2d_galilean_low_label_150epoch/fraction_0.01/aug_steps_4/seed_47,False,True,0.01,4.0,0.05,0.5,navier_stokes2d_galilean,0.25,0.5,1.0,1.0,2.0,,,,,,,,,,,,,,,,,
