checkpoint,run_dir,method,seed,severity,severity_scale,max_shift,max_boost,paper_table,epsilon_mean,epsilon_mean_std,epsilon_mean_stderr,equivariance_defect_relative,equivariance_defect_relative_std,equivariance_defect_relative_stderr,eval_seconds,num_batches,num_samples,orbit_ood_relative_l2,orbit_ood_relative_l2_std,orbit_ood_relative_l2_stderr,relative_l2,relative_l2_std,relative_l2_stderr
runs/ablations/2d_galilean_n64_2pct_lambda_robustness/fraction_0.02/aug_orbit_lambda_0.1_steps_4/seed_23/checkpoints/best.pt,runs/ablations/2d_galilean_n64_2pct_lambda_0p1_ood_severity/fraction_0.02/boost_0.20/aug_orbit_lambda_0.1_steps_4/seed_23,aug_orbit_lambda_0.1_steps_4,23,boost_0.20,0.8,,0.2,ood_severity,0.1550751980394125,0.057520852807327875,0.0017975266502289961,0.2083892181981355,0.09625413238124642,0.0030079416369139505,16.638077900002827,16,256,0.3625868074595928,0.09434148206854778,0.002948171314642118,0.35174218751490116,0.077843177434051,0.004865198589628188
runs/ablations/2d_galilean_n64_2pct_lambda_robustness/fraction_0.02/aug_orbit_lambda_0.1_steps_4/seed_31/checkpoints/best.pt,runs/ablations/2d_galilean_n64_2pct_lambda_0p1_ood_severity/fraction_0.02/boost_0.20/aug_orbit_lambda_0.1_steps_4/seed_31,aug_orbit_lambda_0.1_steps_4,31,boost_0.20,0.8,,0.2,ood_severity,0.15304526325780898,0.05699425826030002,0.0017810705706343755,0.21895832964219153,0.10588701375589303,0.003308969179871657,16.76656470001035,16,256,0.38813014328479767,0.09839179527680685,0.003074743602400214,0.37398373521864414,0.0797110701849171,0.004981941886557319
runs/ablations/2d_galilean_n64_2pct_lambda_robustness/fraction_0.02/aug_orbit_lambda_0.1_steps_4/seed_47/checkpoints/best.pt,runs/ablations/2d_galilean_n64_2pct_lambda_0p1_ood_severity/fraction_0.02/boost_0.20/aug_orbit_lambda_0.1_steps_4/seed_47,aug_orbit_lambda_0.1_steps_4,47,boost_0.20,0.8,,0.2,ood_severity,0.15260839532129467,0.05766669925984902,0.0018020843518702818,0.22660374362021685,0.11414131251079,0.0035669160159621876,18.260583700001007,16,256,0.3946165032684803,0.10980844152450348,0.0034315137976407336,0.37636843882501125,0.08209717624324323,0.0051310735152027016
runs/ablations/2d_galilean_n64_2pct_lambda_robustness/fraction_0.02/aug_orbit_lambda_0.1_steps_4/seed_59/checkpoints/best.pt,runs/ablations/2d_galilean_n64_2pct_lambda_0p1_ood_severity/fraction_0.02/boost_0.20/aug_orbit_lambda_0.1_steps_4/seed_59,aug_orbit_lambda_0.1_steps_4,59,boost_0.20,0.8,,0.2,ood_severity,0.1502950506983325,0.05654862298594266,0.0017671444683107081,0.20675893011502922,0.13098952235483677,0.004093422573588649,18.805371199996443,16,256,0.3438692605122924,0.13962416559841825,0.0043632551749505704,0.3189374580979347,0.10069071630808267,0.006293169769255167
runs/ablations/2d_galilean_n64_2pct_lambda_robustness/fraction_0.02/aug_orbit_lambda_0.1_steps_4/seed_71/checkpoints/best.pt,runs/ablations/2d_galilean_n64_2pct_lambda_0p1_ood_severity/fraction_0.02/boost_0.20/aug_orbit_lambda_0.1_steps_4/seed_71,aug_orbit_lambda_0.1_steps_4,71,boost_0.20,0.8,,0.2,ood_severity,0.15006020094733685,0.058087646119929254,0.0018152389412477892,0.23931952589191496,0.12064690276477431,0.0037702157113991973,16.112876200000755,16,256,0.4305950552225113,0.10433617806588442,0.0032605055645588883,0.4171714447438717,0.07889951710680652,0.004931219819175408
runs/ablations/2d_galilean_n64_label_efficiency_compute_matched/fraction_0.02/aug_steps_6/seed_23/checkpoints/best.pt,runs/ablations/2d_galilean_n64_label_efficiency_2pct_ood_severity/fraction_0.02/boost_0.20/aug_steps_6/seed_23,aug_steps_6,23,boost_0.20,0.8,,0.2,ood_severity,0.1550751980394125,0.057520852807327875,0.0017975266502289961,0.30414252169430256,0.12246215635083556,0.003826942385963611,18.552342599999974,16,256,0.4881017762236297,0.10282024730104397,0.003213132728157624,0.47503660432994366,0.09049889438112348,0.005656180898820217
runs/ablations/2d_galilean_n64_label_efficiency_compute_matched/fraction_0.02/aug_steps_6/seed_31/checkpoints/best.pt,runs/ablations/2d_galilean_n64_label_efficiency_2pct_ood_severity/fraction_0.02/boost_0.20/aug_steps_6/seed_31,aug_steps_6,31,boost_0.20,0.8,,0.2,ood_severity,0.15304526325780898,0.05699425826030002,0.0017810705706343755,0.341008560732007,0.14066116520260172,0.004395661412581304,17.394898400001694,16,256,0.5600695637986064,0.10926656589092147,0.003414580184091296,0.5449895411729813,0.09357927292090563,0.005848704557556602
runs/ablations/2d_galilean_n64_label_efficiency_compute_matched/fraction_0.02/aug_steps_6/seed_47/checkpoints/best.pt,runs/ablations/2d_galilean_n64_label_efficiency_2pct_ood_severity/fraction_0.02/boost_0.20/aug_steps_6/seed_47,aug_steps_6,47,boost_0.20,0.8,,0.2,ood_severity,0.15260839532129467,0.05766669925984902,0.0018020843518702818,0.33752188086509705,0.13714669341905228,0.004285834169345384,15.095219599999837,16,256,0.5519582414999604,0.11421933044394528,0.00356935407637329,0.5343834832310677,0.093936737826763,0.005871046114172687
runs/ablations/2d_galilean_n64_label_efficiency_compute_matched/fraction_0.02/aug_steps_6/seed_59/checkpoints/best.pt,runs/ablations/2d_galilean_n64_label_efficiency_2pct_ood_severity/fraction_0.02/boost_0.20/aug_steps_6/seed_59,aug_steps_6,59,boost_0.20,0.8,,0.2,ood_severity,0.1502950506983325,0.05654862298594266,0.0017671444683107081,0.2783382427878678,0.14031729874253232,0.004384915585704135,38.50354390000575,16,256,0.4356270330026746,0.1478536683884773,0.004620427137139916,0.40845455043017864,0.11186895923746494,0.006991809952341559
runs/ablations/2d_galilean_n64_label_efficiency_compute_matched/fraction_0.02/aug_steps_6/seed_71/checkpoints/best.pt,runs/ablations/2d_galilean_n64_label_efficiency_2pct_ood_severity/fraction_0.02/boost_0.20/aug_steps_6/seed_71,aug_steps_6,71,boost_0.20,0.8,,0.2,ood_severity,0.15006020094733685,0.058087646119929254,0.0018152389412477892,0.341250556986779,0.1387153470789424,0.00433485459621695,28.058436700011953,16,256,0.5524719236418605,0.108599142589862,0.0033937232059331876,0.5415244773030281,0.08886142370932967,0.005553838981833105
