method,model_name,data_fraction,steps_per_epoch,lambda_orbit,relative_l2_mean,relative_l2_std,relative_l2_count,orbit_ood_relative_l2_mean,orbit_ood_relative_l2_std,orbit_ood_relative_l2_count,oracle_canonical_ood_relative_l2_mean,oracle_canonical_ood_relative_l2_std,oracle_canonical_ood_relative_l2_count,equivariance_defect_relative_mean,equivariance_defect_relative_std,equivariance_defect_relative_count,latency_ms_per_sample_mean,latency_ms_per_sample_std,latency_ms_per_sample_count,latency_ms_per_batch_mean,latency_ms_per_batch_std,latency_ms_per_batch_count
aug,fno2d,0.01,4.0,0.05,0.06449741831359763,0.003093414886222021,3,0.0644811070136105,0.0032496471515694684,3,,,0,0.043451012762185805,0.0012501259035512123,3,23.758741562475432,3.7700494977535413,3,380.1398649996069,60.32079196405666,3
aug_orbit,fno2d,0.01,4.0,0.2,0.06370183041629691,0.002616008417146592,3,0.06363238966635738,0.0027399003870379546,3,,,0,0.04268517883610912,0.0003981771359299748,3,27.85770510417933,9.030037279443276,3,445.7232816668693,144.4805964710924,3
baseline,d4_gfno2d,0.01,4.0,0.05,0.09096589374045531,0.0036457830625630915,3,0.09096589397328596,0.0036457828958093006,3,0.09096589323598891,0.0036457824264712643,3,7.89418248362909e-08,4.367678068400973e-09,3,26.70145062499311,0.9212630734146037,3,427.2232099998898,14.740209174633659,3
