method,method_label,steps_per_epoch,optimizer_steps,model_forwards_per_epoch,model_forwards_total,backward_passes_total,seed_count,seeds,parameters,checkpoint_resumed_count,checkpoint_resumed_seeds,relative_l2_mean,relative_l2_std,orbit_ood_relative_l2_mean,orbit_ood_relative_l2_std,equivariance_defect_relative_mean,equivariance_defect_relative_std,best_val_relative_l2_mean,best_val_relative_l2_std,latency_ms_per_sample_mean,latency_ms_per_sample_std,train_wall_seconds_uninterrupted_count,train_wall_seconds_uninterrupted_mean,train_wall_seconds_uninterrupted_std
baseline,CNO2d,4,600,4,600,600,5,"23,31,47,59,71",2667743,1,23,0.37454630583524706,0.02061633484181456,0.44574602069333197,0.023320328272867886,0.37343719736672937,0.021251422574503614,0.37199979573488234,0.0320039021216727,117.22519031249817,10.97823889575201,4,5171.625798975001,242.54243914640003
orbit,CNO2d + normalized LOCO,4,600,8,1200,600,5,"23,31,47,59,71",2667743,0,,0.21270565837621688,0.009751219229780174,0.23911430723965169,0.006175325921224175,0.15485109495930374,0.007549028684685267,0.21195519231259824,0.010375665618640862,121.40231668749948,4.3761712658854215,5,9366.619217639998,212.4571185530302
aug,CNO2d + aug.,6,900,12,1800,900,5,"23,31,47,59,71",2667743,0,,0.18060169368982315,0.01008282999889633,0.20296001313254236,0.01119836347697678,0.13582011677790434,0.012297153424909266,0.1796292133629322,0.01157905300393706,120.72242112501044,5.967934569862084,5,13228.33533254,622.6175722606154
aug_orbit,CNO2d + aug. + normalized LOCO,4,600,12,1800,600,5,"23,31,47,59,71",2667743,1,59,0.19315917398780585,0.013214813799361836,0.2155892196111381,0.010882143684608662,0.1275887189200148,0.008690551231976679,0.1901891715824604,0.013017259690222148,130.4379068124814,22.966392088260346,4,13299.155523149995,183.31052845835714
