split,max_boost,sample_index,base_boost_x,base_boost_y,delta_boost_x,delta_boost_y,delta_boost_norm,closure_residual_relative,closure_abs_l2,closure_reference_l2
test,0.25,0,0.09845811128616333,-0.02883857488632202,-0.04648226499557495,-0.23520562052726746,0.23975463211536407,3.6895971788908355e-07,2.1485233446583152e-05,58.2319221496582
test,0.25,9,0.43179851770401,0.2661048173904419,0.030475258827209473,-0.20691421627998352,0.2091464400291443,3.654813838238624e-07,2.163400495192036e-05,59.193180084228516
test,0.25,24,0.1844252347946167,-0.014611899852752686,-0.037033647298812866,-0.005175381898880005,0.03739352524280548,3.0781399118495756e-07,1.801879989216104e-05,58.53794860839844
test,0.25,25,0.4768781065940857,0.3741510510444641,-0.08012604713439941,-0.07166603207588196,0.10749978572130203,3.3756290918063314e-07,1.9944567611673847e-05,59.08400344848633
test,0.25,34,0.4757588505744934,0.06498390436172485,-0.21334534883499146,-0.05080115795135498,0.21931026875972748,3.9128923390308046e-07,2.290334305143915e-05,58.53302764892578
test,0.25,38,-0.020606279373168945,-0.09812754392623901,0.0289800763130188,-0.21532905101776123,0.21727043390274048,3.3607452110118174e-07,1.98481011466356e-05,59.058631896972656
test,0.25,45,0.22933882474899292,-0.06604254245758057,0.18847206234931946,-0.18633988499641418,0.26503634452819824,3.9306658550231077e-07,2.2858668671688065e-05,58.15469741821289
test,0.25,47,0.22487396001815796,0.4749566316604614,-0.22257816791534424,0.02713412046432495,0.2242259979248047,3.8235262422858796e-07,2.20583715417888e-05,57.6911735534668
test,0.25,48,0.26159727573394775,-0.180539071559906,0.24967163801193237,0.044254571199417114,0.25356340408325195,3.950565314880805e-07,2.3075397621141747e-05,58.410369873046875
test,0.25,51,-0.41796255111694336,-0.23981475830078125,0.05832803249359131,0.018825888633728027,0.06129089370369911,3.073917014262406e-07,1.799320671125315e-05,58.53511047363281
test,0.25,54,-0.18777304887771606,0.13039225339889526,0.08260920643806458,-0.11576205492019653,0.14221510291099548,3.116977609352034e-07,1.8372753402218223e-05,58.944129943847656
test,0.25,65,-0.12634652853012085,0.14008861780166626,0.1103200614452362,-0.1016986072063446,0.15004372596740723,3.313484739919659e-07,1.9587463611969724e-05,59.1143913269043
test,0.25,68,-0.1447521448135376,-0.10996299982070923,-0.1984844207763672,0.027939677238464355,0.20044124126434326,3.5248748986305145e-07,2.1204428776400164e-05,60.15654373168945
test,0.25,72,-0.4670976400375366,0.12008219957351685,0.24882838129997253,-0.01077386736869812,0.24906150996685028,3.6314224871603074e-07,2.08374549401924e-05,57.3809700012207
test,0.25,85,-0.47729748487472534,0.024980664253234863,-0.05206024646759033,-0.22600007057189941,0.23191873729228973,3.483488058009243e-07,2.0348186808405444e-05,58.41325378417969
test,0.25,94,-0.367936372756958,-0.1926366686820984,-0.06468799710273743,0.09367948770523071,0.11384367942810059,3.55785971350997e-07,2.060470615106169e-05,57.9132080078125
test,0.25,100,0.49178820848464966,0.05556058883666992,-0.16402822732925415,-0.19879838824272156,0.2577325403690338,3.6170931139167806e-07,2.111393587256316e-05,58.37266159057617
test,0.25,106,-0.3938276767730713,0.19556760787963867,-0.19024017453193665,-0.00733986496925354,0.190381720662117,4.770481041305175e-07,2.7405409127823077e-05,57.44789505004883
test,0.25,107,0.432026743888855,0.34182000160217285,0.246371328830719,-0.03922492265701294,0.24947430193424225,3.86467462476503e-07,2.2184400222613476e-05,57.40302276611328
test,0.25,109,-0.3332962393760681,0.31314581632614136,-0.04147285223007202,0.21501052379608154,0.2189738005399704,3.4559846540105355e-07,2.076539021800272e-05,60.08530807495117
test,0.25,138,-0.20849359035491943,-0.09515380859375,0.06440478563308716,-0.032622337341308594,0.07219552248716354,3.175502740759839e-07,1.8852919311029837e-05,59.369873046875
test,0.25,142,0.38918328285217285,0.155328631401062,-0.039427608251571655,0.09083330631256104,0.09902133792638779,3.0865183475725644e-07,1.8287813873030245e-05,59.25062561035156
test,0.25,159,0.13178610801696777,0.3930416703224182,0.19785451889038086,0.02900785207748413,0.19996966421604156,3.5823407529278484e-07,2.120535100402776e-05,59.19411849975586
test,0.25,164,0.23990148305892944,-0.4895015358924866,0.15519610047340393,0.24615588784217834,0.2909958064556122,4.3507833424882847e-07,2.557280458859168e-05,58.77747344970703
test,0.25,167,-0.42295849323272705,-0.31383055448532104,-0.18450862169265747,-0.24205753207206726,0.30436044931411743,4.6304057832458057e-07,2.678748387552332e-05,57.85126495361328
test,0.25,171,0.08475738763809204,-0.20662987232208252,0.06171897053718567,-0.23719292879104614,0.2450912445783615,3.711936358286039e-07,2.1689005734515376e-05,58.43043518066406
test,0.25,188,0.2048930525779724,-0.3574151396751404,0.09690234065055847,-0.15336132049560547,0.18141047656536102,3.5643142837216146e-07,2.105680323438719e-05,59.07672882080078
test,0.25,189,-0.2110568881034851,-0.4094495177268982,0.0009416639804840088,0.23572760820388794,0.23572948575019836,3.499808656215464e-07,2.0487126676016487e-05,58.53784942626953
test,0.25,193,-0.17885053157806396,0.062303364276885986,0.23891764879226685,0.1436196267604828,0.27876198291778564,3.9690186781626835e-07,2.3328520910581574e-05,58.776546478271484
test,0.25,226,0.30458301305770874,-0.2654069662094116,0.21702241897583008,0.1342611014842987,0.2551955580711365,3.563607151590986e-07,2.1181585907470435e-05,59.4386100769043
test,0.25,227,0.02735680341720581,0.3433828353881836,-0.23822781443595886,0.16561314463615417,0.29013824462890625,3.4439472074154764e-07,2.005194801313337e-05,58.22373962402344
test,0.25,234,0.1217573881149292,-0.3128387928009033,0.08182185888290405,-0.08866393566131592,0.12064870446920395,3.2726737231314473e-07,1.888072074507363e-05,57.69203567504883
test,0.35,0,0.09845811128616333,-0.02883857488632202,-0.06507516652345657,-0.3292878568172455,0.33565646409988403,3.880400072375778e-07,2.2596315830014646e-05,58.2319221496582
test,0.35,9,0.43179851770401,0.2661048173904419,0.04266536235809326,-0.2896798849105835,0.292805016040802,3.5738676729124563e-07,2.115485585818533e-05,59.193172454833984
test,0.35,24,0.1844252347946167,-0.014611899852752686,-0.051847103983163834,-0.007245534565299749,0.052350930869579315,3.211467287655978e-07,1.879926821857225e-05,58.537940979003906
test,0.35,25,0.4768781065940857,0.3741510510444641,-0.11217646300792694,-0.10033244639635086,0.15049970149993896,3.44604472957144e-07,2.036061414401047e-05,59.08401107788086
test,0.35,34,0.4757588505744934,0.06498390436172485,-0.2986834943294525,-0.07112161815166473,0.30703437328338623,4.419638059971476e-07,2.586948176031001e-05,58.53303146362305
test,0.35,38,-0.020606279373168945,-0.09812754392623901,0.04057210683822632,-0.3014606535434723,0.3041785955429077,3.954597218580602e-07,2.3355310986516997e-05,59.05863571166992
test,0.35,45,0.22933882474899292,-0.06604254245758057,0.26386088132858276,-0.2608758211135864,0.3710508942604065,4.82666791867814e-07,2.8069340260117315e-05,58.154693603515625
test,0.35,47,0.22487396001815796,0.4749566316604614,-0.3116094172000885,0.03798776865005493,0.3139163851737976,4.681982943566254e-07,2.7010912162950262e-05,57.69118118286133
test,0.35,48,0.26159727573394775,-0.180539071559906,0.3495402932167053,0.06195639818906784,0.3549887239933014,4.5167311668592447e-07,2.6382393116364256e-05,58.410369873046875
test,0.35,51,-0.41796255111694336,-0.23981475830078125,0.0816592425107956,0.026356244459748268,0.08580724895000458,2.816064181843103e-07,1.6483862054883502e-05,58.53510665893555
test,0.35,54,-0.18777304887771606,0.13039225339889526,0.1156528890132904,-0.16206687688827515,0.19910113513469696,3.2632044622005196e-07,1.923467789310962e-05,58.94413757324219
test,0.35,65,-0.12634652853012085,0.14008861780166626,0.15444807708263397,-0.1423780471086502,0.2100612223148346,3.6479752907325746e-07,2.156478694814723e-05,59.11439895629883
test,0.35,68,-0.1447521448135376,-0.10996299982070923,-0.27787819504737854,0.0391155481338501,0.28061774373054504,3.7382406503638776e-07,2.248796408821363e-05,60.15654373168945
test,0.35,72,-0.4670976400375366,0.12008219957351685,0.34835973381996155,-0.015083414502441883,0.3486861288547516,4.4261179255045136e-07,2.5397494027856737e-05,57.3809700012207
