"data_fraction","seed","compared_to","semi_relative_l2","baseline_relative_l2","relative_l2_delta_pct","semi_orbit_ood_relative_l2","baseline_orbit_ood_relative_l2","orbit_ood_relative_l2_delta_pct","semi_equivariance_defect_relative","baseline_equivariance_defect_relative","equivariance_defect_relative_delta_pct"
"0.01","23","update_matched_aug","0.101910394150764","0.115290444344282","-11.6055153309694","0.101717488258146","0.115141566377133","-11.6587593354587","0.0184107942300784","0.0206722116557856","-10.9394072746651"
"0.01","31","update_matched_aug","0.108855786733329","0.115669976454228","-5.89106173423949","0.108858983614482","0.115646064979956","-5.8688390016988","0.0149257578020467","0.0157270408894163","-5.0949386664902"
"0.01","47","update_matched_aug","0.100525198038667","0.105846472084522","-5.02735135244335","0.100399434799328","0.105665444862098","-4.98366336283508","0.0139091119509089","0.0146196083116479","-4.85988643192903"
"0.01","23","update_matched_aug_orbit","0.101910394150764","0.0996473478153348","2.27105526142332","0.101717488258146","0.099426575936377","2.30412472741157","0.0184107942300784","0.0180226587230017","2.15359738561415"
"0.01","31","update_matched_aug_orbit","0.108855786733329","0.122854511253536","-11.3945547276788","0.108858983614482","0.122806575964205","-11.3573660369689","0.0149257578020467","0.0165328192559571","-9.7204320027346"
"0.01","47","update_matched_aug_orbit","0.100525198038667","0.0986033235676587","1.94909705015171","0.100399434799328","0.098491435055621","1.93722402626175","0.0139091119509089","0.0135812948761256","2.41373946868366"
"0.02","23","update_matched_aug","0.0841399081982672","0.0744233238510787","13.0558322907364","0.0842536007985473","0.0745361676672474","13.0372052057755","0.017203739558024","0.0149218902694237","15.2919586419693"
"0.02","31","update_matched_aug","0.100012267474085","0.104085300583392","-3.91316841713303","0.100038635078818","0.10415293823462","-3.95025164487834","0.0149035980049419","0.0158281677534902","-5.84129359094261"
"0.02","47","update_matched_aug","0.0962202856317163","0.0913768140599132","5.30054765164757","0.0961469562025741","0.0913706857245415","5.22735540415196","0.0137010863425857","0.01308373238885","4.71848502696262"
"0.02","23","update_matched_aug_orbit","0.0841399081982672","0.0768854506313801","9.43541009035369","0.0842536007985473","0.077026461949572","9.38267014484814","0.017203739558024","0.015725210558756","9.40228427303808"
"0.02","31","update_matched_aug_orbit","0.100012267474085","0.100054275244474","-0.0419849829371868","0.100038635078818","0.100034481612965","0.00415203416379083","0.0149035980049419","0.0151665162430135","-1.73354403779232"
"0.02","47","update_matched_aug_orbit","0.0962202856317163","0.0896350718103349","7.34669330696297","0.0961469562025741","0.0896186225581914","7.28457262344515","0.0137010863425857","0.0127919074735487","7.10745344990162"
