source_method,target_severity,loss_mode,trainable,epochs,before_relative_l2,before_relative_l2,before_relative_l2,after_relative_l2,after_relative_l2,after_relative_l2,relative_l2_delta_pct,relative_l2_delta_pct,relative_l2_delta_pct,before_orbit_ood_relative_l2,before_orbit_ood_relative_l2,before_orbit_ood_relative_l2,after_orbit_ood_relative_l2,after_orbit_ood_relative_l2,after_orbit_ood_relative_l2,orbit_ood_delta_pct,orbit_ood_delta_pct,orbit_ood_delta_pct,before_equivariance_defect_relative,before_equivariance_defect_relative,before_equivariance_defect_relative,after_equivariance_defect_relative,after_equivariance_defect_relative,after_equivariance_defect_relative,defect_delta_pct,defect_delta_pct,defect_delta_pct,id_relative_l2_degradation,id_relative_l2_degradation,id_relative_l2_degradation,id_relative_l2_degradation_pct,id_relative_l2_degradation_pct,id_relative_l2_degradation_pct,target_orbit_ood_delta_pct,target_orbit_ood_delta_pct,target_orbit_ood_delta_pct,target_defect_delta_pct,target_defect_delta_pct,target_defect_delta_pct
,,,,,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
aug_orbit_lambda_0.1_steps_4,boost_0.35,orbit_preserve,projector,5,0.36736478718618554,0.013582007148778325,3,0.3677740599960089,0.014080216400518073,3,0.10814188322792277,0.16439526365361012,3,0.41995194694027305,0.01604741010328801,3,0.4190720001546045,0.01640909143973068,3,-0.21196475650678095,0.12835827515021878,3,0.34081931319087744,0.011794308850586042,3,0.3411127814712624,0.012080826214100098,3,0.08421772547223168,0.08741080055365895,3,0.00040927280982335407,0.0006152646939016977,3,0.10814188322792277,0.16439526365361012,3,-0.21196475650678095,0.12835827515021878,3,0.08421772547223168,0.08741080055365895,3
aug_orbit_lambda_0.1_steps_4,boost_0.35,random_orbit_preserve,projector,5,0.36736478718618554,0.013582007148778325,3,0.3679766555627187,0.014121284006481487,3,0.16305294862551575,0.1673554551908602,3,0.41995194694027305,0.01604741010328801,3,0.4192764436205228,0.016460381063885407,3,-0.1635584070564041,0.1297972944653245,3,0.34081931319087744,0.011794308850586042,3,0.3416901573849221,0.012255376110672829,3,0.2525942864778659,0.14859403622630138,3,0.0006118683765331904,0.0006310752052035162,3,0.16305294862551575,0.1673554551908602,3,-0.1635584070564041,0.1297972944653245,3,0.2525942864778659,0.14859403622630138,3
aug_orbit_lambda_0.1_steps_4,boost_0.50,orbit_preserve,projector,5,0.36736478718618554,0.013582007148778325,3,0.36775885211924714,0.014070042568596865,3,0.10406707788373308,0.16153770685071828,3,0.4869662954782446,0.014633049002433564,3,0.4846593422504763,0.014811263566922682,3,-0.47476454502333915,0.11104368987884193,3,0.45182441640645266,0.013600669495983517,3,0.4520283654953043,0.01395416023546202,3,0.043594705342712516,0.07695899067243661,3,0.00039406493306159973,0.0006043890979689062,3,0.10406707788373308,0.16153770685071828,3,-0.47476454502333915,0.11104368987884193,3,0.043594705342712516,0.07695899067243661,3
aug_orbit_lambda_0.1_steps_4,boost_0.50,random_orbit_preserve,projector,5,0.36736478718618554,0.013582007148778325,3,0.3679273339609305,0.01410880191861283,3,0.14970274225361013,0.1665306430946772,3,0.4869662954782446,0.014633049002433564,3,0.4848801082310577,0.0148859632833896,3,-0.4297158742040878,0.1117603315228704,3,0.45182441640645266,0.013600669495983517,3,0.4527203422039747,0.014152880103708949,3,0.19596466372878338,0.11769187306042543,3,0.0005625467747449875,0.0006269086426424794,3,0.14970274225361013,0.1665306430946772,3,-0.4297158742040878,0.1117603315228704,3,0.19596466372878338,0.11769187306042543,3
aug_steps_6,boost_0.35,orbit_preserve,projector,5,0.5181365429113308,0.03770047274977224,3,0.5168097391724586,0.037328722603365,3,-0.25339548079311713,0.057218149621655515,3,0.5687849779302875,0.03684564887899506,3,0.5663551144922773,0.03653799531854446,3,-0.42606303123451,0.046285448581100314,3,0.48355013178661466,0.02733024230537856,3,0.4837304755734901,0.02744353812649481,3,0.03650587508840323,0.02643271663610007,3,-0.0013268037388722103,0.0003817396228827101,3,-0.25339548079311713,0.057218149621655515,3,-0.42606303123451,0.046285448581100314,3,0.03650587508840323,0.02643271663610007,3
aug_steps_6,boost_0.35,random_orbit_preserve,projector,5,0.5181365429113308,0.03770047274977224,3,0.5168820470571518,0.03734814159939602,3,-0.23957777241191044,0.05424597354524293,3,0.5687849779302875,0.03684564887899506,3,0.5664376793429255,0.03656660749146934,3,-0.41172793588882445,0.04270463816250086,3,0.48355013178661466,0.02733024230537856,3,0.4839739377299945,0.027503034050006276,3,0.08650268288237968,0.03719773798365856,3,-0.0012544958541790645,0.0003616729132180856,3,-0.23957777241191044,0.05424597354524293,3,-0.41172793588882445,0.04270463816250086,3,0.08650268288237968,0.03719773798365856,3
aug_steps_6,boost_0.50,orbit_preserve,projector,5,0.5181365429113308,0.03770047274977224,3,0.5168244286129872,0.03732606225195512,3,-0.25052343185583137,0.057765248992510315,3,0.6280807323443393,0.034077311287122436,3,0.6245598938936988,0.03372177829571795,3,-0.559663582708699,0.06450581565698599,3,0.6026716038274268,0.030432377629188406,3,0.6027994348357121,0.030565162878215382,3,0.020509129966206352,0.020879519063801134,3,-0.0013121142983436584,0.00038346276371222047,3,-0.25052343185583137,0.057765248992510315,3,-0.559663582708699,0.06450581565698599,3,0.020509129966206352,0.020879519063801134,3
aug_steps_6,boost_0.50,random_orbit_preserve,projector,5,0.5181365429113308,0.03770047274977224,3,0.5168899539858103,0.03734626910948111,3,-0.23802688623785576,0.05443450839433019,3,0.6280807323443393,0.034077311287122436,3,0.6246634290243188,0.03375575551802365,3,-0.5433423992578956,0.059770403608999684,3,0.6026716038274268,0.030432377629188406,3,0.6030609714798629,0.03062065603046686,3,0.06367992310265524,0.02873923753916459,3,-0.001246588925520579,0.00036207595168645794,3,-0.23802688623785576,0.05443450839433019,3,-0.5433423992578956,0.059770403608999684,3,0.06367992310265524,0.02873923753916459,3
baseline_steps_4,boost_0.35,orbit_preserve,projector,5,0.9288087797661623,0.028492044286802902,3,0.9222601341704527,0.02728075493042846,3,-0.7027892340742858,0.11543605050969973,3,0.9816491088519493,0.0281902286098727,3,0.9733371883630753,0.027039531444394367,3,-0.8449257669161603,0.09514897294241133,3,0.8741890688737234,0.02953350150015951,3,0.8741197607790431,0.029628470935930164,3,-0.008185379476466359,0.016866534096214296,3,-0.006548645595709483,0.0012499270135620992,3,-0.7027892340742858,0.11543605050969973,3,-0.8449257669161603,0.09514897294241133,3,-0.008185379476466359,0.016866534096214296,3
