method,model_name,dataset_kind,relative_l2_mean,relative_l2_std,relative_l2_count,orbit_ood_relative_l2_mean,orbit_ood_relative_l2_std,orbit_ood_relative_l2_count,equivariance_defect_relative_mean,equivariance_defect_relative_std,equivariance_defect_relative_count,latency_ms_per_sample_mean,latency_ms_per_sample_std,latency_ms_per_sample_count,latency_ms_per_batch_mean,latency_ms_per_batch_std,latency_ms_per_batch_count
aug,fno1d,burgers1d,0.0025117482897864343,0.00014550143021473756,3,0.004048952691543188,0.00032566858517050817,3,0.0026526681068107885,0.0003260259977145873,3,0.7669161979417064,0.01354160425668508,3,24.541318334134605,0.43333133621392256,3
aug_orbit,fno1d,burgers1d,0.002654834827505207,2.7595795374988135e-06,3,0.0038065075999232554,0.00015344228913406426,3,0.002282639265056119,0.00021520261509761442,3,0.9255651562246688,0.05633632428844321,3,29.618084999189403,1.8027623772301826,3
baseline,fno1d,burgers1d,0.002386035727492223,0.0001546732998461254,3,0.3749619191160794,0.039376823131935655,3,0.3737621163314279,0.03939123046507735,3,0.7474448958722254,0.08214939279592341,3,23.918236667911213,2.628780569469549,3
orbit,fno1d,burgers1d,0.002821321305721843,4.707878236485222e-05,3,0.017738516324243392,0.0016308116725872292,3,0.01619438144131487,0.0016696494462845744,3,0.8974434375280301,0.1388975921421164,3,28.718190000896964,4.444722948547724,3
