method,data_fraction,steps_per_epoch,lambda_orbit,relative_l2_mean,relative_l2_std,relative_l2_count,orbit_ood_relative_l2_mean,orbit_ood_relative_l2_std,orbit_ood_relative_l2_count,equivariance_defect_relative_mean,equivariance_defect_relative_std,equivariance_defect_relative_count,latency_ms_per_sample_mean,latency_ms_per_sample_std,latency_ms_per_sample_count,latency_ms_per_batch_mean,latency_ms_per_batch_std,latency_ms_per_batch_count
aug,0.01,6.0,0.05,0.7340505744020144,0.0847973446035286,3,0.7420703964307904,0.0837760538466776,3,0.5079775375003616,0.0456141092702584,3,12.757107812505334,0.12343015932380587,3,204.11372500008534,1.974882549180894,3
aug_orbit,0.01,4.0,0.05,0.6778486557304859,0.06965119099187221,3,0.6880583514769872,0.06894925764712835,3,0.45673251058906317,0.03862318475227651,3,25.699300937412772,6.463447374429095,3,411.18881499860436,103.41515799086552,3
aug_orbit,0.01,4.0,0.1,0.6285169658561548,0.05099950933982494,3,0.6405674346412221,0.0507678489022665,3,0.3999470436635117,0.019681537412957098,3,16.983789375020326,1.959165931380616,3,271.7406300003252,31.346654902089856,3
