metric,metric_label,seed_count,reference_method,candidate_method,reference_mean,candidate_mean,paired_delta_mean,paired_delta_ci95_low,paired_delta_ci95_high,relative_reduction_pct
force_mae,Force MAE,3,aug,aug_orbit,20.148260818481443,19.463268564860027,-0.6849922536214178,-1.103256066828952,-0.2667284404138837,3.399758717601532
orbit_ood_force_mae,OOD force MAE,3,aug,aug_orbit,20.219592987060548,19.561513259887693,-0.6580797271728519,-1.0672194678383113,-0.24893998650739235,3.2546635710916134
equivariance_defect_relative,Eq. defect,3,aug,aug_orbit,0.5393754569689433,0.23568172938625018,-0.3036937275826931,-0.3081532559788747,-0.29923419918651145,56.30469901046674
relative_l2,ID L2,3,aug,aug_orbit,0.9923276268641154,0.9565653727849325,-0.03576225407918295,-0.0576454712810522,-0.013879036877313702,3.603875686923709
orbit_ood_relative_l2,OOD L2,3,aug,aug_orbit,0.9933616491953532,0.9585666166941325,-0.0347950325012207,-0.05549757153970129,-0.014092493462740111,3.5027557717177373
