method,data_fraction,config.symmetry.use_mask,relative_l2_mean,relative_l2_std,relative_l2_count,orbit_ood_relative_l2_mean,orbit_ood_relative_l2_std,orbit_ood_relative_l2_count,oracle_canonical_ood_relative_l2_mean,oracle_canonical_ood_relative_l2_std,oracle_canonical_ood_relative_l2_count,equivariance_defect_relative_mean,equivariance_defect_relative_std,equivariance_defect_relative_count,latency_ms_per_sample_mean,latency_ms_per_sample_std,latency_ms_per_sample_count,latency_ms_per_batch_mean,latency_ms_per_batch_std,latency_ms_per_batch_count
aug_orbit,0.1,False,0.034701634819308914,0.0018645661111985315,3,0.042976565969487034,0.0015791562732336123,3,0.03156540678658833,0.0020506578362519037,3,0.02408370121459787,0.0008655042904389528,3,0.31198890628729714,0.08404777609999611,3,9.983645001193509,2.6895288351998756,3
aug_orbit,0.1,True,0.03625405579805374,0.0012419280575925093,3,0.022530628096622724,0.0015448584394921387,3,0.01782896907146399,0.0017856222531148172,3,0.010880570800509304,0.00010975569383714149,3,0.381619791733101,0.1383959038370163,3,12.211833335459232,4.428668922784522,3
baseline,0.1,True,0.027035498060286045,0.001215766648507712,3,0.0324854050607731,0.0019802812682065797,3,0.018949582474306226,0.002227553210305166,3,0.0233824960499381,0.00034746866812644363,3,0.33337552079804783,0.04773091293305681,3,10.66801666553753,1.527389213857818,3
