checkpoint,run_dir,method,seed,severity,severity_scale,max_shift,max_boost,paper_table,epsilon_mean,epsilon_mean_std,epsilon_mean_stderr,equivariance_defect_relative,equivariance_defect_relative_std,equivariance_defect_relative_stderr,eval_seconds,num_batches,num_samples,oracle_canonical_ood_relative_l2,oracle_canonical_ood_relative_l2_std,oracle_canonical_ood_relative_l2_stderr,orbit_ood_relative_l2,orbit_ood_relative_l2_std,orbit_ood_relative_l2_stderr,relative_l2,relative_l2_std,relative_l2_stderr
runs/ablations/2d_galilean_n64_2pct_lambda_robustness/fraction_0.02/aug_orbit_lambda_0.1_steps_4/seed_59/checkpoints/best.pt,runs/ablations/2d_galilean_n64_2pct_oracle_canonicalization/fraction_0.02/boost_0.35/aug_orbit_lambda_0.1_steps_4/seed_59,aug_orbit_lambda_0.1_steps_4,59,boost_0.35,1.4,,0.35,oracle_canonicalization,0.2630163317080587,0.09896007962304945,0.0030925024882202954,0.33092961739748716,0.2225917460430611,0.006955992063845659,18.33845559999463,16,256,0.31893746461719275,0.10069070375152855,0.0031465844922352673,0.39465377293527126,0.20651149063879723,0.006453484082462413,0.3189374580979347,0.10069071630808267,0.006293169769255167
runs/ablations/2d_galilean_n64_2pct_lambda_robustness/fraction_0.02/aug_orbit_lambda_0.1_steps_4/seed_71/checkpoints/best.pt,runs/ablations/2d_galilean_n64_2pct_oracle_canonicalization/fraction_0.02/boost_0.35/aug_orbit_lambda_0.1_steps_4/seed_71,aug_orbit_lambda_0.1_steps_4,71,boost_0.35,1.4,,0.35,oracle_canonicalization,0.2626053432468325,0.1016533802676631,0.003176668133364472,0.3672456662170589,0.1905703248048617,0.005955322650151928,17.471699600020656,16,256,0.4171714377589524,0.07889958354844358,0.002465611985888862,0.46324259229004383,0.1558852173486794,0.004871413042146232,0.4171714447438717,0.07889951710680652,0.004931219819175408
runs/ablations/2d_galilean_n64_label_efficiency_compute_matched/fraction_0.02/aug_steps_6/seed_23/checkpoints/best.pt,runs/ablations/2d_galilean_n64_2pct_oracle_canonicalization/fraction_0.02/boost_0.35/aug_steps_6/seed_23,aug_steps_6,23,boost_0.35,1.4,,0.35,oracle_canonicalization,0.27138158469460905,0.10066149129388946,0.0031456716029340456,0.45288332272320986,0.18656784049309053,0.005830245015409079,24.01737439999124,16,256,0.4750366103835404,0.09049884716877839,0.0028280889740243246,0.5244967336766422,0.14696466563893987,0.004592645801216871,0.47503660432994366,0.09049889438112348,0.005656180898820217
runs/ablations/2d_galilean_n64_label_efficiency_compute_matched/fraction_0.02/aug_steps_6/seed_31/checkpoints/best.pt,runs/ablations/2d_galilean_n64_2pct_oracle_canonicalization/fraction_0.02/boost_0.35/aug_steps_6/seed_31,aug_steps_6,31,boost_0.35,1.4,,0.35,oracle_canonicalization,0.26782919582910836,0.09973995662011276,0.0031168736443785237,0.5053292587399483,0.20717871540041816,0.006474334856263067,17.394256400002632,16,256,0.5449895346537232,0.093579328304328,0.00292435400951025,0.596876441501081,0.15326690123609002,0.004789590663627813,0.5449895411729813,0.09357927292090563,0.005848704557556602
runs/ablations/2d_galilean_n64_label_efficiency_compute_matched/fraction_0.02/aug_steps_6/seed_47/checkpoints/best.pt,runs/ablations/2d_galilean_n64_2pct_oracle_canonicalization/fraction_0.02/boost_0.35/aug_steps_6/seed_47,aug_steps_6,47,boost_0.35,1.4,,0.35,oracle_canonicalization,0.26706468244083226,0.10091671930522797,0.003153647478288374,0.49605096271261573,0.1987800890215549,0.00621187778192359,17.648674000025494,16,256,0.534383486956358,0.09393667697702637,0.002935521155532074,0.5880893496796489,0.15923122019134248,0.004975975630979452,0.5343834832310677,0.093936737826763,0.005871046114172687
runs/ablations/2d_galilean_n64_label_efficiency_compute_matched/fraction_0.02/aug_steps_6/seed_59/checkpoints/best.pt,runs/ablations/2d_galilean_n64_2pct_oracle_canonicalization/fraction_0.02/boost_0.35/aug_steps_6/seed_59,aug_steps_6,59,boost_0.35,1.4,,0.35,oracle_canonicalization,0.2630163317080587,0.09896007962304945,0.0030925024882202954,0.42801109282299876,0.2309031134478081,0.007215722295244003,15.154184899991378,16,256,0.40845455368980765,0.11186898583962748,0.003495905807488359,0.4870462054386735,0.212247542763705,0.006632735711365781,0.40845455043017864,0.11186895923746494,0.006991809952341559
runs/ablations/2d_galilean_n64_label_efficiency_compute_matched/fraction_0.02/aug_steps_6/seed_71/checkpoints/best.pt,runs/ablations/2d_galilean_n64_2pct_oracle_canonicalization/fraction_0.02/boost_0.35/aug_steps_6/seed_71,aug_steps_6,71,boost_0.35,1.4,,0.35,oracle_canonicalization,0.2626053432468325,0.1016533802676631,0.003176668133364472,0.5035683275200427,0.20329878286535044,0.006353086964542201,16.001684599992586,16,256,0.5415244642645121,0.088861482205226,0.0027769213189133123,0.580867157317698,0.149650391257335,0.004676574726791719,0.5415244773030281,0.08886142370932967,0.005553838981833105
runs/ablations/2d_galilean_n64_2pct_headline_5seed/fraction_0.02/baseline_steps_4/seed_23/checkpoints/best.pt,runs/ablations/2d_galilean_n64_2pct_oracle_canonicalization/fraction_0.02/boost_0.35/baseline_steps_4/seed_23,baseline_steps_4,23,boost_0.35,1.4,,0.35,oracle_canonicalization,0.27138158469460905,0.10066149129388946,0.0031456716029340456,0.8536116415634751,0.2769680589828053,0.008655251843212666,15.58903560001636,16,256,0.8959146635606885,0.12266782899231515,0.0038333696560098485,0.9484175080433488,0.15993764457657217,0.00499805139301788,0.895914651453495,0.12266795158318773,0.007666746973949233
runs/ablations/2d_galilean_n64_2pct_headline_5seed/fraction_0.02/baseline_steps_4/seed_31/checkpoints/best.pt,runs/ablations/2d_galilean_n64_2pct_oracle_canonicalization/fraction_0.02/boost_0.35/baseline_steps_4/seed_31,baseline_steps_4,31,boost_0.35,1.4,,0.35,oracle_canonicalization,0.26782919582910836,0.09973995662011276,0.0031168736443785237,0.8798053897917271,0.26893248496224126,0.00840414015507004,18.720910100004403,16,256,0.9457838581874967,0.13819744992452196,0.004318670310141311,0.9990730425342917,0.16273038157367287,0.005085324424177277,0.9457838870584965,0.13819736016476983,0.008637335010298114
runs/ablations/2d_galilean_n64_2pct_headline_5seed/fraction_0.02/baseline_steps_4/seed_47/checkpoints/best.pt,runs/ablations/2d_galilean_n64_2pct_oracle_canonicalization/fraction_0.02/boost_0.35/baseline_steps_4/seed_47,baseline_steps_4,47,boost_0.35,1.4,,0.35,oracle_canonicalization,0.26706468244083226,0.10091671930522797,0.003153647478288374,0.9140655128285289,0.2891797459537345,0.009036867061054204,18.130155699996976,16,256,0.9447277709841728,0.1518009830255473,0.004743780719548353,0.9933194452896714,0.18173714889293746,0.005679285902904296,0.9447278007864952,0.15180089264677668,0.009487555790423543
