comparison,difference_direction,metric,seed_count,seeds,reference_checkpoint_resumed_seeds,candidate_checkpoint_resumed_seeds,reference_mean,candidate_mean,paired_delta_mean,paired_delta_std,paired_delta_sem,paired_delta_ci95_low,paired_delta_ci95_high,relative_reduction_pct,ci_excludes_zero
augmentation_plus_loco_minus_augmentation,candidate_minus_reference,relative_l2,5,"23,31,47,59,71",,59,0.18060169368982315,0.19315917398780585,0.012557480297982693,0.01255608839649921,0.005615253437213713,-0.003032962622214405,0.028147923218179792,-6.953135400573663,False
augmentation_plus_loco_minus_augmentation,candidate_minus_reference,orbit_ood_relative_l2,5,"23,31,47,59,71",,59,0.20296001313254236,0.2155892196111381,0.012629206478595733,0.013436171865058532,0.006008838729528202,-0.0040540043999257695,0.029312417357117235,-6.222509687338407,False
augmentation_plus_loco_minus_augmentation,candidate_minus_reference,equivariance_defect_relative,5,"23,31,47,59,71",,59,0.13582011677790434,0.1275887189200148,-0.008231397857889533,0.006128183832255386,0.002740607125507642,-0.01584054309677542,-0.0006222526190036463,6.060514490169139,True
