severity,severity_scale,max_boost,method,relative_l2_mean,relative_l2_std,relative_l2_count,orbit_ood_relative_l2_mean,orbit_ood_relative_l2_std,orbit_ood_relative_l2_count,oracle_canonical_ood_relative_l2_mean,oracle_canonical_ood_relative_l2_std,oracle_canonical_ood_relative_l2_count,equivariance_defect_relative_mean,equivariance_defect_relative_std,equivariance_defect_relative_count,epsilon_mean_mean,epsilon_mean_std,epsilon_mean_count
boost_0.10,0.4,0.1,aug_orbit_lambda_0.1_steps_4,0.3676406528800726,0.03603633814174233,5,0.37148185735568406,0.03491147393174433,5,0.3676406521350145,0.036036332228274105,5,0.11777521977201104,0.007723508141592391,5,0.07610841082641855,0.0010414586365699884,5
boost_0.10,0.4,0.1,aug_steps_6,0.5008777312934398,0.05901367076480936,5,0.504959150031209,0.057391132891066364,5,0.5008777289651334,0.059013664106447525,5,0.1773718833224848,0.017115845443869397,5,0.07610841082641855,0.0010414586365699884,5
boost_0.10,0.4,0.1,baseline_steps_4,0.9286857925355434,0.022838200245895203,5,0.9336431169882417,0.023609987803597406,5,0.9286857791244983,0.0228381895547392,5,0.31995286950841545,0.014278737506470032,5,0.07610841082641855,0.0010414586365699884,5
boost_0.20,0.8,0.2,aug_orbit_lambda_0.1_steps_4,0.3676406528800726,0.03603633814174233,5,0.3839595539495349,0.03305245937740224,5,0.3676406516693532,0.036036333286555595,5,0.2200059494934976,0.013491428727076017,5,0.1522168216528371,0.002082917273139977,5
boost_0.20,0.8,0.2,aug_steps_6,0.5008777312934398,0.05901367076480936,5,0.5176457076333463,0.05429066619839901,5,0.5008777325972915,0.05901366729186487,5,0.3204523526132107,0.028222777251337015,5,0.1522168216528371,0.002082917273139977,5
boost_0.20,0.8,0.2,baseline_steps_4,0.9286857925355434,0.022838200245895203,5,0.9473298609256744,0.023961528754309323,5,0.9286857834085822,0.02283818364555405,5,0.5848311770707368,0.023608778345063607,5,0.1522168216528371,0.002082917273139977,5
boost_0.35,1.4,0.35,aug_orbit_lambda_0.1_steps_4,0.3676406528800726,0.03603633814174233,5,0.42415375635027885,0.028522237655661295,5,0.3676406511105597,0.036036332615695575,5,0.3447429035790265,0.017250996791017735,5,0.26637942758388816,0.003645103030004082,5
boost_0.35,1.4,0.35,aug_steps_6,0.5008777312934398,0.05901367076480936,5,0.5554751775227487,0.0476043320665255,5,0.5008777299895882,0.05901366589124443,5,0.47716859290376307,0.03483083095361909,5,0.26637942758388816,0.003645103030004082,5
boost_0.35,1.4,0.35,baseline_steps_4,0.9286857925355434,0.022838200245895203,5,0.9798298634588718,0.023847676172460225,5,0.9286857793107629,0.022838187630855714,5,0.868096112832427,0.030087566314276108,5,0.26637942758388816,0.003645103030004082,5
boost_0.50,2.0,0.5,aug_orbit_lambda_0.1_steps_4,0.3676406528800726,0.03603633814174233,5,0.4910142183303833,0.021614513427919917,5,0.36764065055176615,0.03603633272039986,5,0.456046259123832,0.015625594832197633,5,0.3805420490913093,0.005207290133984615,5
boost_0.50,2.0,0.5,aug_steps_6,0.5008777312934398,0.05901367076480936,5,0.615769459027797,0.038424578886321684,5,0.5008777294307947,0.059013666709468164,5,0.5971294542774558,0.032668780869497115,5,0.3805420490913093,0.005207290133984615,5
boost_0.50,2.0,0.5,baseline_steps_4,0.9286857925355434,0.022838200245895203,5,1.0192776266485453,0.0232662811433585,5,0.9286857791244983,0.022838188908360816,5,1.0424397978931665,0.030571389247152633,5,0.3805420490913093,0.005207290133984615,5
train_radius,1.0,0.25,aug_orbit_lambda_0.1_steps_4,0.3676406528800726,0.03603633814174233,5,0.39430237831547854,0.031804576340177845,5,0.3676406514830887,0.03603633507781157,5,0.26459835027344525,0.015404244539067545,5,0.19027102454565464,0.0026036450669923075,5
train_radius,1.0,0.25,aug_steps_6,0.5008777312934398,0.05901367076480936,5,0.5276591050438583,0.05233804633687878,5,0.500877729896456,0.059013668627304706,5,0.37902478594332933,0.03164119838809726,5,0.19027102454565464,0.0026036450669923075,5
train_radius,1.0,0.25,baseline_steps_4,0.9286857925355434,0.022838200245895203,5,0.9568993199616671,0.023997791797301007,5,0.9286857854574919,0.022838191229609072,5,0.6938181402161717,0.02661712037632749,5,0.19027102454565464,0.0026036450669923075,5
