"data_fraction","seed","compared_to","split_relative_l2","baseline_relative_l2","relative_l2_delta_pct","split_orbit_ood_relative_l2","baseline_orbit_ood_relative_l2","orbit_ood_relative_l2_delta_pct","split_equivariance_defect_relative","baseline_equivariance_defect_relative","equivariance_defect_relative_delta_pct"
"0.01","23","normal_aug","0.16842632740736","0.213477442972362","-21.1034547433822","0.168193882331252","0.213649621466175","-21.2758341545291","0.027474726849789","0.0449842149472914","-38.9236271390275"
"0.01","31","normal_aug","0.190469738095999","0.207730823196471","-8.30935189822385","0.190375163219869","0.207931687124074","-8.44340953850306","0.0231545549806924","0.0309133206694838","-25.0984543904094"
"0.01","47","normal_aug","0.148699773475528","0.209226598031819","-28.9288384582376","0.148729157401249","0.209437633864582","-28.9864220403606","0.0184260097121154","0.0325741462553424","-43.4336373156875"
"0.02","23","normal_aug","0.109693281818181","0.110347566660494","-0.592930920103906","0.109791168244556","0.110464227502234","-0.609300651348939","0.022351475021992","0.0241580841308782","-7.47827973070529"
"0.02","31","normal_aug","0.127208914142102","0.137049021199346","-7.17999075887641","0.127372143790126","0.137107421178371","-7.10047443426108","0.0188445501718491","0.0222803553482578","-15.4207826702252"
"0.02","47","normal_aug","0.115655866917223","0.117347082588822","-1.4412081104094","0.115517702419311","0.11735601152759","-1.56643795605431","0.0165333225920392","0.0175867194812369","-5.98972929727774"
"0.01","23","normal_aug_orbit","0.16842632740736","0.212409131228924","-20.706644562357","0.168193882331252","0.212538764812052","-20.8643738567006","0.027474726849789","0.0441206698881871","-37.7282191784102"
"0.01","31","normal_aug_orbit","0.190469738095999","0.216669271700084","-12.0919470483803","0.190375163219869","0.2167137125507","-12.1536145640386","0.0231545549806924","0.0324417930186769","-28.6273882354091"
"0.01","47","normal_aug_orbit","0.148699773475528","0.183937140740454","-19.1572877142025","0.148729157401249","0.183993245474994","-19.1659688282079","0.0184260097121154","0.0269367663174975","-31.5953166206656"
"0.02","23","normal_aug_orbit","0.109693281818181","0.106708750128746","2.796894992992","0.109791168244556","0.106883656582795","2.72025841435193","0.022351475021992","0.0232108902912778","-3.70263810866722"
"0.02","31","normal_aug_orbit","0.127208914142102","0.141330140642822","-9.99165955435353","0.127372143790126","0.141347161959857","-9.88701716819746","0.0188445501718491","0.0231468212613493","-18.5868765344647"
"0.02","47","normal_aug_orbit","0.115655866917223","0.123803294729441","-6.58094587064422","0.115517702419311","0.123757123015821","-6.65773443639026","0.0165333225920392","0.0187802985014258","-11.9645377799294"
"0.01","23","update_matched_aug","0.16842632740736","0.115290444344282","46.0887139131867","0.168193882331252","0.115141566377133","46.0757288817421","0.027474726849789","0.0206722116557856","32.9065670730959"
