method,data_fraction,steps_per_epoch,lambda_orbit,relative_l2_mean,relative_l2_std,relative_l2_count,orbit_ood_relative_l2_mean,orbit_ood_relative_l2_std,orbit_ood_relative_l2_count,oracle_canonical_ood_relative_l2_mean,oracle_canonical_ood_relative_l2_std,oracle_canonical_ood_relative_l2_count,equivariance_defect_relative_mean,equivariance_defect_relative_std,equivariance_defect_relative_count,latency_ms_per_sample_mean,latency_ms_per_sample_std,latency_ms_per_sample_count,latency_ms_per_batch_mean,latency_ms_per_batch_std,latency_ms_per_batch_count
aug_orbit,0.02,4.0,0.01,0.550519393136104,0.03920432867697602,3,0.5767568605951965,0.0377535242710686,3,,,0,0.395503207265089,0.023478509066711614,3,15.614466249993106,2.7919469832342227,3,249.8314599998897,44.671151731747564,3
aug_orbit,0.02,4.0,0.05,0.4239921417087317,0.044064674324690044,5,0.451808912307024,0.039686252218343494,5,,,0,0.3160910136066377,0.02465181255498835,5,17.61713656250322,3.5117361662435447,5,281.8741850000515,56.187778659896715,5
aug_orbit,0.02,4.0,0.1,0.3676406528800726,0.03603633814174233,5,0.39498347137123346,0.03342833447493701,5,,,0,0.26766052255406975,0.017448369945996953,5,16.872247750006863,3.1850115275901616,5,269.9559640001098,50.960184441442586,5
aug_orbit,0.02,4.0,0.2,0.31397731974720955,,1,0.3368410049006343,,1,0.3139773206785321,,1,0.2094333388376981,,1,10.955602812464349,,1,175.28964499942958,,1
aug_orbit,0.02,4.0,0.3,0.31487327590584757,0.029764589773627358,5,0.34164801239967346,0.028881742550050705,5,0.3148732729256153,0.02976458917109254,5,0.20439360244199634,0.01604163308261584,5,11.947365750002064,0.9990488630720935,5,191.15785200003302,15.984781809153496,5
