method,model_name,dataset_kind,relative_l2,relative_l2,relative_l2,orbit_ood_relative_l2,orbit_ood_relative_l2,orbit_ood_relative_l2,equivariance_defect_relative,equivariance_defect_relative,equivariance_defect_relative,latency_ms_per_sample,latency_ms_per_sample,latency_ms_per_sample,latency_ms_per_batch,latency_ms_per_batch,latency_ms_per_batch
,,,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
aug,fno1d,burgers1d,0.013597846799530088,0.013219869976352005,5,0.01870813134519267,0.017398843602644824,5,0.010117094059826082,0.00889152264442366,5,0.47348493746540044,0.0921850088316673,5,15.151517998892814,2.9499202826133537,5
aug_orbit,fno1d,advection1d,1.029125452041626,0.0,3,1.029344081878662,0.0,3,0.0034914414087931314,1.7475228522903192e-09,3,0.8775333311253538,0.4235432553832504,3,1.7550666622507076,0.8470865107665008,3
aug_orbit,fno1d,burgers1d,0.01313319689797936,0.012298666942822117,5,0.016888851568000973,0.015211532461908482,5,0.008359622272228685,0.007053264219636072,5,0.4782081250232295,0.06448107114451723,5,15.302660000743344,2.0633942766245514,5
baseline,canonical_fno1d,burgers1d,0.003469897295872215,,1,0.0031781089874129975,,1,3.995625649899637e-06,,1,0.5133071874297457,,1,16.425829997751862,,1
baseline,fno1d,advection1d,0.0009314144917880185,,1,0.0009314159597124672,,1,2.5125388125601944e-07,,1,2.8851371875134646,,1,92.32439000043087,,1
baseline,fno1d,burgers1d,0.021654179065080825,0.023709543189786096,6,0.350065969207814,0.007202546578407409,6,0.3380851271035013,0.007132572069904084,6,0.5020636979073364,0.06952665110601289,6,16.066038333034765,2.2248528353924124,6
orbit,fno1d,advection1d,0.0009311721369158477,,1,0.0009311742905993015,,1,2.382061974337546e-07,,1,0.39081796876416774,,1,12.506175000453368,,1
orbit,fno1d,burgers1d,0.011330656723293942,0.012818886812019698,15,0.04951292195304025,0.08445132542777782,15,0.042594084626266564,0.08482672612874931,15,0.43391657289854874,0.05566692937126113,15,13.88533033275356,1.7813417398803562,15
