"seed","aug_relative_l2","aug_orbit_relative_l2","rel_delta_pct","aug_ood","aug_orbit_ood","ood_delta_pct","aug_defect","aug_orbit_defect","defect_delta_pct"
"23","0.0037602143274853","0.00378281777375378","0.601","0.00376457828679122","0.00378298054783954","0.489","0.00120719824025883","0.00121095190423759","0.311"
"31","0.00368704105494544","0.00365264024003409","-0.933","0.00368629601871362","0.00364810510654934","-1.036","0.000901824951828445","0.000893135927302779","-0.963"
"47","0.00376090192003176","0.00379435987269972","0.89","0.00376297121692915","0.00379458461975446","0.84","0.000843340569112172","0.000845476888258645","0.253"
