data_fraction,method,steps_per_epoch,lambda_orbit,model_name,dataset_kind,relative_l2_mean,relative_l2_std,relative_l2_count,orbit_ood_relative_l2_mean,orbit_ood_relative_l2_std,orbit_ood_relative_l2_count,equivariance_defect_relative_mean,equivariance_defect_relative_std,equivariance_defect_relative_count,latency_ms_per_sample_mean,latency_ms_per_sample_std,latency_ms_per_sample_count,latency_ms_per_batch_mean,latency_ms_per_batch_std,latency_ms_per_batch_count
0.01,aug,4.0,0.05,fno2d,navier_stokes_vorticity2d_boosted,1.0537799000740051,,1,1.0901712663471699,,1,0.6900918055325747,,1,2.8166018753836397,,1,45.065630006138235,,1
0.01,aug_orbit,4.0,0.05,fno2d,navier_stokes_vorticity2d_boosted,0.9240379706025124,,1,0.9559041131287813,,1,0.5733970357105136,,1,3.4251831253641285,,1,54.802930005826056,,1
