data_fraction,method,relative_l2_mean,relative_l2_std,orbit_ood_relative_l2_mean,orbit_ood_relative_l2_std,equivariance_defect_relative_mean,equivariance_defect_relative_std,latency_ms_per_sample_mean,latency_ms_per_sample_std,relative_l2_count
0.01,aug,0.7340505744020144,0.0847973446035286,0.7420703964307904,0.0837760538466776,0.5079775375003616,0.0456141092702584,12.757107812505334,0.1234301593238058,3
0.01,aug_orbit,0.6285169658561548,0.0509995093398249,0.6405674346412221,0.0507678489022665,0.3999470436635117,0.019681537412957,16.983789375020326,1.959165931380616,3
0.02,aug,0.5008777312934398,0.0590136707648093,0.5276326760649681,0.052453832084405,0.3815539580769836,0.0322324722499637,18.75639699999283,7.341721610499359,5
0.02,aug_orbit,0.3676406528800726,0.0360363381417423,0.3949834713712334,0.033428334474937,0.2676605225540697,0.0174483699459969,16.872247750006863,3.1850115275901616,5
0.05,aug,0.2950280687461297,0.0060510640731362,0.3237006665828327,0.0012814363298671,0.2427122971663872,0.0013794272410441,11.455302083330327,0.4954313085032069,3
0.05,aug_orbit,0.2259837596987684,0.0119477297628392,0.2514543036619822,0.0112187012167568,0.1621012708249812,0.0077835088271528,12.54020250001607,0.6760619353308663,3
0.1,aug,0.1694269189611077,0.0120797690788483,0.199565021864449,0.0090576304152934,0.1596188115654513,0.0076029044094104,14.36562177086671,3.711651502416048,3
0.1,aug_orbit,0.1509683361897865,0.0049490667409071,0.1760162561355779,0.0027384838173706,0.1221086124811942,0.0003928008446201,14.608627499971286,1.5356171739389135,3
