lambda_orbit,relative_l2,orbit_ood_relative_l2,equivariance_defect_relative,best_val_relative_l2,train_wall_seconds
0.01,0.5052915513515472,0.533201512414962,0.3685741126537323,0.5045140385627747,
0.05,0.4079300407320261,0.43041030410677195,0.2967575057409704,0.41114696860313416,
0.1,0.35174218751490116,0.3743666750378907,0.2530845678411424,0.3566172644495964,
0.2,0.31397731974720955,0.3368410049006343,0.2094333388376981,0.31847483292222023,984.9755095999863
0.3,0.30216033570468426,0.3246146063320339,0.1862196121364832,0.3063560798764229,999.1418707999983
