"data_fraction","seed","aug_relative_l2","aug_orbit_relative_l2","rel_delta_pct","aug_ood","aug_orbit_ood","ood_delta_pct","aug_defect","aug_orbit_defect","defect_delta_pct"
"0.1","23","0.0263181881746277","0.025974330957979","-1.307","0.0262876129127108","0.0259645210171584","-1.229","0.00669975884029483","0.00664431801440202","-0.828"
"0.1","31","0.0292959938524291","0.0297319315141067","1.488","0.0293026620929595","0.0297252441814635","1.442","0.00575791430132355","0.00584138544189727","1.45"
"0.1","47","0.0263793461490422","0.0265153871150687","0.516","0.026361136988271","0.0265195828687865","0.601","0.00472804965958673","0.00473974409763045","0.247"
"0.25","23","0.0107081528985873","0.0108538398053497","1.361","0.010665666704881","0.0108186938887229","1.435","0.00301887752170238","0.0030523236936979","1.108"
"0.25","31","0.0123046163353138","0.0119552174583077","-2.84","0.0123219185188645","0.0119797366496641","-2.777","0.00270161319721041","0.00262670129391651","-2.773"
"0.25","47","0.0112881565582938","0.0114830480306409","1.727","0.0113025887112599","0.0114946741960011","1.699","0.00225602637810063","0.00230252643418005","2.061"
