run_dir,best_val_relative_l2,config_hash,dataset_kind,dataset_path,dataset_sha256,deterministic,device,environment.config_hash,environment.cuda_available,environment.cuda_version,environment.cudnn_version,environment.git_commit,environment.mkl_num_threads,environment.omp_num_threads,environment.platform,environment.python,environment.torch,epsilon_mean,epsilon_mean_std,epsilon_mean_stderr,equivariance_defect_relative,equivariance_defect_relative_std,equivariance_defect_relative_stderr,eval_seconds,latency_ms_per_batch,latency_ms_per_sample,latency_repeats,latency_warmup,method,model_name,num_batches,num_samples,orbit_ood_relative_l2,orbit_ood_relative_l2_std,orbit_ood_relative_l2_stderr,parameters,parameters_total,relative_l2,relative_l2_std,relative_l2_stderr,seed,config_path,config.seed,config.dataset.kind,config.dataset.path,config.dataset.generate_if_missing,config.dataset.n,config.dataset.num_train,config.dataset.num_val,config.dataset.num_test,config.dataset.final_time,config.dataset.dt,config.dataset.viscosity,config.dataset.smoothness,config.dataset.amplitude,config.dataset.solver_batch_size,config.dataset.dealias,config.dataset.seed,config.model.name,config.model.in_channels,config.model.out_channels,config.model.width,config.model.modes1,config.model.modes2,config.model.depth,config.model.add_grid,config.symmetry.transforms,config.symmetry.probabilities,config.training.method,config.training.epochs,config.training.batch_size,config.training.lr,config.training.weight_decay,config.training.lambda_orbit,config.training.lambda_aug,config.training.normalize_by_epsilon,config.training.orbit_eta,config.training.eval_every,config.training.eval_orbit_samples,config.training.data_fraction,config.training.num_workers,config.training.grad_clip,config.training.latency_repeats,config.training.latency_warmup,config.training.stop_after_epochs,config.runtime.deterministic,config.runtime.device,config.runtime.run_dir,config.runtime.overwrite,config.runtime.resume,data_fraction,lambda_orbit
runs\ablations\2d_full_seed_replication\seed_23\aug,0.0036949558125343174,4c00a93129f4,navier_stokes_vorticity2d,data\2d_ns_vorticity_n64.pt,defade883926ad6ba6ef469bf1e6ba69b3f7d57e743e4f53c83a05acb88a8f7e,False,cpu,4c00a93129f4,False,,,,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.4195810095407069,0.36789302223226644,0.011496656944758326,0.0012071982402588333,0.0021092333952146027,6.591354360045633e-05,16.55915859999368,207.3749150004005,12.960932187525032,20,5,aug,fno2d,16,256,0.0037645782867912203,0.0006698854180277543,2.093391931336732e-05,2668513,2668513,0.0037602143274853006,0.000656354903256458,4.102218145352862e-05,23,runs\ablations\2d_full_seed_replication\seed_23\aug\config.yaml,23,navier_stokes_vorticity2d,data/2d_ns_vorticity_n64.pt,True,64,1024,128,256,0.5,0.001,0.001,8.0,1.0,8,True,31,fno2d,1,1,48,12,12,4,False,"[{'name': 'translation2d', 'max_shift': 0.25, 'length': 1.0}, {'name': 'd4_vorticity2d'}]","[0.75, 0.25]",aug,150,16,0.001,0.0001,0.05,1.0,True,1e-06,10,4,1.0,0,1.0,20,5,20,False,auto,runs\ablations\2d_full_seed_replication\seed_23\aug,False,True,1.0,0.05
runs\ablations\2d_full_seed_replication\seed_23\aug_orbit_lambda_0.05,0.0037310017796698958,71ad6abf573d,navier_stokes_vorticity2d,data\2d_ns_vorticity_n64.pt,defade883926ad6ba6ef469bf1e6ba69b3f7d57e743e4f53c83a05acb88a8f7e,False,cpu,71ad6abf573d,False,,,,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.4195810095407069,0.36789302223226644,0.011496656944758326,0.0012109519042375894,0.0021175075969648727,6.617211240515227e-05,20.48574530001497,180.12982000072952,11.258113750045595,20,5,aug_orbit,fno2d,16,256,0.003782980547839543,0.00068125545097772,2.128923284305375e-05,2668513,2668513,0.003782817773753777,0.0006705477500278586,4.190923437674116e-05,23,runs\ablations\2d_full_seed_replication\seed_23\aug_orbit_lambda_0.05\config.yaml,23,navier_stokes_vorticity2d,data/2d_ns_vorticity_n64.pt,True,64,1024,128,256,0.5,0.001,0.001,8.0,1.0,8,True,31,fno2d,1,1,48,12,12,4,False,"[{'name': 'translation2d', 'max_shift': 0.25, 'length': 1.0}, {'name': 'd4_vorticity2d'}]","[0.75, 0.25]",aug_orbit,150,16,0.001,0.0001,0.05,1.0,True,1e-06,10,4,1.0,0,1.0,20,5,20,False,auto,runs\ablations\2d_full_seed_replication\seed_23\aug_orbit_lambda_0.05,False,True,1.0,0.05
runs\ablations\2d_full_seed_replication\seed_47\aug,0.0037641935632564127,5de44986d1d9,navier_stokes_vorticity2d,data\2d_ns_vorticity_n64.pt,defade883926ad6ba6ef469bf1e6ba69b3f7d57e743e4f53c83a05acb88a8f7e,False,cpu,5de44986d1d9,False,,,,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.3507020538672805,0.33383022846698746,0.010432194639593358,0.000843340569112172,0.0018264911417697554,5.7077848180304856e-05,16.255086499993922,181.98219499900006,11.373887187437504,20,5,aug,fno2d,16,256,0.003762971216929145,0.0007071112362623471,2.2097226133198347e-05,2668513,2668513,0.003760901920031756,0.0007106788486654474,4.4417428041590466e-05,47,runs\ablations\2d_full_seed_replication\seed_47\aug\config.yaml,47,navier_stokes_vorticity2d,data/2d_ns_vorticity_n64.pt,True,64,1024,128,256,0.5,0.001,0.001,8.0,1.0,8,True,31,fno2d,1,1,48,12,12,4,False,"[{'name': 'translation2d', 'max_shift': 0.25, 'length': 1.0}, {'name': 'd4_vorticity2d'}]","[0.75, 0.25]",aug,150,16,0.001,0.0001,0.05,1.0,True,1e-06,10,4,1.0,0,1.0,20,5,20,False,auto,runs\ablations\2d_full_seed_replication\seed_47\aug,False,True,1.0,0.05
runs\ablations\2d_full_seed_replication\seed_47\aug_orbit_lambda_0.05,0.003790107526583597,db4b7b089b80,navier_stokes_vorticity2d,data\2d_ns_vorticity_n64.pt,defade883926ad6ba6ef469bf1e6ba69b3f7d57e743e4f53c83a05acb88a8f7e,False,cpu,db4b7b089b80,False,,,,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.3507020538672805,0.33383022846698746,0.010432194639593358,0.000845476888258645,0.0018306570696708898,5.7208033427215306e-05,14.348648599989247,256.40007500041975,16.025004687526234,20,5,aug_orbit,fno2d,16,256,0.0037945846197544597,0.0007249197670760475,2.2653742721126485e-05,2668513,2668513,0.003794359872699715,0.0007300634762575002,4.562896726609376e-05,47,runs\ablations\2d_full_seed_replication\seed_47\aug_orbit_lambda_0.05\config.yaml,47,navier_stokes_vorticity2d,data/2d_ns_vorticity_n64.pt,True,64,1024,128,256,0.5,0.001,0.001,8.0,1.0,8,True,31,fno2d,1,1,48,12,12,4,False,"[{'name': 'translation2d', 'max_shift': 0.25, 'length': 1.0}, {'name': 'd4_vorticity2d'}]","[0.75, 0.25]",aug_orbit,150,16,0.001,0.0001,0.05,1.0,True,1e-06,10,4,1.0,0,1.0,20,5,20,False,auto,runs\ablations\2d_full_seed_replication\seed_47\aug_orbit_lambda_0.05,False,True,1.0,0.05
