artifact_type,paper_table,method,data_fraction,lambda_orbit,seed,severity,run_dir,checkpoint,config_hash,dataset_sha256,parameters,latency_ms_per_sample,complete,missing_files
severity_eval,ood_severity,aug_steps_6,0.02,,23,boost_0.35,runs/ablations/2d_galilean_n64_label_efficiency_2pct_ood_severity/fraction_0.02/boost_0.35/aug_steps_6/seed_23,runs/ablations/2d_galilean_n64_label_efficiency_compute_matched/fraction_0.02/aug_steps_6/seed_23/checkpoints/best.pt,,,,,True,
severity_eval,ood_severity,aug_steps_6,0.02,,31,boost_0.35,runs/ablations/2d_galilean_n64_label_efficiency_2pct_ood_severity/fraction_0.02/boost_0.35/aug_steps_6/seed_31,runs/ablations/2d_galilean_n64_label_efficiency_compute_matched/fraction_0.02/aug_steps_6/seed_31/checkpoints/best.pt,,,,,True,
severity_eval,ood_severity,aug_steps_6,0.02,,47,boost_0.35,runs/ablations/2d_galilean_n64_label_efficiency_2pct_ood_severity/fraction_0.02/boost_0.35/aug_steps_6/seed_47,runs/ablations/2d_galilean_n64_label_efficiency_compute_matched/fraction_0.02/aug_steps_6/seed_47/checkpoints/best.pt,,,,,True,
severity_eval,ood_severity,aug_steps_6,0.02,,59,boost_0.35,runs/ablations/2d_galilean_n64_label_efficiency_2pct_ood_severity/fraction_0.02/boost_0.35/aug_steps_6/seed_59,runs/ablations/2d_galilean_n64_label_efficiency_compute_matched/fraction_0.02/aug_steps_6/seed_59/checkpoints/best.pt,,,,,True,
severity_eval,ood_severity,aug_steps_6,0.02,,71,boost_0.35,runs/ablations/2d_galilean_n64_label_efficiency_2pct_ood_severity/fraction_0.02/boost_0.35/aug_steps_6/seed_71,runs/ablations/2d_galilean_n64_label_efficiency_compute_matched/fraction_0.02/aug_steps_6/seed_71/checkpoints/best.pt,,,,,True,
severity_eval,ood_severity,aug_steps_6,0.02,,23,boost_0.50,runs/ablations/2d_galilean_n64_label_efficiency_2pct_ood_severity/fraction_0.02/boost_0.50/aug_steps_6/seed_23,runs/ablations/2d_galilean_n64_label_efficiency_compute_matched/fraction_0.02/aug_steps_6/seed_23/checkpoints/best.pt,,,,,True,
severity_eval,ood_severity,aug_steps_6,0.02,,31,boost_0.50,runs/ablations/2d_galilean_n64_label_efficiency_2pct_ood_severity/fraction_0.02/boost_0.50/aug_steps_6/seed_31,runs/ablations/2d_galilean_n64_label_efficiency_compute_matched/fraction_0.02/aug_steps_6/seed_31/checkpoints/best.pt,,,,,True,
severity_eval,ood_severity,aug_steps_6,0.02,,47,boost_0.50,runs/ablations/2d_galilean_n64_label_efficiency_2pct_ood_severity/fraction_0.02/boost_0.50/aug_steps_6/seed_47,runs/ablations/2d_galilean_n64_label_efficiency_compute_matched/fraction_0.02/aug_steps_6/seed_47/checkpoints/best.pt,,,,,True,
severity_eval,ood_severity,aug_steps_6,0.02,,59,boost_0.50,runs/ablations/2d_galilean_n64_label_efficiency_2pct_ood_severity/fraction_0.02/boost_0.50/aug_steps_6/seed_59,runs/ablations/2d_galilean_n64_label_efficiency_compute_matched/fraction_0.02/aug_steps_6/seed_59/checkpoints/best.pt,,,,,True,
severity_eval,ood_severity,aug_steps_6,0.02,,71,boost_0.50,runs/ablations/2d_galilean_n64_label_efficiency_2pct_ood_severity/fraction_0.02/boost_0.50/aug_steps_6/seed_71,runs/ablations/2d_galilean_n64_label_efficiency_compute_matched/fraction_0.02/aug_steps_6/seed_71/checkpoints/best.pt,,,,,True,
severity_eval,ood_severity,aug_steps_6,0.02,,23,train_radius,runs/ablations/2d_galilean_n64_label_efficiency_2pct_ood_severity/fraction_0.02/boost_0.25/aug_steps_6/seed_23,runs/ablations/2d_galilean_n64_label_efficiency_compute_matched/fraction_0.02/aug_steps_6/seed_23/checkpoints/best.pt,,,,,True,
severity_eval,ood_severity,aug_steps_6,0.02,,31,train_radius,runs/ablations/2d_galilean_n64_label_efficiency_2pct_ood_severity/fraction_0.02/boost_0.25/aug_steps_6/seed_31,runs/ablations/2d_galilean_n64_label_efficiency_compute_matched/fraction_0.02/aug_steps_6/seed_31/checkpoints/best.pt,,,,,True,
severity_eval,ood_severity,aug_steps_6,0.02,,47,train_radius,runs/ablations/2d_galilean_n64_label_efficiency_2pct_ood_severity/fraction_0.02/boost_0.25/aug_steps_6/seed_47,runs/ablations/2d_galilean_n64_label_efficiency_compute_matched/fraction_0.02/aug_steps_6/seed_47/checkpoints/best.pt,,,,,True,
severity_eval,ood_severity,aug_steps_6,0.02,,59,train_radius,runs/ablations/2d_galilean_n64_label_efficiency_2pct_ood_severity/fraction_0.02/boost_0.25/aug_steps_6/seed_59,runs/ablations/2d_galilean_n64_label_efficiency_compute_matched/fraction_0.02/aug_steps_6/seed_59/checkpoints/best.pt,,,,,True,
severity_eval,ood_severity,aug_steps_6,0.02,,71,train_radius,runs/ablations/2d_galilean_n64_label_efficiency_2pct_ood_severity/fraction_0.02/boost_0.25/aug_steps_6/seed_71,runs/ablations/2d_galilean_n64_label_efficiency_compute_matched/fraction_0.02/aug_steps_6/seed_71/checkpoints/best.pt,,,,,True,
training_run,headline,aug,0.02,0.05,23,,runs/ablations/2d_galilean_n64_label_efficiency_compute_matched/fraction_0.02/aug_steps_6/seed_23,C:/Users/lewandowski/VSCode/orbit-tangent-no/runs/ablations/2d_galilean_n64_label_efficiency_compute_matched/fraction_0.02/aug_steps_6/seed_23/checkpoints/best.pt,a80a89b88ade,defc9703dbc41494fabf9fcfe9e3408eb2e1c3890814e47fe03d0f6b849e3f50,2668609.0,15.727251562498168,True,
training_run,headline,aug,0.02,0.05,31,,runs/ablations/2d_galilean_n64_label_efficiency_compute_matched/fraction_0.02/aug_steps_6/seed_31,C:/Users/lewandowski/VSCode/orbit-tangent-no/runs/ablations/2d_galilean_n64_label_efficiency_compute_matched/fraction_0.02/aug_steps_6/seed_31/checkpoints/best.pt,34da212d37da,defc9703dbc41494fabf9fcfe9e3408eb2e1c3890814e47fe03d0f6b849e3f50,2668609.0,17.83517718749863,True,
