data_fraction,seed,lambda_orbit,relative_l2,relative_l2_delta_pct,orbit_ood_relative_l2,orbit_ood_delta_pct,equivariance_defect_relative,defect_delta_pct,best_val_relative_l2
0.01,23,0.01,0.0632206823211163,-1.3995286806859464,0.0630598331918008,-1.3869731106813221,0.0440433339099399,-1.4954758827796066,0.0626023975200951
0.01,23,0.05,0.0632588679436594,-1.3399734806764485,0.0630955481901764,-1.3311219623845294,0.0441727873403579,-1.205948559876624,0.0626350985839963
0.01,23,0.1,0.0631905270274728,-1.4465595898260797,0.0630352688021957,-1.4253869264184815,0.0437305464292876,-2.1950365017482154,0.0625779228284955
0.01,23,0.2,0.061935780569911,-3.403491839836126,0.0617560154641978,-3.425884508366417,0.0431201089231763,-3.5603022685440022,0.0612490274943411
