run_dir,checkpoint,source_method,target_severity,loss_mode,seed,trainable,epochs,lr,beta_l2_initial,gamma_prediction_preservation,orbit_eta,id_relative_l2_degradation,id_relative_l2_degradation_pct,target_orbit_ood_delta_pct,target_defect_delta_pct,before_epsilon_mean,before_epsilon_mean_std,before_epsilon_mean_stderr,before_equivariance_defect_relative,before_equivariance_defect_relative_std,before_equivariance_defect_relative_stderr,before_eval_seconds,before_num_batches,before_num_samples,before_orbit_ood_relative_l2,before_orbit_ood_relative_l2_std,before_orbit_ood_relative_l2_stderr,before_relative_l2,before_relative_l2_std,before_relative_l2_stderr,after_epsilon_mean,after_epsilon_mean_std,after_epsilon_mean_stderr,after_equivariance_defect_relative,after_equivariance_defect_relative_std,after_equivariance_defect_relative_stderr,after_eval_seconds,after_num_batches,after_num_samples,after_orbit_ood_relative_l2,after_orbit_ood_relative_l2_std,after_orbit_ood_relative_l2_stderr,after_relative_l2,after_relative_l2_std,after_relative_l2_stderr,relative_l2_delta_pct,orbit_ood_delta_pct,defect_delta_pct
runs\adaptation\2d_galilean_n64_2pct_target_boost\boost_0.50\baseline_steps_4\orbit_preserve_projector_e5\seed_23,runs\ablations\2d_galilean_n64_2pct_headline_5seed\fraction_0.02\baseline_steps_4\seed_23\checkpoints\best.pt,baseline_steps_4,boost_0.50,orbit_preserve,23,projector,5,1e-05,0.0,1.0,1e-06,-0.005152259021997452,-0.575083688344491,-0.8516419885530535,-0.027201194200199286,0.38350950786843896,0.14166902835099726,0.004427157135968664,1.0160351684316993,0.29260309509256377,0.009143846721642618,18.75085989999934,16,256,0.9882366480305791,0.18278787769744087,0.005712121178045027,0.895914651453495,0.12266795158318773,0.007666746973949233,0.38350950786843896,0.14166902835099726,0.004427157135968664,1.0157587947323918,0.2924853045435789,0.00914016576698684,14.43720570000005,16,256,0.9798204097896814,0.17695775841386616,0.005529929950433317,0.8907623924314976,0.11944520277213354,0.007465325173258346,-0.575083688344491,-0.8516419885530535,-0.027201194200199286
runs\adaptation\2d_galilean_n64_2pct_target_boost\boost_0.50\baseline_steps_4\orbit_preserve_projector_e5\seed_31,runs\ablations\2d_galilean_n64_2pct_headline_5seed\fraction_0.02\baseline_steps_4\seed_31\checkpoints\best.pt,baseline_steps_4,boost_0.50,orbit_preserve,31,projector,5,1e-05,0.0,1.0,1e-06,-0.007569119334220886,-0.8003011510126057,-1.0029245102020967,0.0013303980332945997,0.3812193055637181,0.13666446126366383,0.004270764414489495,1.0590799804776907,0.2805509957257322,0.008767218616429132,16.227605699998094,16,256,1.0404029479250312,0.17754598940325875,0.005548312168851836,0.9457838870584965,0.13819736016476983,0.008637335010298114,0.3812193055637181,0.13666446126366383,0.004270764414489495,1.059094070456922,0.2805051017913881,0.008765784430980878,14.04434960000799,16,256,1.029968491755426,0.17227532678330687,0.00538360396197834,0.9382147677242756,0.13449429388819759,0.008405893368012349,-0.8003011510126057,-1.0029245102020967,0.0013303980332945997
runs\adaptation\2d_galilean_n64_2pct_target_boost\boost_0.50\baseline_steps_4\orbit_preserve_projector_e5\seed_47,runs\ablations\2d_galilean_n64_2pct_headline_5seed\fraction_0.02\baseline_steps_4\seed_47\checkpoints\best.pt,baseline_steps_4,boost_0.50,orbit_preserve,47,projector,5,1e-05,0.0,1.0,1e-06,-0.006919458508491516,-0.7324288014739277,-0.9612166133762923,-0.013039685771631948,0.3767141904681921,0.1437564841408708,0.004492390129402213,1.0793603099882603,0.2953183730724845,0.00922869915851514,13.923416200006614,16,256,1.028563573025167,0.19106746875437372,0.005970858398574179,0.9447278007864952,0.15180089264677668,0.009487555790423543,0.3767141904681921,0.1437564841408708,0.004492390129402213,1.079219564795494,0.29520381480351643,0.009225119212609888,14.241241200012155,16,256,1.0186768490821123,0.18580973060815362,0.0058065540815048005,0.9378083422780037,0.1480371286876701,0.009252320542979382,-0.7324288014739277,-0.9612166133762923,-0.013039685771631948
runs\adaptation\2d_galilean_n64_2pct_target_boost\boost_0.50\baseline_steps_4\random_orbit_preserve_projector_e5\seed_23,runs\ablations\2d_galilean_n64_2pct_headline_5seed\fraction_0.02\baseline_steps_4\seed_23\checkpoints\best.pt,baseline_steps_4,boost_0.50,random_orbit_preserve,23,projector,5,1e-05,0.0,1.0,1e-06,-0.005102839320898056,-0.5695675712657944,-0.8438669303011626,-0.0228125801430501,0.38350950786843896,0.14166902835099726,0.004427157135968664,1.0160351684316993,0.29260309509256377,0.009143846721642618,13.898398800025461,16,256,0.9882366480305791,0.18278787769744087,0.005712121178045027,0.895914651453495,0.12266795158318773,0.007666746973949233,0.38350950786843896,0.14166902835099726,0.004427157135968664,1.0158033845946193,0.29249489329730105,0.009140465415540658,15.25160339998547,16,256,0.9798972457647324,0.1770051802573018,0.005531411883040681,0.890811812132597,0.1194703789872034,0.007466898686700213,-0.5695675712657944,-0.8438669303011626,-0.0228125801430501
runs\adaptation\2d_galilean_n64_2pct_target_boost\boost_0.50\baseline_steps_4\random_orbit_preserve_projector_e5\seed_31,runs\ablations\2d_galilean_n64_2pct_headline_5seed\fraction_0.02\baseline_steps_4\seed_31\checkpoints\best.pt,baseline_steps_4,boost_0.50,random_orbit_preserve,31,projector,5,1e-05,0.0,1.0,1e-06,-0.007504697889089584,-0.7934897170251087,-0.9949196703389895,0.006521667614767246,0.3812193055637181,0.13666446126366383,0.004270764414489495,1.0590799804776907,0.2805509957257322,0.008767218616429132,14.576181899989024,16,256,1.0404029479250312,0.17754598940325875,0.005548312168851836,0.9457838870584965,0.13819736016476983,0.008637335010298114,0.3812193055637181,0.13666446126366383,0.004270764414489495,1.059149050153792,0.28051058604164353,0.00876595581380136,13.979051700007403,16,256,1.0300517743453383,0.1723107399526799,0.005384710623521247,0.9382791891694069,0.13451827574342337,0.00840739223396396,-0.7934897170251087,-0.9949196703389895,0.006521667614767246
runs\adaptation\2d_galilean_n64_2pct_target_boost\boost_0.50\baseline_steps_4\random_orbit_preserve_projector_e5\seed_47,runs\ablations\2d_galilean_n64_2pct_headline_5seed\fraction_0.02\baseline_steps_4\seed_47\checkpoints\best.pt,baseline_steps_4,boost_0.50,random_orbit_preserve,47,projector,5,1e-05,0.0,1.0,1e-06,-0.006841234862804413,-0.724148782020495,-0.9520040165238108,-0.006407413949571783,0.3767141904681921,0.1437564841408708,0.004492390129402213,1.0793603099882603,0.2953183730724845,0.00922869915851514,15.088498199998867,16,256,1.028563573025167,0.19106746875437372,0.005970858398574179,0.9447278007864952,0.15180089264677668,0.009487555790423543,0.3767141904681921,0.1437564841408708,0.004492390129402213,1.079291150905192,0.29522786490880354,0.00922587077840011,14.203185199992731,16,256,1.0187716064974666,0.18585092114193513,0.005807841285685473,0.9378865659236908,0.14806439397757132,0.009254024623598207,-0.724148782020495,-0.9520040165238108,-0.006407413949571783
runs\adaptation\2d_galilean_n64_2pct_target_boost\boost_0.50\orbit_lambda_0.05_steps_4\orbit_preserve_projector_e5\seed_23,runs\ablations\2d_galilean_n64_2pct_headline_5seed\fraction_0.02\orbit_lambda_0.05_steps_4\seed_23\checkpoints\best.pt,orbit_lambda_0.05_steps_4,boost_0.50,orbit_preserve,23,projector,5,1e-05,0.0,1.0,1e-06,-0.001550525426864624,-0.3442739590120647,-0.5869894696997058,-0.01753105526194343,0.38350950786843896,0.14166902835099726,0.004427157135968664,0.5306917591951787,0.2526929228495466,0.00789665383904833,16.96852680001757,16,256,0.5707584274932742,0.2250029612720018,0.007031342539750057,0.450375460088253,0.08745576405737397,0.005465985253585873,0.38350950786843896,0.14166902835099726,0.004427157135968664,0.5305987233296037,0.2525047171165273,0.007890772409891477,17.043784699984826,16,256,0.5674081356264651,0.2215322048372545,0.006922881401164203,0.4488249346613884,0.08672241534142745,0.005420150958839216,-0.3442739590120647,-0.5869894696997058,-0.01753105526194343
runs\adaptation\2d_galilean_n64_2pct_target_boost\boost_0.50\orbit_lambda_0.05_steps_4\orbit_preserve_projector_e5\seed_31,runs\ablations\2d_galilean_n64_2pct_headline_5seed\fraction_0.02\orbit_lambda_0.05_steps_4\seed_31\checkpoints\best.pt,orbit_lambda_0.05_steps_4,boost_0.50,orbit_preserve,31,projector,5,1e-05,0.0,1.0,1e-06,-0.0010676588863134384,-0.22629230476198803,-0.6619018792716203,0.020701188224436784,0.3812193055637181,0.13666446126366383,0.004270764414489495,0.5633075935766101,0.2770712049313593,0.008658475154104978,14.524531800008845,16,256,0.6002328107133508,0.23920150569614573,0.007475047053004554,0.4718052111566067,0.09109709773487588,0.005693568608429743,0.3812193055637181,0.13666446126366383,0.004270764414489495,0.563424204941839,0.2768276344765497,0.008650863577392177,14.893817799980752,16,256,0.5962598584592342,0.2343723979091122,0.007324137434659757,0.47073755227029324,0.08978441447587863,0.005611525904742415,-0.22629230476198803,-0.6619018792716203,0.020701188224436784
runs\adaptation\2d_galilean_n64_2pct_target_boost\boost_0.50\orbit_lambda_0.05_steps_4\orbit_preserve_projector_e5\seed_47,runs\ablations\2d_galilean_n64_2pct_headline_5seed\fraction_0.02\orbit_lambda_0.05_steps_4\seed_47\checkpoints\best.pt,orbit_lambda_0.05_steps_4,boost_0.50,orbit_preserve,47,projector,5,1e-05,0.0,1.0,1e-06,-0.001557953655719757,-0.3227265235611232,-0.5975039950438021,0.02181205055740154,0.3767141904681921,0.1437564841408708,0.004492390129402213,0.5392644945532084,0.2448817432379751,0.007652554476186722,14.413916000019526,16,256,0.5917167123407125,0.2177447318255347,0.006804522869547959,0.48274732381105423,0.09799554321659382,0.0061247214510371135,0.3767141904681921,0.1437564841408708,0.004492390129402213,0.5393821191973984,0.24491486607566967,0.007653589564864677,13.944996300007915,16,256,0.588181181345135,0.2143443071628411,0.006698259598838785,0.4811893701553345,0.09694160477585967,0.006058850298491229,-0.3227265235611232,-0.5975039950438021,0.02181205055740154
runs\adaptation\2d_galilean_n64_2pct_target_boost\boost_0.50\orbit_lambda_0.05_steps_4\random_orbit_preserve_projector_e5\seed_23,runs\ablations\2d_galilean_n64_2pct_headline_5seed\fraction_0.02\orbit_lambda_0.05_steps_4\seed_23\checkpoints\best.pt,orbit_lambda_0.05_steps_4,boost_0.50,random_orbit_preserve,23,projector,5,1e-05,0.0,1.0,1e-06,-0.001546395942568779,-0.3433570608544656,-0.5772758738008088,0.021248418513764022,0.38350950786843896,0.14166902835099726,0.004427157135968664,0.5306917591951787,0.2526929228495466,0.00789665383904833,14.231521999987308,16,256,0.5707584274932742,0.2250029612720018,0.007031342539750057,0.450375460088253,0.08745576405737397,0.005465985253585873,0.38350950786843896,0.14166902835099726,0.004427157135968664,0.5308045228011906,0.2527137250157527,0.007897303906742271,15.838638299988816,16,256,0.5674635767936707,0.221637760455628,0.006926180014238375,0.44882906414568424,0.08672011070693082,0.005420006919183176,-0.3433570608544656,-0.5772758738008088,0.021248418513764022
runs\adaptation\2d_galilean_n64_2pct_target_boost\boost_0.50\orbit_lambda_0.05_steps_4\random_orbit_preserve_projector_e5\seed_31,runs\ablations\2d_galilean_n64_2pct_headline_5seed\fraction_0.02\orbit_lambda_0.05_steps_4\seed_31\checkpoints\best.pt,orbit_lambda_0.05_steps_4,boost_0.50,random_orbit_preserve,31,projector,5,1e-05,0.0,1.0,1e-06,-0.0010214895009994507,-0.21650661689287531,-0.6372981225257535,0.09370999147828574,0.3812193055637181,0.13666446126366383,0.004270764414489495,0.5633075935766101,0.2770712049313593,0.008658475154104978,15.550784099992597,16,256,0.6002328107133508,0.23920150569614573,0.007475047053004554,0.4718052111566067,0.09109709773487588,0.005693568608429743,0.3812193055637181,0.13666446126366383,0.004270764414489495,0.5638354690745473,0.27707222098298684,0.008658506905718339,17.631731900008162,16,256,0.596407538279891,0.2345678639878552,0.007330245749620475,0.4707837216556072,0.0898084868197918,0.005613030426236987,-0.21650661689287531,-0.6372981225257535,0.09370999147828574
runs\adaptation\2d_galilean_n64_2pct_target_boost\boost_0.50\orbit_lambda_0.05_steps_4\random_orbit_preserve_projector_e5\seed_47,runs\ablations\2d_galilean_n64_2pct_headline_5seed\fraction_0.02\orbit_lambda_0.05_steps_4\seed_47\checkpoints\best.pt,orbit_lambda_0.05_steps_4,boost_0.50,random_orbit_preserve,47,projector,5,1e-05,0.0,1.0,1e-06,-0.001491844654083252,-0.3090321956227271,-0.581985643330607,0.06540998726281,0.3767141904681921,0.1437564841408708,0.004492390129402213,0.5392644945532084,0.2448817432379751,0.007652554476186722,15.780346000014106,16,256,0.5917167123407125,0.2177447318255347,0.006804522869547959,0.48274732381105423,0.09799554321659382,0.0061247214510371135,0.3767141904681921,0.1437564841408708,0.004492390129402213,0.5396172273904085,0.24502757214194562,0.007657111629435801,15.206543700012844,16,256,0.5882730060257018,0.21441973220522992,0.006700616631413435,0.481255479156971,0.09696145481712933,0.006060090926070583,-0.3090321956227271,-0.581985643330607,0.06540998726281
