severity,severity_scale,method,relative_l2,relative_l2,relative_l2,orbit_ood_relative_l2,orbit_ood_relative_l2,orbit_ood_relative_l2,equivariance_defect_relative,equivariance_defect_relative,equivariance_defect_relative,epsilon_mean,epsilon_mean,epsilon_mean
,,,mean,std,count,mean,std,count,mean,std,count,mean,std,count
boost_0.10,0.4,aug_orbit_lambda_0.1_steps_4,0.3676406528800726,0.03603633814174233,5,0.37148185735568406,0.03491147393174433,5,0.11777521977201104,0.007723508141592391,5,0.07610841082641855,0.0010414586365699884,5
boost_0.20,0.8,aug_orbit_lambda_0.1_steps_4,0.3676406528800726,0.03603633814174233,5,0.3839595539495349,0.03305245937740224,5,0.2200059494934976,0.013491428727076017,5,0.1522168216528371,0.002082917273139977,5
boost_0.35,1.4,aug_orbit_lambda_0.1_steps_4,0.3676406528800726,0.03603633814174233,5,0.42415375635027885,0.028522237655661295,5,0.3447429035790265,0.017250996791017735,5,0.26637942758388816,0.003645103030004082,5
boost_0.50,2.0,aug_orbit_lambda_0.1_steps_4,0.3676406528800726,0.03603633814174233,5,0.4910142183303833,0.021614513427919917,5,0.456046259123832,0.015625594832197633,5,0.3805420490913093,0.005207290133984615,5
train_radius,1.0,aug_orbit_lambda_0.1_steps_4,0.3676406528800726,0.03603633814174233,5,0.39430237831547854,0.031804576340177845,5,0.26459835027344525,0.015404244539067545,5,0.19027102454565464,0.0026036450669923075,5
