method,orbit_eta,step_max_boost,relative_l2_mean,relative_l2_std,relative_l2_count,orbit_ood_relative_l2_mean,orbit_ood_relative_l2_std,orbit_ood_relative_l2_count,equivariance_defect_relative_mean,equivariance_defect_relative_std,equivariance_defect_relative_count,latency_ms_per_sample_mean,latency_ms_per_sample_std,latency_ms_per_sample_count
aug_orbit,1e-08,0.25,0.3734895618011554,0.018302655199155724,3,0.3972620546507339,0.018925035056519792,3,0.261370717935885,0.010373176929141094,3,12.118960208196464,1.048373593905257,3
aug_orbit,1e-06,0.125,0.5148944736768802,0.02228986493844499,3,0.5233276477083564,0.02225256197369361,3,0.19992280836837986,0.021966702408184827,3,12.798947291472965,1.8508433557765298,3
aug_orbit,1e-06,0.25,0.37350808766980964,0.018313028434768595,3,0.39728313389544684,0.018939895613194504,3,0.26138317251267534,0.010381805425748998,3,11.712453020906347,0.8704060407665287,3
aug_orbit,1e-06,0.5,0.2924484809239705,0.0053806352972713455,3,0.3479801146313548,0.0058294594198504855,3,0.27528508682735264,0.0022931523890330095,3,12.832702291658885,0.2351363627262819,3
aug_orbit,0.0001,0.25,0.37437006272375584,0.01846953745172353,3,0.3981582798684637,0.019064096924973677,3,0.26226299861446023,0.010362127780237712,3,12.901298854194465,1.3177897194350323,3
