run_dir,best_val_relative_l2,config_hash,dataset_kind,dataset_path,dataset_sha256,deterministic,device,environment.config_hash,environment.cuda_available,environment.cuda_version,environment.cudnn_version,environment.git_commit,environment.mkl_num_threads,environment.omp_num_threads,environment.platform,environment.python,environment.torch,epsilon_mean,epsilon_mean_std,epsilon_mean_stderr,equivariance_defect_relative,equivariance_defect_relative_std,equivariance_defect_relative_stderr,eval_seconds,latency_ms_per_batch,latency_ms_per_sample,latency_repeats,latency_warmup,method,model_name,num_batches,num_samples,orbit_ood_relative_l2,orbit_ood_relative_l2_std,orbit_ood_relative_l2_stderr,parameters,parameters_total,relative_l2,relative_l2_std,relative_l2_stderr,seed,config_path
runs\ablations\label_efficiency\0.1\aug_orbit,0.01830410386901349,8915292b8960,burgers1d,data\1d_burgers_n128.pt,1753fa2e5ca4fb474f93fc8cdef5732daea94b7d36d7537113b38f9e3d029758,False,cpu,8915292b8960,False,,,,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.14695673587266356,0.09069382054717753,0.002004069235019533,0.012147289970613429,0.021186012487332016,0.00046814915925297946,1.0744344999548048,12.020614999346435,0.3756442187295761,20,5,aug_orbit,fno1d,16,512,0.025471029613981955,0.028225163593618475,0.0006236938930358527,287361,287361,0.02014157932717353,0.028034068250822396,0.0012389424852751881,23,runs\ablations\label_efficiency\0.1\aug_orbit\config.yaml
runs\ablations\label_efficiency\0.1\baseline,0.018557911622337997,4421534541c3,burgers1d,data\1d_burgers_n128.pt,1753fa2e5ca4fb474f93fc8cdef5732daea94b7d36d7537113b38f9e3d029758,False,cpu,4421534541c3,False,,,,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.14695673587266356,0.09069382054717753,0.002004069235019533,0.336139062789105,0.43234424817350425,0.00955354842782764,1.4532639000099152,16.03134999750182,0.5009796874219319,20,5,baseline,fno1d,16,512,0.347139902994968,0.42473229891298925,0.0093853465234477,287361,287361,0.02019736892543733,0.02949079593852553,0.0013033213619200058,23,runs\ablations\label_efficiency\0.1\baseline\config.yaml
runs\ablations\label_efficiency\0.1\orbit,0.01921500777825713,57ee3327548e,burgers1d,data\1d_burgers_n128.pt,1753fa2e5ca4fb474f93fc8cdef5732daea94b7d36d7537113b38f9e3d029758,False,cpu,57ee3327548e,False,,,,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.14695673587266356,0.09069382054717753,0.002004069235019533,0.0177682802399457,0.02938573460539554,0.0006493391315507306,1.1411680000601336,12.092764995759353,0.3778989061174798,20,5,orbit,fno1d,16,512,0.031845362405874766,0.033408627479685066,0.000738233345031892,287361,287361,0.021467503684107214,0.029014437101759705,0.0012822690766853028,23,runs\ablations\label_efficiency\0.1\orbit\config.yaml
runs\ablations\label_efficiency\0.25\aug,0.00933837442426011,ebe424f48f57,burgers1d,data\1d_burgers_n128.pt,1753fa2e5ca4fb474f93fc8cdef5732daea94b7d36d7537113b38f9e3d029758,False,cpu,ebe424f48f57,False,,,,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.14695673587266356,0.09069382054717753,0.002004069235019533,0.007524898720014939,0.013060251519333795,0.0002885935129163386,1.511764399940148,16.869839996797964,0.5271824998999364,20,5,aug,fno1d,16,512,0.013239106519904453,0.01535479606708146,0.0003392962632115572,287361,287361,0.009257968398742378,0.013950340520746144,0.0006165237738800669,23,runs\ablations\label_efficiency\0.25\aug\config.yaml
runs\ablations\label_efficiency\0.25\aug_orbit,0.00883260922273621,4a3fc7913362,burgers1d,data\1d_burgers_n128.pt,1753fa2e5ca4fb474f93fc8cdef5732daea94b7d36d7537113b38f9e3d029758,False,cpu,4a3fc7913362,False,,,,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.14695673587266356,0.09069382054717753,0.002004069235019533,0.006406256612146777,0.011522144134880372,0.0002546058203619599,1.5113685000687838,16.494335001334548,0.5154479687917046,20,5,aug_orbit,fno1d,16,512,0.012200735225633252,0.014678799601656762,0.000324358710562809,287361,287361,0.009060179261723533,0.014253974988669737,0.0006299426483344883,23,runs\ablations\label_efficiency\0.25\aug_orbit\config.yaml
runs\ablations\label_efficiency\0.25\baseline,0.008951990748755634,2c8436df79ff,burgers1d,data\1d_burgers_n128.pt,1753fa2e5ca4fb474f93fc8cdef5732daea94b7d36d7537113b38f9e3d029758,False,cpu,2c8436df79ff,False,,,,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.14695673587266356,0.09069382054717753,0.002004069235019533,0.339913071893744,0.43671191508104906,0.00965006114308667,1.4938008999451995,20.05331499967724,0.6266660937399138,20,5,baseline,fno1d,16,512,0.34460349503933685,0.43326116446003027,0.009573809606702106,287361,287361,0.009013519273139536,0.015603889490768201,0.0006896010044879811,23,runs\ablations\label_efficiency\0.25\baseline\config.yaml
runs\ablations\label_efficiency\0.25\orbit,0.009438302251510322,8e78c519457c,burgers1d,data\1d_burgers_n128.pt,1753fa2e5ca4fb474f93fc8cdef5732daea94b7d36d7537113b38f9e3d029758,False,cpu,8e78c519457c,False,,,,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.14695673587266356,0.09069382054717753,0.002004069235019533,0.010799097198961327,0.018586508950792478,0.00041070770367780695,1.4441783999791369,16.274389997124672,0.508574687410146,20,5,orbit,fno1d,16,512,0.016791917914815713,0.019884003332842348,0.00043937854980589795,287361,287361,0.00956154105369933,0.015146150002347496,0.0006693715859705348,23,runs\ablations\label_efficiency\0.25\orbit\config.yaml
runs\ablations\label_efficiency\1.0\aug,0.002332481773919426,1878a16dd99c,burgers1d,data\1d_burgers_n128.pt,1753fa2e5ca4fb474f93fc8cdef5732daea94b7d36d7537113b38f9e3d029758,False,cpu,1878a16dd99c,False,,,,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.14695673587266356,0.09069382054717753,0.002004069235019533,0.0026036903469881523,0.004509196797538092,9.964011353887026e-05,1.963157600024715,17.382834997260943,0.5432135936644045,20,5,aug,fno1d,16,512,0.004080569206053042,0.004913651609485877,0.00010857738667048929,287361,287361,0.0025781953590922058,0.004020610653960906,0.00017768756612041476,23,runs\ablations\label_efficiency\1.0\aug\config.yaml
runs\ablations\label_efficiency\1.0\aug_orbit,0.00231489198631607,566d873c13ba,burgers1d,data\1d_burgers_n128.pt,1753fa2e5ca4fb474f93fc8cdef5732daea94b7d36d7537113b38f9e3d029758,False,cpu,566d873c13ba,False,,,,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.14695673587266356,0.09069382054717753,0.002004069235019533,0.002267523037099206,0.0042141389143796875,9.312019385062476e-05,1.525690499925986,16.18824999895878,0.5058828124674619,20,5,aug_orbit,fno1d,16,512,0.003932329827875947,0.005015458909050264,0.00011082703141724767,287361,287361,0.0028185868577566,0.004471690996359082,0.000197622689181021,23,runs\ablations\label_efficiency\1.0\aug_orbit\config.yaml
runs\ablations\label_efficiency\1.0\baseline,0.002056278652162291,19c769361e49,burgers1d,data\1d_burgers_n128.pt,1753fa2e5ca4fb474f93fc8cdef5732daea94b7d36d7537113b38f9e3d029758,False,cpu,19c769361e49,False,,,,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.14695673587266356,0.09069382054717753,0.002004069235019533,0.3457840403657624,0.4434153012322974,0.009798186449476035,1.464901200029999,15.982484997948632,0.49945265618589474,20,5,baseline,fno1d,16,512,0.3469472629203665,0.44253012191747126,0.009778626565223547,287361,287361,0.0022595967675442807,0.004071375425804375,0.00017993107327140878,23,runs\ablations\label_efficiency\1.0\baseline\config.yaml
runs\ablations\label_efficiency\1.0\orbit,0.002466949707013555,f93114b7c808,burgers1d,data\1d_burgers_n128.pt,1753fa2e5ca4fb474f93fc8cdef5732daea94b7d36d7537113b38f9e3d029758,False,cpu,f93114b7c808,False,,,,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.14695673587266356,0.09069382054717753,0.002004069235019533,0.0051338507114757626,0.009080759456618225,0.0002006583309405817,1.4830866999691352,15.717354998923838,0.49116734371636994,20,5,orbit,fno1d,16,512,0.006770745460016769,0.009167205065398146,0.00020256852707095928,287361,287361,0.0028017884033033624,0.004980375110186331,0.00022010356332909082,23,runs\ablations\label_efficiency\1.0\orbit\config.yaml
runs\ablations\lambda\0.0,0.002056278652162291,7886e1d8e1f2,burgers1d,data\1d_burgers_n128.pt,1753fa2e5ca4fb474f93fc8cdef5732daea94b7d36d7537113b38f9e3d029758,False,cpu,7886e1d8e1f2,False,,,,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.14695673587266356,0.09069382054717753,0.002004069235019533,0.3457840403657624,0.4434153012322974,0.009798186449476035,1.177050800062716,12.999619997572154,0.4062381249241298,20,5,orbit,fno1d,16,512,0.3469472629203665,0.44253012191747126,0.009778626565223547,287361,287361,0.0022595967675442807,0.004071375425804375,0.00017993107327140878,23,runs\ablations\lambda\0.0\config.yaml
runs\ablations\lambda\0.01,0.0022539334750035778,04b174c04c94,burgers1d,data\1d_burgers_n128.pt,1753fa2e5ca4fb474f93fc8cdef5732daea94b7d36d7537113b38f9e3d029758,False,cpu,04b174c04c94,False,,,,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.14695673587266356,0.09069382054717753,0.002004069235019533,0.030672185779774708,0.04428415410555394,0.0009785508020983525,1.1688283000839874,12.87455499987118,0.40232984374597436,20,5,orbit,fno1d,16,512,0.03198643218456709,0.04354781870651821,0.0009622799347894191,287361,287361,0.0024655191591591574,0.004270861542027212,0.0001887471973672673,23,runs\ablations\lambda\0.01\config.yaml
runs\ablations\lambda\0.05,0.00259993203508202,ac3086817f51,burgers1d,data\1d_burgers_n128.pt,1753fa2e5ca4fb474f93fc8cdef5732daea94b7d36d7537113b38f9e3d029758,False,cpu,ac3086817f51,False,,,,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.14695673587266356,0.09069382054717753,0.002004069235019533,0.015755130336104095,0.02503261426096884,0.0005531478529611918,1.1740080999443308,12.778959999559447,0.3993424999862327,20,5,orbit,fno1d,16,512,0.017266904842472286,0.024367022090056242,0.0005384402049125365,287361,287361,0.002725151483900845,0.004509066681032015,0.00019927447668625353,23,runs\ablations\lambda\0.05\config.yaml
