method,method_label,seed_count,force_mae_mean,force_mae_std,orbit_ood_force_mae_mean,orbit_ood_force_mae_std,equivariance_defect_relative_mean,equivariance_defect_relative_std,relative_l2_mean,relative_l2_std,orbit_ood_relative_l2_mean,orbit_ood_relative_l2_std,latency_ms_per_sample_mean,latency_ms_per_sample_std
baseline,MLP,3,20.250349721272787,0.019551345072360463,20.37615385818481,0.013751898362450941,0.7400316119591395,0.016928165171578746,0.9972398122151693,0.0011354859166375624,1.001365924278895,0.0012460060364784709,0.01774775000133862,0.005505296920032157
aug,MLP + aug.,3,20.148260818481443,0.007131773803497093,20.219592987060548,0.017396707358627736,0.5393754569689433,0.0031196680263821624,0.9923276268641154,0.0002509520758933761,0.9933616491953532,0.0003623379637036151,0.010349416673610298,0.000950810542433973
aug_orbit_no_output,MLP + aug. + no output,3,20.103376622517903,0.005604476871241997,20.186128428141277,0.025639390058831323,0.5877223356167475,0.008992404420436428,0.9906065263748168,0.00045170517160984157,0.9920917162895203,0.0007458249114795066,0.014377812500849055,0.004040027847981467
aug_orbit_shuffle,MLP + aug. + shuffled orbit,3,20.15535905965169,0.013639662181192311,20.225247196197508,0.018466891541969996,0.6824255998134613,0.012016716579102426,0.9937852908770243,0.0007521350030020458,0.9943383059501647,0.0007149416865933574,0.014005208322487306,0.0012915059010218958
aug_orbit,MLP + aug. + LOCO,3,19.463268564860027,0.17246544286707294,19.561513259887693,0.16461892167615172,0.23568172938625018,0.002119988119810327,0.9565653727849325,0.008889601451125382,0.9585666166941325,0.008559226293999227,0.010471833338669967,0.0016682026668070743
