checkpoint,run_dir,method,seed,severity,severity_scale,max_boost,observable_canonical_relative_l2,observable_canonical_relative_l2_std,observable_canonical_relative_l2_stderr,orbit_ood_relative_l2,orbit_ood_relative_l2_std,orbit_ood_relative_l2_stderr,observable_canonical_ood_relative_l2,observable_canonical_ood_relative_l2_std,observable_canonical_ood_relative_l2_stderr,observable_canonical_gap_relative,observable_canonical_gap_relative_std,observable_canonical_gap_relative_stderr,observed_boost_norm_mean,observed_boost_norm_mean_std,observed_boost_norm_mean_stderr,epsilon_mean,epsilon_mean_std,epsilon_mean_stderr,total_boost_norm_mean,total_boost_norm_mean_std,total_boost_norm_mean_stderr,num_samples,num_batches,eval_seconds
runs\ablations\2d_galilean_n64_2pct_lambda_robustness\fraction_0.02\aug_orbit_lambda_0.1_steps_4\seed_23\checkpoints\best.pt,runs\ablations\2d_galilean_n64_2pct_lambda_0p1_ood_severity\fraction_0.02\boost_0.25\aug_orbit_lambda_0.1_steps_4\seed_23\observable_canonicalization,aug_orbit_lambda_0.1_steps_4,23,train_radius,1.0,0.25,0.29860381223261356,0.04004650362941353,0.0025029064768383458,0.37113746954128146,0.10619757007649679,0.0033186740648905246,0.29860380198806524,0.0400465436795717,0.0012514544899866157,0.31731566274538636,0.135689968373943,0.004240311511685719,0.3754834122955799,0.14219938093636086,0.008887461308522554,0.19384399359114468,0.07190105852850656,0.00224690807901583,0.4058612585067749,0.18427383421579416,0.005758557319243567,256,16,27.299096800008556
runs\ablations\2d_galilean_n64_2pct_lambda_robustness\fraction_0.02\aug_orbit_lambda_0.1_steps_4\seed_31\checkpoints\best.pt,runs\ablations\2d_galilean_n64_2pct_lambda_0p1_ood_severity\fraction_0.02\boost_0.25\aug_orbit_lambda_0.1_steps_4\seed_31\observable_canonicalization,aug_orbit_lambda_0.1_steps_4,31,train_radius,1.0,0.25,0.33613906241953373,0.04985525479306475,0.0031159534245665467,0.39796749595552683,0.11283288754820338,0.0035260277358813556,0.33613905776292086,0.04985525116334978,0.0015579765988546807,0.35831688344478607,0.14695009608833304,0.004592190502760407,0.3754834122955799,0.14219938093636086,0.008887461308522554,0.19130657613277435,0.07124281708448539,0.0022263380338901685,0.41000903956592083,0.17891569405896493,0.005591115439342654,256,16,30.899940800009063
runs\ablations\2d_galilean_n64_2pct_lambda_robustness\fraction_0.02\aug_orbit_lambda_0.1_steps_4\seed_47\checkpoints\best.pt,runs\ablations\2d_galilean_n64_2pct_lambda_0p1_ood_severity\fraction_0.02\boost_0.25\aug_orbit_lambda_0.1_steps_4\seed_47\observable_canonicalization,aug_orbit_lambda_0.1_steps_4,47,train_radius,1.0,0.25,0.3431418463587761,0.04931313792505006,0.0030820711203156286,0.4056654120795429,0.12561124392585768,0.0039253513726830525,0.3431418417021632,0.049313107768223285,0.0015410346177569777,0.3687054170295596,0.159484625883065,0.004983894558845781,0.3754834122955799,0.14219938093636086,0.008887461308522554,0.19076048978604376,0.07208337280867372,0.0022526054002710537,0.4125154516659677,0.18370683425304124,0.005740838570407539,256,16,27.545800599997165
runs\ablations\2d_galilean_n64_2pct_lambda_robustness\fraction_0.02\aug_orbit_lambda_0.1_steps_4\seed_59\checkpoints\best.pt,runs\ablations\2d_galilean_n64_2pct_lambda_0p1_ood_severity\fraction_0.02\boost_0.25\aug_orbit_lambda_0.1_steps_4\seed_59\observable_canonicalization,aug_orbit_lambda_0.1_steps_4,59,train_radius,1.0,0.25,0.24829181283712387,0.03489465777633048,0.002180916111020655,0.35754272574558854,0.1588321114264631,0.004963503482076972,0.24829180422239006,0.03489464400983937,0.0010904576253074802,0.31288796686567366,0.18398949583070634,0.005749671744709573,0.3754834122955799,0.14219938093636086,0.008887461308522554,0.18786881281994283,0.07068576869926484,0.002208930271852026,0.4095013476908207,0.18148648721843186,0.0056714527255759956,256,16,32.18564279997372
runs\ablations\2d_galilean_n64_2pct_lambda_robustness\fraction_0.02\aug_orbit_lambda_0.1_steps_4\seed_71\checkpoints\best.pt,runs\ablations\2d_galilean_n64_2pct_lambda_0p1_ood_severity\fraction_0.02\boost_0.25\aug_orbit_lambda_0.1_steps_4\seed_71\observable_canonicalization,aug_orbit_lambda_0.1_steps_4,71,train_radius,1.0,0.25,0.40028870292007923,0.04825479312145303,0.0030159245700908145,0.4391987882554531,0.1187515856623455,0.003710987051948297,0.40028870198875666,0.04825480325957906,0.0015079626018618456,0.3860781858675182,0.1614230244381175,0.005044469513691172,0.3754834122955799,0.14219938093636086,0.008887461308522554,0.18757525039836764,0.07260955469463089,0.0022690485842072152,0.40418439637869596,0.17424756971914082,0.005445236553723151,256,16,26.274988699995447
runs\ablations\2d_galilean_n64_2pct_lambda_robustness\fraction_0.02\aug_orbit_lambda_0.1_steps_4\seed_23\checkpoints\best.pt,runs\ablations\2d_galilean_n64_2pct_lambda_0p1_ood_severity\fraction_0.02\boost_0.35\aug_orbit_lambda_0.1_steps_4\seed_23\observable_canonicalization,aug_orbit_lambda_0.1_steps_4,23,boost_0.35,1.4,0.35,0.29860381223261356,0.04004650362941353,0.0025029064768383458,0.3981181844137609,0.1428791583228551,0.004464973697589222,0.29860380850732327,0.040046511057742366,0.001251453470554449,0.3481796598061919,0.17571589552472297,0.005491121735147593,0.3754834122955799,0.14219938093636086,0.008887461308522554,0.27138158469460905,0.10066149129388946,0.0031456716029340456,0.43881559651345015,0.2122430707346717,0.00663259596045849,256,16,29.164330600004178
runs\ablations\2d_galilean_n64_2pct_lambda_robustness\fraction_0.02\aug_orbit_lambda_0.1_steps_4\seed_31\checkpoints\best.pt,runs\ablations\2d_galilean_n64_2pct_lambda_0p1_ood_severity\fraction_0.02\boost_0.35\aug_orbit_lambda_0.1_steps_4\seed_31\observable_canonicalization,aug_orbit_lambda_0.1_steps_4,31,boost_0.35,1.4,0.35,0.33613906241953373,0.04985525479306475,0.0031159534245665467,0.4277517646551132,0.1540617860435141,0.004814430813859815,0.33613905357196927,0.04985527358233133,0.001557977299447854,0.3908313512802124,0.19068100259829912,0.0059587813311968475,0.3754834122955799,0.14219938093636086,0.008887461308522554,0.26782919582910836,0.09973995662011276,0.0031168736443785237,0.4428853872232139,0.20705549777925375,0.00647048430560168,256,16,31.664498199999798
runs\ablations\2d_galilean_n64_2pct_lambda_robustness\fraction_0.02\aug_orbit_lambda_0.1_steps_4\seed_47\checkpoints\best.pt,runs\ablations\2d_galilean_n64_2pct_lambda_0p1_ood_severity\fraction_0.02\boost_0.35\aug_orbit_lambda_0.1_steps_4\seed_47\observable_canonicalization,aug_orbit_lambda_0.1_steps_4,47,boost_0.35,1.4,0.35,0.3431418463587761,0.04931313792505006,0.0030820711203156286,0.43700246745720506,0.1695871410302747,0.005299598157196084,0.34314184030517936,0.049313117489037744,0.0015410349215324295,0.40447084326297045,0.20526611276159157,0.0064145660237997365,0.3754834122955799,0.14219938093636086,0.008887461308522554,0.26706468244083226,0.10091671930522797,0.003153647478288374,0.44733831472694874,0.2101833643813568,0.0065682301369174,256,16,26.568306400004076
runs\ablations\2d_galilean_n64_2pct_lambda_robustness\fraction_0.02\aug_orbit_lambda_0.1_steps_4\seed_59\checkpoints\best.pt,runs\ablations\2d_galilean_n64_2pct_lambda_0p1_ood_severity\fraction_0.02\boost_0.35\aug_orbit_lambda_0.1_steps_4\seed_59\observable_canonicalization,aug_orbit_lambda_0.1_steps_4,59,boost_0.35,1.4,0.35,0.24829181283712387,0.03489465777633048,0.002180916111020655,0.39465377293527126,0.20651149063879723,0.006453484082462413,0.24829180864617229,0.03489464172425021,0.0010904575538828191,0.3533001816831529,0.23644211711282573,0.007388816159775804,0.3754834122955799,0.14219938093636086,0.008887461308522554,0.2630163317080587,0.09896007962304945,0.0030925024882202954,0.4408766212873161,0.2111578803251711,0.006598683760161597,256,16,28.72479090001434
runs\ablations\2d_galilean_n64_2pct_lambda_robustness\fraction_0.02\aug_orbit_lambda_0.1_steps_4\seed_71\checkpoints\best.pt,runs\ablations\2d_galilean_n64_2pct_lambda_0p1_ood_severity\fraction_0.02\boost_0.35\aug_orbit_lambda_0.1_steps_4\seed_71\observable_canonicalization,aug_orbit_lambda_0.1_steps_4,71,boost_0.35,1.4,0.35,0.40028870292007923,0.04825479312145303,0.0030159245700908145,0.46324259229004383,0.1558852173486794,0.004871413042146232,0.40028870617970824,0.04825475884425231,0.0015079612138828846,0.4133886066265404,0.20096382481572936,0.0062801195254915424,0.3754834122955799,0.14219938093636086,0.008887461308522554,0.2626053432468325,0.1016533802676631,0.003176668133364472,0.43433814123272896,0.20184360183730526,0.0063076125574157895,256,16,28.9744944999984
runs\ablations\2d_galilean_n64_2pct_lambda_robustness\fraction_0.02\aug_orbit_lambda_0.1_steps_4\seed_23\checkpoints\best.pt,runs\ablations\2d_galilean_n64_2pct_lambda_0p1_ood_severity\fraction_0.02\boost_0.50\aug_orbit_lambda_0.1_steps_4\seed_23\observable_canonicalization,aug_orbit_lambda_0.1_steps_4,23,boost_0.50,2.0,0.5,0.29860381223261356,0.04004650362941353,0.0025029064768383458,0.4650816125795245,0.22417884806109478,0.007005589001909212,0.2986038038507104,0.040046539965410834,0.0012514543739190886,0.42633891571313143,0.2570553850034086,0.008032980781356518,0.3754834122955799,0.14219938093636086,0.008887461308522554,0.38768798718228936,0.14380211705701312,0.00449381615803166,0.5090192691422999,0.2500836943663174,0.007815115448947418,256,16,28.34858640001039
runs\ablations\2d_galilean_n64_2pct_lambda_robustness\fraction_0.02\aug_orbit_lambda_0.1_steps_4\seed_31\checkpoints\best.pt,runs\ablations\2d_galilean_n64_2pct_lambda_0p1_ood_severity\fraction_0.02\boost_0.50\aug_orbit_lambda_0.1_steps_4\seed_31\observable_canonicalization,aug_orbit_lambda_0.1_steps_4,31,boost_0.50,2.0,0.5,0.33613906241953373,0.04985525479306475,0.0031159534245665467,0.49626670638099313,0.23572963503693356,0.007366551094904174,0.3361390554346144,0.049855249348492205,0.0015579765421403814,0.46735040936619043,0.2726387406145414,0.008519960644204419,0.3754834122955799,0.14219938093636086,0.008887461308522554,0.3826131522655487,0.14248563416897078,0.004452676067780337,0.510846973862499,0.24781218248196987,0.0077441307025615585,256,16,30.09313980001025
runs\ablations\2d_galilean_n64_2pct_lambda_robustness\fraction_0.02\aug_orbit_lambda_0.1_steps_4\seed_47\checkpoints\best.pt,runs\ablations\2d_galilean_n64_2pct_lambda_0p1_ood_severity\fraction_0.02\boost_0.50\aug_orbit_lambda_0.1_steps_4\seed_47\observable_canonicalization,aug_orbit_lambda_0.1_steps_4,47,boost_0.50,2.0,0.5,0.3431418463587761,0.04931313792505006,0.0030820711203156286,0.5050130616873503,0.25276152813222624,0.00789879775413207,0.3431418393738568,0.04931311216589259,0.0015410347551841435,0.4836984872817993,0.2904134985413784,0.009075421829418074,0.3754834122955799,0.14219938093636086,0.008887461308522554,0.3815209795720875,0.14416674561734744,0.004505210800542107,0.5175801576115191,0.24881292779752967,0.007775403993672802,256,16,31.38665579998633
runs\ablations\2d_galilean_n64_2pct_lambda_robustness\fraction_0.02\aug_orbit_lambda_0.1_steps_4\seed_59\checkpoints\best.pt,runs\ablations\2d_galilean_n64_2pct_lambda_0p1_ood_severity\fraction_0.02\boost_0.50\aug_orbit_lambda_0.1_steps_4\seed_59\observable_canonicalization,aug_orbit_lambda_0.1_steps_4,59,boost_0.50,2.0,0.5,0.24829181283712387,0.03489465777633048,0.002180916111020655,0.47255608532577753,0.28885844442117087,0.00902682638816159,0.24829180864617229,0.03489462671137044,0.0010904570847303262,0.4395371275022626,0.3230278540806733,0.01009462044002104,0.3754834122955799,0.14219938093636086,0.008887461308522554,0.37573762563988566,0.14137153739852967,0.004417860543704052,0.505992085672915,0.2541717666929703,0.007942867709155322,256,16,35.24157839998952
runs\ablations\2d_galilean_n64_2pct_lambda_robustness\fraction_0.02\aug_orbit_lambda_0.1_steps_4\seed_71\checkpoints\best.pt,runs\ablations\2d_galilean_n64_2pct_lambda_0p1_ood_severity\fraction_0.02\boost_0.50\aug_orbit_lambda_0.1_steps_4\seed_71\observable_canonicalization,aug_orbit_lambda_0.1_steps_4,71,boost_0.50,2.0,0.5,0.40028870292007923,0.04825479312145303,0.0030159245700908145,0.516153625678271,0.22610246513529733,0.007065702035478042,0.4002886996604502,0.04825479844848348,0.0015079624515151088,0.4794726986438036,0.27166251823027254,0.008489453694696017,0.3754834122955799,0.14219938093636086,0.008887461308522554,0.3751505007967353,0.14521910938926177,0.0045380971684144305,0.4989351583644748,0.24129437149831132,0.007540449109322229,256,16,32.1942525000195
