data_fraction,method,lambda_orbit,orbit_data_fraction,orbit_steps_per_epoch,model_name,dataset_kind,relative_l2_mean,relative_l2_std,relative_l2_count,orbit_ood_relative_l2_mean,orbit_ood_relative_l2_std,orbit_ood_relative_l2_count,equivariance_defect_relative_mean,equivariance_defect_relative_std,equivariance_defect_relative_count,latency_ms_per_sample_mean,latency_ms_per_sample_std,latency_ms_per_sample_count,latency_ms_per_batch_mean,latency_ms_per_batch_std,latency_ms_per_batch_count
0.01,semi_aug_orbit,0.05,1.0,4,fno2d,navier_stokes_vorticity2d,0.10376379297425349,0.004463853984965441,3,0.10365863555731873,0.004551596551409882,3,0.015748554661011365,0.002360938762227569,3,22.13859031253378,3.2258743911642633,3,354.21744500054047,51.61399025862821,3
0.02,semi_aug_orbit,0.05,1.0,4,fno2d,navier_stokes_vorticity2d,0.0934574871013562,0.008289013152039282,3,0.09347973069331299,0.008223587766009873,3,0.015269474635183874,0.001779759581607298,3,26.117526666712365,2.6153461229098127,3,417.88042666739784,41.845537966557,3
0.05,semi_aug_orbit,0.05,1.0,4,fno2d,navier_stokes_vorticity2d,0.05119004387718936,0.0023179581706583175,3,0.05118795633704091,0.0023509021729022092,3,0.009877394703868466,0.0015063271252297114,3,24.399971979194863,0.4936474009407473,3,390.3995516671178,7.898358415051957,3
