method,method_label,steps_per_epoch,optimizer_steps,model_forwards_per_epoch,model_forwards_total,backward_passes_total,seed_count,seeds,parameters,relative_l2_mean,relative_l2_std,orbit_ood_relative_l2_mean,orbit_ood_relative_l2_std,equivariance_defect_relative_mean,equivariance_defect_relative_std,best_val_relative_l2_mean,best_val_relative_l2_std,latency_ms_per_sample_mean,latency_ms_per_sample_std,train_wall_seconds_mean,train_wall_seconds_std
baseline,DeepONet,4,600,4,600,600,5,"23,31,47,59,71",2688033,0.9949411012232303,0.008124887102412291,1.0012640517205,0.007186459346688186,0.5820637975819409,0.042853080668701846,1.0005907639861107,0.013140037395049119,5.152570124955673,0.37618540234158093,256.74306798001055,12.950591684832352
orbit,DeepONet + normalized LOCO,4,600,8,1200,600,5,"23,31,47,59,71",2688033,0.9149743914604187,0.03181006916359525,0.9236136630177498,0.029998676946917695,0.5545279036276043,0.022907785276163536,0.9145560100674629,0.03256785994078669,5.145705187460408,0.4013697157814199,397.08258306002244,2.3685023905122287
aug,DeepONet + aug.,6,900,12,1800,900,5,"23,31,47,59,71",2688033,0.9553227677941323,0.03354500598438802,0.9652100676670671,0.03075527204931114,0.6988007552921772,0.021872672057556445,0.9597419917583465,0.03837446421858941,4.903079562463972,0.6740126150622614,526.4970170399756,18.14292033181349
aug_orbit,DeepONet + aug. + normalized LOCO,4,600,12,1800,600,5,"23,31,47,59,71",2688033,0.8862130865454674,0.03623272744008176,0.8972240213304759,0.03399201234191969,0.49206239031627774,0.029453273335381298,0.8887497156858444,0.03544909780820451,5.9032447500067065,1.0527418538775952,575.5638620999991,17.42573360179952
